open_covid_region_code,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
ARE,AE,United Arab Emirates,,,,,,2020-02-15,0,4,5.0,0.0,2,1.0
ARE,AE,United Arab Emirates,,,,,,2020-02-16,1,4,4.0,1.0,2,1.0
ARE,AE,United Arab Emirates,,,,,,2020-02-17,-1,1,5.0,1.0,2,1.0
ARE,AE,United Arab Emirates,,,,,,2020-02-18,-2,1,5.0,0.0,2,1.0
ARE,AE,United Arab Emirates,,,,,,2020-02-19,-2,0,4.0,-1.0,2,1.0
ARE,AE,United Arab Emirates,,,,,,2020-02-20,-2,1,6.0,1.0,1,1.0
ARE,AE,United Arab Emirates,,,,,,2020-02-21,-3,2,6.0,0.0,-1,1.0
ARE,AE,United Arab Emirates,,,,,,2020-02-22,-2,2,4.0,-2.0,3,1.0
ARE,AE,United Arab Emirates,,,,,,2020-02-23,-1,3,3.0,-1.0,4,1.0
ARE,AE,United Arab Emirates,,,,,,2020-02-24,-3,0,5.0,-1.0,3,1.0
ARE,AE,United Arab Emirates,,,,,,2020-02-25,-3,2,3.0,-2.0,3,1.0
ARE,AE,United Arab Emirates,,,,,,2020-02-26,-2,1,-3.0,-2.0,3,1.0
ARE,AE,United Arab Emirates,,,,,,2020-02-27,1,5,-1.0,-1.0,3,1.0
ARE,AE,United Arab Emirates,,,,,,2020-02-28,1,5,-1.0,-1.0,1,1.0
ARE,AE,United Arab Emirates,,,,,,2020-02-29,2,7,-1.0,-1.0,5,0.0
ARE,AE,United Arab Emirates,,,,,,2020-03-01,3,10,2.0,-1.0,4,1.0
ARE,AE,United Arab Emirates,,,,,,2020-03-02,0,7,1.0,-2.0,4,1.0
ARE,AE,United Arab Emirates,,,,,,2020-03-03,0,6,0.0,-5.0,4,1.0
ARE,AE,United Arab Emirates,,,,,,2020-03-04,-1,7,-2.0,-5.0,3,2.0
ARE,AE,United Arab Emirates,,,,,,2020-03-05,-3,6,-2.0,-5.0,3,2.0
ARE,AE,United Arab Emirates,,,,,,2020-03-06,-7,5,-8.0,-9.0,0,3.0
ARE,AE,United Arab Emirates,,,,,,2020-03-07,-3,6,1.0,-8.0,4,2.0
ARE,AE,United Arab Emirates,,,,,,2020-03-08,1,8,6.0,-9.0,-1,3.0
ARE,AE,United Arab Emirates,,,,,,2020-03-09,-3,4,4.0,-10.0,-1,4.0
ARE,AE,United Arab Emirates,,,,,,2020-03-10,-4,6,3.0,-11.0,-2,4.0
ARE,AE,United Arab Emirates,,,,,,2020-03-11,-4,5,0.0,-12.0,-2,4.0
ARE,AE,United Arab Emirates,,,,,,2020-03-12,-8,6,-6.0,-15.0,-3,5.0
ARE,AE,United Arab Emirates,,,,,,2020-03-13,-16,3,-15.0,-20.0,-2,5.0
ARE,AE,United Arab Emirates,,,,,,2020-03-14,-12,4,-12.0,-17.0,2,4.0
ARE,AE,United Arab Emirates,,,,,,2020-03-15,-6,11,-11.0,-15.0,-4,5.0
ARE,AE,United Arab Emirates,,,,,,2020-03-16,-11,8,-14.0,-17.0,-6,6.0
ARE,AE,United Arab Emirates,,,,,,2020-03-17,-16,5,-18.0,-22.0,-9,7.0
ARE,AE,United Arab Emirates,,,,,,2020-03-18,-19,2,-19.0,-25.0,-11,9.0
ARE,AE,United Arab Emirates,,,,,,2020-03-19,-24,-1,-26.0,-31.0,-12,11.0
ARE,AE,United Arab Emirates,,,,,,2020-03-20,-37,-11,-45.0,-44.0,-12,11.0
ARE,AE,United Arab Emirates,,,,,,2020-03-21,-32,-12,-37.0,-42.0,-8,10.0
ARE,AE,United Arab Emirates,,,,,,2020-03-22,-30,-13,-36.0,-45.0,-17,13.0
ARE,AE,United Arab Emirates,,,,,,2020-03-23,-27,14,-38.0,-46.0,-20,14.0
ARE,AE,United Arab Emirates,,,,,,2020-03-24,-39,-6,-43.0,-53.0,-28,17.0
ARE,AE,United Arab Emirates,,,,,,2020-03-25,-50,-18,-47.0,-60.0,-35,21.0
ARE,AE,United Arab Emirates,,,,,,2020-03-26,-55,-13,-54.0,-67.0,-40,25.0
ARE,AE,United Arab Emirates,,,,,,2020-03-27,-80,-60,-80.0,-84.0,-52,25.0
ARE,AE,United Arab Emirates,,,,,,2020-03-28,-72,-47,-68.0,-80.0,-56,28.0
ARE,AE,United Arab Emirates,,,,,,2020-03-29,-55,-26,-53.0,-69.0,-45,26.0
ARE,AE,United Arab Emirates,,,,,,2020-03-30,-57,-27,-53.0,-69.0,-46,25.0
ARE,AE,United Arab Emirates,,,,,,2020-03-31,-56,-26,-53.0,-69.0,-46,25.0
ARE,AE,United Arab Emirates,,,,,,2020-04-01,-56,-24,-53.0,-70.0,-46,25.0
ARE,AE,United Arab Emirates,,,,,,2020-04-02,-58,-25,-56.0,-71.0,-47,28.0
ARE,AE,United Arab Emirates,,,,,,2020-04-03,-69,-39,-75.0,-79.0,-44,22.0
ARE,AE,United Arab Emirates,,,,,,2020-04-04,-58,-27,-58.0,-72.0,-37,21.0
ARE,AE,United Arab Emirates,,,,,,2020-04-05,-61,-30,-58.0,-79.0,-57,31.0
ARE,AE,United Arab Emirates,,,,,,2020-04-06,-63,-32,-58.0,-78.0,-56,30.0
ARE,AE,United Arab Emirates,,,,,,2020-04-07,-63,-30,-73.0,-78.0,-55,30.0
ARE,AE,United Arab Emirates,,,,,,2020-04-08,-63,-30,-74.0,-78.0,-55,30.0
ARE,AE,United Arab Emirates,,,,,,2020-04-09,-64,-31,-76.0,-79.0,-55,33.0
ARE,AE,United Arab Emirates,,,,,,2020-04-10,-74,-46,-86.0,-84.0,-49,23.0
ARE,AE,United Arab Emirates,,,,,,2020-04-11,-64,-32,-77.0,-79.0,-45,24.0
ARE,AE,United Arab Emirates,,,,,,2020-04-12,-60,-28,-74.0,-79.0,-55,30.0
ARE,AE,United Arab Emirates,,,,,,2020-04-13,-62,-30,-73.0,-78.0,-55,30.0
ARE,AE,United Arab Emirates,,,,,,2020-04-14,-62,-31,-74.0,-78.0,-55,30.0
ARE,AE,United Arab Emirates,,,,,,2020-04-15,-63,-32,-74.0,-78.0,-56,31.0
ARE,AE,United Arab Emirates,,,,,,2020-04-16,-63,-32,-74.0,-79.0,-55,34.0
ARE,AE,United Arab Emirates,,,,,,2020-04-17,-73,-45,-85.0,-84.0,-48,23.0
ARE,AE,United Arab Emirates,,,,,,2020-04-18,-66,-39,-78.0,-78.0,-45,24.0
ARE,AE,United Arab Emirates,,,,,,2020-04-19,-62,-35,-74.0,-78.0,-54,30.0
ARE,AE,United Arab Emirates,,,,,,2020-04-20,-63,-37,-74.0,-78.0,-55,30.0
ARE,AE,United Arab Emirates,,,,,,2020-04-21,-63,-35,-74.0,-78.0,-55,30.0
ARE,AE,United Arab Emirates,,,,,,2020-04-22,-62,-33,-75.0,-77.0,-55,30.0
ARE,AE,United Arab Emirates,,,,,,2020-04-23,-62,-29,-76.0,-77.0,-55,32.0
ARE,AE,United Arab Emirates,,,,,,2020-04-24,-72,-40,-86.0,-80.0,-47,24.0
ARE,AE,United Arab Emirates,,,,,,2020-04-25,-62,-32,-77.0,-74.0,-41,25.0
ARE,AE,United Arab Emirates,,,,,,2020-04-26,-56,-26,-73.0,-69.0,-49,30.0
ARE,AE,United Arab Emirates,,,,,,2020-04-27,-57,-28,-73.0,-68.0,-48,30.0
ARE,AE,United Arab Emirates,,,,,,2020-04-28,-56,-26,-72.0,-67.0,-48,28.0
ARE,AE,United Arab Emirates,,,,,,2020-04-29,-55,-24,-72.0,-67.0,-47,29.0
ARE,AE,United Arab Emirates,,,,,,2020-04-30,-57,-26,-71.0,-66.0,-47,31.0
ARE,AE,United Arab Emirates,,,,,,2020-05-01,-66,-36,-83.0,-73.0,-41,22.0
