open_covid_region_code,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CHE,CH,Switzerland,,,,,,2020-02-15,-1.0,-1.0,31.0,6.0,-2.0,-1.0
CHE,CH,Switzerland,,,,,,2020-02-16,10.0,12.0,30.0,8.0,-2.0,-1.0
CHE,CH,Switzerland,,,,,,2020-02-17,-3.0,-4.0,-3.0,-2.0,-1.0,1.0
CHE,CH,Switzerland,,,,,,2020-02-18,3.0,1.0,34.0,3.0,-2.0,1.0
CHE,CH,Switzerland,,,,,,2020-02-19,-4.0,-4.0,-11.0,-4.0,-3.0,1.0
CHE,CH,Switzerland,,,,,,2020-02-20,2.0,-1.0,46.0,5.0,-5.0,0.0
CHE,CH,Switzerland,,,,,,2020-02-21,-1.0,-1.0,26.0,1.0,-6.0,1.0
CHE,CH,Switzerland,,,,,,2020-02-22,1.0,0.0,57.0,14.0,-1.0,-2.0
CHE,CH,Switzerland,,,,,,2020-02-23,14.0,18.0,27.0,13.0,0.0,-1.0
CHE,CH,Switzerland,,,,,,2020-02-24,6.0,3.0,74.0,7.0,-3.0,0.0
CHE,CH,Switzerland,,,,,,2020-02-25,4.0,6.0,17.0,3.0,-4.0,1.0
CHE,CH,Switzerland,,,,,,2020-02-26,-5.0,0.0,-20.0,-5.0,-4.0,2.0
CHE,CH,Switzerland,,,,,,2020-02-27,-5.0,1.0,-22.0,-5.0,-5.0,2.0
CHE,CH,Switzerland,,,,,,2020-02-28,-1.0,8.0,16.0,-1.0,-4.0,2.0
CHE,CH,Switzerland,,,,,,2020-02-29,-6.0,4.0,-14.0,-7.0,-2.0,2.0
CHE,CH,Switzerland,,,,,,2020-03-01,3.0,8.0,29.0,2.0,-1.0,1.0
CHE,CH,Switzerland,,,,,,2020-03-02,-7.0,-1.0,-24.0,-7.0,-1.0,3.0
CHE,CH,Switzerland,,,,,,2020-03-03,-1.0,4.0,7.0,-3.0,0.0,2.0
CHE,CH,Switzerland,,,,,,2020-03-04,-3.0,1.0,8.0,-2.0,-1.0,1.0
CHE,CH,Switzerland,,,,,,2020-03-05,-11.0,-4.0,-36.0,-11.0,-2.0,3.0
CHE,CH,Switzerland,,,,,,2020-03-06,-6.0,1.0,-12.0,-8.0,-2.0,3.0
CHE,CH,Switzerland,,,,,,2020-03-07,-4.0,2.0,-3.0,-9.0,-2.0,3.0
CHE,CH,Switzerland,,,,,,2020-03-08,6.0,7.0,47.0,3.0,-3.0,0.0
CHE,CH,Switzerland,,,,,,2020-03-09,-8.0,-1.0,-17.0,-8.0,0.0,3.0
CHE,CH,Switzerland,,,,,,2020-03-10,-10.0,-1.0,-26.0,-10.0,-1.0,4.0
CHE,CH,Switzerland,,,,,,2020-03-11,-7.0,2.0,10.0,-6.0,-2.0,3.0
CHE,CH,Switzerland,,,,,,2020-03-12,-11.0,8.0,-1.0,-11.0,-4.0,4.0
CHE,CH,Switzerland,,,,,,2020-03-13,-13.0,24.0,1.0,-15.0,-6.0,5.0
CHE,CH,Switzerland,,,,,,2020-03-14,-25.0,12.0,-6.0,-26.0,-7.0,8.0
CHE,CH,Switzerland,,,,,,2020-03-15,-27.0,2.0,66.0,-16.0,-13.0,5.0
CHE,CH,Switzerland,,,,,,2020-03-16,-17.0,24.0,14.0,-30.0,-20.0,10.0
CHE,CH,Switzerland,,,,,,2020-03-17,-57.0,1.0,21.0,-42.0,-33.0,17.0
CHE,CH,Switzerland,,,,,,2020-03-18,-62.0,-4.0,22.0,-45.0,-38.0,18.0
CHE,CH,Switzerland,,,,,,2020-03-19,-65.0,-10.0,19.0,-51.0,-46.0,21.0
CHE,CH,Switzerland,,,,,,2020-03-20,-67.0,-4.0,-11.0,-56.0,-45.0,24.0
CHE,CH,Switzerland,,,,,,2020-03-21,-78.0,-26.0,-29.0,-62.0,-43.0,19.0
CHE,CH,Switzerland,,,,,,2020-03-22,-82.0,-49.0,-40.0,-66.0,-45.0,15.0
CHE,CH,Switzerland,,,,,,2020-03-23,-68.0,-20.0,-19.0,-59.0,-46.0,22.0
CHE,CH,Switzerland,,,,,,2020-03-24,-69.0,-19.0,-5.0,-58.0,-49.0,24.0
CHE,CH,Switzerland,,,,,,2020-03-25,-70.0,-19.0,-20.0,-59.0,-49.0,23.0
CHE,CH,Switzerland,,,,,,2020-03-26,-70.0,-18.0,-23.0,-61.0,-50.0,24.0
CHE,CH,Switzerland,,,,,,2020-03-27,-69.0,-13.0,-3.0,-58.0,-49.0,26.0
CHE,CH,Switzerland,,,,,,2020-03-28,-73.0,-19.0,18.0,-53.0,-43.0,17.0
CHE,CH,Switzerland,,,,,,2020-03-29,-81.0,-51.0,-41.0,-68.0,-46.0,15.0
CHE,CH,Switzerland,,,,,,2020-03-30,-71.0,-22.0,-46.0,-62.0,-48.0,23.0
CHE,CH,Switzerland,,,,,,2020-03-31,-84.0,-2.0,1.0,-53.0,-49.0,23.0
CHE,CH,Switzerland,,,,,,2020-04-01,-84.0,-5.0,7.0,-52.0,-48.0,22.0
CHE,CH,Switzerland,,,,,,2020-04-02,-84.0,-3.0,8.0,-53.0,-50.0,23.0
CHE,CH,Switzerland,,,,,,2020-04-03,-79.0,2.0,8.0,-54.0,-48.0,25.0
CHE,CH,Switzerland,,,,,,2020-04-04,-82.0,-5.0,15.0,-51.0,-42.0,17.0
CHE,CH,Switzerland,,,,,,2020-04-05,-76.0,-25.0,42.0,-48.0,-42.0,12.0
CHE,CH,Switzerland,,,,,,2020-04-06,-76.0,-5.0,21.0,-51.0,-47.0,21.0
CHE,CH,Switzerland,,,,,,2020-04-07,-72.0,1.0,42.0,-50.0,-48.0,21.0
CHE,CH,Switzerland,,,,,,2020-04-08,-72.0,9.0,26.0,-51.0,-48.0,20.0
CHE,CH,Switzerland,,,,,,2020-04-09,-70.0,25.0,22.0,-50.0,-50.0,21.0
CHE,CH,Switzerland,,,,,,2020-04-10,-87.0,-75.0,75.0,-61.0,-85.0,34.0
CHE,CH,Switzerland,,,,,,2020-04-11,-77.0,11.0,27.0,-47.0,-41.0,15.0
CHE,CH,Switzerland,,,,,,2020-04-12,-78.0,-30.0,33.0,-49.0,-39.0,11.0
CHE,CH,Switzerland,,,,,,2020-04-13,-86.0,-80.0,83.0,-61.0,-85.0,30.0
CHE,CH,Switzerland,,,,,,2020-04-14,-73.0,-4.0,11.0,-52.0,-47.0,21.0
CHE,CH,Switzerland,,,,,,2020-04-15,-74.0,-14.0,30.0,-49.0,-46.0,20.0
CHE,CH,Switzerland,,,,,,2020-04-16,-72.0,-14.0,30.0,-51.0,-47.0,21.0
CHE,CH,Switzerland,,,,,,2020-04-17,-72.0,-10.0,39.0,-50.0,-46.0,22.0
CHE,CH,Switzerland,,,,,,2020-04-18,-76.0,-14.0,33.0,-46.0,-36.0,15.0
CHE,CH,Switzerland,,,,,,2020-04-19,-74.0,-21.0,36.0,-46.0,-36.0,11.0
CHE,CH,Switzerland,,,,,,2020-04-20,-70.0,-21.0,15.0,-51.0,-43.0,20.0
