open_covid_region_code,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CIV,CI,Côte d'Ivoire,,,,,,2020-02-15,3.0,0.0,12.0,3.0,-1,-1.0
CIV,CI,Côte d'Ivoire,,,,,,2020-02-16,4.0,2.0,4.0,5.0,1,0.0
CIV,CI,Côte d'Ivoire,,,,,,2020-02-17,1.0,0.0,7.0,2.0,-2,1.0
CIV,CI,Côte d'Ivoire,,,,,,2020-02-18,2.0,3.0,11.0,1.0,-2,1.0
CIV,CI,Côte d'Ivoire,,,,,,2020-02-19,0.0,0.0,8.0,0.0,-2,1.0
CIV,CI,Côte d'Ivoire,,,,,,2020-02-20,2.0,1.0,7.0,4.0,-3,2.0
CIV,CI,Côte d'Ivoire,,,,,,2020-02-21,-1.0,-1.0,7.0,1.0,-3,2.0
CIV,CI,Côte d'Ivoire,,,,,,2020-02-22,-3.0,-5.0,7.0,-1.0,0,0.0
CIV,CI,Côte d'Ivoire,,,,,,2020-02-23,1.0,1.0,6.0,6.0,1,0.0
CIV,CI,Côte d'Ivoire,,,,,,2020-02-24,-3.0,-3.0,3.0,-1.0,2,0.0
CIV,CI,Côte d'Ivoire,,,,,,2020-02-25,0.0,0.0,10.0,0.0,2,0.0
CIV,CI,Côte d'Ivoire,,,,,,2020-02-26,-3.0,-2.0,5.0,0.0,3,0.0
CIV,CI,Côte d'Ivoire,,,,,,2020-02-27,1.0,0.0,5.0,2.0,2,0.0
CIV,CI,Côte d'Ivoire,,,,,,2020-02-28,-2.0,0.0,7.0,-1.0,2,0.0
CIV,CI,Côte d'Ivoire,,,,,,2020-02-29,1.0,0.0,10.0,1.0,3,-1.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-01,6.0,5.0,10.0,4.0,5,-1.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-02,1.0,2.0,9.0,3.0,5,0.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-03,4.0,3.0,8.0,6.0,5,0.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-04,6.0,5.0,9.0,7.0,4,-1.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-05,6.0,5.0,8.0,11.0,3,0.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-06,1.0,3.0,11.0,6.0,3,-1.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-07,2.0,1.0,9.0,3.0,1,-2.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-08,6.0,4.0,9.0,8.0,2,-1.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-09,3.0,1.0,10.0,6.0,4,-1.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-10,6.0,5.0,13.0,8.0,6,-1.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-11,6.0,6.0,11.0,10.0,5,-1.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-12,4.0,3.0,7.0,8.0,2,0.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-13,-1.0,0.0,5.0,2.0,2,0.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-14,-3.0,-7.0,1.0,-4.0,-2,0.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-15,1.0,0.0,2.0,1.0,0,0.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-16,0.0,3.0,6.0,2.0,3,-1.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-17,2.0,12.0,8.0,0.0,-4,2.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-18,-6.0,3.0,1.0,-3.0,-6,5.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-19,-8.0,1.0,-2.0,-6.0,-8,6.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-20,-11.0,-3.0,-4.0,-12.0,-8,8.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-21,-16.0,-7.0,-8.0,-17.0,-5,7.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-22,-19.0,-9.0,-13.0,-18.0,-3,9.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-23,-16.0,-6.0,-7.0,-19.0,-12,10.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-24,-23.0,-8.0,-10.0,-21.0,-16,13.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-25,-25.0,-10.0,-15.0,-25.0,-18,15.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-26,-24.0,-8.0,-15.0,-24.0,-21,16.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-27,-31.0,-13.0,-18.0,-30.0,-22,17.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-28,-34.0,-17.0,-19.0,-30.0,-13,14.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-29,-35.0,-21.0,-21.0,-33.0,-9,14.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-30,-28.0,-16.0,-18.0,-34.0,-24,17.0
CIV,CI,Côte d'Ivoire,,,,,,2020-03-31,-28.0,-15.0,-13.0,-34.0,-25,16.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-01,-29.0,-17.0,-19.0,-33.0,-24,17.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-02,-25.0,-13.0,-15.0,-30.0,-25,17.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-03,-30.0,-16.0,-18.0,-33.0,-24,18.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-04,-34.0,-22.0,-21.0,-36.0,-13,14.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-05,-33.0,-22.0,-23.0,-37.0,-7,14.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-06,-27.0,-16.0,-17.0,-33.0,-24,17.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-07,-27.0,-15.0,-19.0,-34.0,-26,16.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-08,-30.0,-18.0,-20.0,-33.0,-26,17.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-09,-28.0,-16.0,-19.0,-30.0,-26,19.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-10,-33.0,-18.0,-22.0,-34.0,-25,21.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-11,-32.0,-19.0,-21.0,-33.0,-12,15.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-12,-34.0,-21.0,-23.0,-39.0,-7,14.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-13,-40.0,-27.0,-32.0,-45.0,-56,26.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-14,-29.0,-16.0,-21.0,-33.0,-23,16.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-15,-29.0,-17.0,-22.0,-32.0,-24,17.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-16,-29.0,-16.0,-22.0,-29.0,-25,18.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-17,-33.0,-18.0,-24.0,-34.0,-24,18.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-18,-34.0,-22.0,-25.0,-35.0,-10,14.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-19,-34.0,-20.0,-25.0,-38.0,-3,14.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-20,-29.0,-15.0,-23.0,-32.0,-22,16.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-21,-27.0,-13.0,-19.0,-32.0,-23,16.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-22,-30.0,-16.0,-23.0,-33.0,-22,16.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-23,-27.0,-13.0,-21.0,-29.0,-23,17.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-24,-33.0,-17.0,-24.0,-36.0,-23,19.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-25,-34.0,-22.0,-27.0,-38.0,-10,15.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-26,-39.0,-27.0,-30.0,-44.0,-7,17.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-27,-29.0,-16.0,-24.0,-34.0,-21,17.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-28,-26.0,-12.0,-20.0,-32.0,-22,16.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-29,-26.0,-11.0,-17.0,-30.0,-21,17.0
CIV,CI,Côte d'Ivoire,,,,,,2020-04-30,-21.0,-6.0,-14.0,-25.0,-20,16.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-01,-36.0,-15.0,-26.0,-39.0,-49,24.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-02,-31.0,-16.0,-24.0,-33.0,-7,14.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-03,-33.0,-19.0,-26.0,-38.0,-1,14.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-04,-25.0,-11.0,-20.0,-29.0,-19,15.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-05,-23.0,-8.0,-14.0,-27.0,-19,15.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-06,-22.0,-5.0,-16.0,-24.0,-18,16.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-07,-19.0,-4.0,-9.0,-20.0,-18,15.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-08,-23.0,-8.0,-17.0,-26.0,-17,16.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-09,-22.0,-9.0,-16.0,-25.0,-3,11.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-10,-21.0,-8.0,-18.0,-26.0,6,12.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-11,-19.0,-5.0,-15.0,-22.0,-16,15.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-12,-15.0,-1.0,-10.0,-21.0,-15,13.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-13,-18.0,-5.0,-14.0,-23.0,-15,13.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-14,-16.0,-3.0,-15.0,-19.0,-15,12.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-15,-18.0,-4.0,-14.0,-21.0,-14,14.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-16,-17.0,-7.0,-13.0,-22.0,1,10.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-17,-20.0,-9.0,-22.0,-26.0,7,10.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-18,-15.0,-5.0,-16.0,-21.0,-13,11.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-19,-11.0,-2.0,-10.0,-20.0,-13,10.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-20,-21.0,-9.0,-21.0,-28.0,-45,20.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-21,-22.0,-10.0,-22.0,-28.0,-47,21.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-22,-15.0,1.0,-9.0,-17.0,-12,10.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-23,-28.0,-18.0,-24.0,-36.0,-32,12.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-24,-15.0,-8.0,-15.0,-25.0,3,8.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-25,-14.0,-5.0,-12.0,-19.0,-13,11.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-26,-13.0,-4.0,-12.0,-19.0,-10,10.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-27,-12.0,-2.0,-11.0,-16.0,-9,10.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-28,-9.0,0.0,-8.0,-13.0,-10,10.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-29,-8.0,1.0,-10.0,-15.0,-8,9.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-30,-10.0,-2.0,-13.0,-16.0,3,6.0
CIV,CI,Côte d'Ivoire,,,,,,2020-05-31,-7.0,-1.0,-11.0,-19.0,10,5.0
CIV,CI,Côte d'Ivoire,,,,,,2020-06-01,-13.0,-3.0,-18.0,-23.0,-45,18.0
CIV,CI,Côte d'Ivoire,,,,,,2020-06-02,-4.0,6.0,-2.0,-7.0,-5,6.0
