open_covid_region_code,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
DOM,DO,Dominican Republic,,,,,,2020-02-15,0.0,6.0,1.0,-2.0,-1.0,1.0
DOM,DO,Dominican Republic,,,,,,2020-02-16,-18.0,-9.0,-12.0,-13.0,-9.0,3.0
DOM,DO,Dominican Republic,,,,,,2020-02-17,0.0,4.0,-2.0,-8.0,-2.0,1.0
DOM,DO,Dominican Republic,,,,,,2020-02-18,-1.0,0.0,-3.0,4.0,3.0,-1.0
DOM,DO,Dominican Republic,,,,,,2020-02-19,-4.0,-2.0,3.0,0.0,1.0,1.0
DOM,DO,Dominican Republic,,,,,,2020-02-20,0.0,-2.0,6.0,0.0,1.0,1.0
DOM,DO,Dominican Republic,,,,,,2020-02-21,-2.0,-2.0,7.0,1.0,1.0,0.0
DOM,DO,Dominican Republic,,,,,,2020-02-22,0.0,-1.0,3.0,0.0,2.0,0.0
DOM,DO,Dominican Republic,,,,,,2020-02-23,-6.0,-7.0,-6.0,-3.0,-4.0,1.0
DOM,DO,Dominican Republic,,,,,,2020-02-24,0.0,1.0,-1.0,1.0,4.0,0.0
DOM,DO,Dominican Republic,,,,,,2020-02-25,0.0,0.0,2.0,2.0,4.0,0.0
DOM,DO,Dominican Republic,,,,,,2020-02-26,1.0,0.0,0.0,0.0,1.0,0.0
DOM,DO,Dominican Republic,,,,,,2020-02-27,-16.0,-10.0,48.0,-22.0,-55.0,14.0
DOM,DO,Dominican Republic,,,,,,2020-02-28,0.0,4.0,0.0,2.0,-3.0,1.0
DOM,DO,Dominican Republic,,,,,,2020-02-29,5.0,9.0,6.0,6.0,3.0,-1.0
DOM,DO,Dominican Republic,,,,,,2020-03-01,-5.0,1.0,-10.0,-2.0,-5.0,1.0
DOM,DO,Dominican Republic,,,,,,2020-03-02,0.0,5.0,-9.0,4.0,3.0,1.0
DOM,DO,Dominican Republic,,,,,,2020-03-03,0.0,5.0,-4.0,2.0,2.0,0.0
DOM,DO,Dominican Republic,,,,,,2020-03-04,-1.0,3.0,1.0,0.0,2.0,0.0
DOM,DO,Dominican Republic,,,,,,2020-03-05,1.0,1.0,1.0,2.0,2.0,0.0
DOM,DO,Dominican Republic,,,,,,2020-03-06,-1.0,0.0,1.0,0.0,2.0,0.0
DOM,DO,Dominican Republic,,,,,,2020-03-07,2.0,1.0,4.0,3.0,3.0,0.0
DOM,DO,Dominican Republic,,,,,,2020-03-08,-11.0,-8.0,-16.0,-8.0,-5.0,2.0
DOM,DO,Dominican Republic,,,,,,2020-03-09,-6.0,-3.0,-13.0,-5.0,2.0,2.0
DOM,DO,Dominican Republic,,,,,,2020-03-10,-3.0,-1.0,-6.0,1.0,3.0,0.0
DOM,DO,Dominican Republic,,,,,,2020-03-11,-5.0,-2.0,-2.0,-4.0,1.0,1.0
DOM,DO,Dominican Republic,,,,,,2020-03-12,-4.0,0.0,-6.0,-5.0,0.0,1.0
DOM,DO,Dominican Republic,,,,,,2020-03-13,-3.0,12.0,-5.0,-9.0,-10.0,3.0
DOM,DO,Dominican Republic,,,,,,2020-03-14,-7.0,15.0,-4.0,-7.0,-1.0,2.0
DOM,DO,Dominican Republic,,,,,,2020-03-15,-22.0,-4.0,-9.0,-15.0,-9.0,1.0
DOM,DO,Dominican Republic,,,,,,2020-03-16,-8.0,5.0,-6.0,-18.0,-11.0,4.0
DOM,DO,Dominican Republic,,,,,,2020-03-17,-14.0,12.0,-18.0,-21.0,-13.0,6.0
DOM,DO,Dominican Republic,,,,,,2020-03-18,-25.0,5.0,-25.0,-27.0,-22.0,10.0
DOM,DO,Dominican Republic,,,,,,2020-03-19,-53.0,-21.0,-46.0,-53.0,-46.0,20.0
DOM,DO,Dominican Republic,,,,,,2020-03-20,-66.0,-35.0,-57.0,-64.0,-58.0,27.0
DOM,DO,Dominican Republic,,,,,,2020-03-21,-73.0,-48.0,-65.0,-74.0,-59.0,25.0
DOM,DO,Dominican Republic,,,,,,2020-03-22,-76.0,-57.0,-70.0,-78.0,-51.0,21.0
DOM,DO,Dominican Republic,,,,,,2020-03-23,-68.0,-41.0,-60.0,-77.0,-68.0,30.0
DOM,DO,Dominican Republic,,,,,,2020-03-24,-74.0,-50.0,-63.0,-80.0,-71.0,30.0
DOM,DO,Dominican Republic,,,,,,2020-03-25,-75.0,-53.0,-63.0,-81.0,-73.0,32.0
DOM,DO,Dominican Republic,,,,,,2020-03-26,-76.0,-55.0,-64.0,-83.0,-74.0,33.0
DOM,DO,Dominican Republic,,,,,,2020-03-27,-78.0,-58.0,-68.0,-84.0,-75.0,35.0
DOM,DO,Dominican Republic,,,,,,2020-03-28,-79.0,-60.0,-70.0,-84.0,-66.0,28.0
DOM,DO,Dominican Republic,,,,,,2020-03-29,-80.0,-63.0,-73.0,-84.0,-56.0,23.0
DOM,DO,Dominican Republic,,,,,,2020-03-30,-70.0,-45.0,-61.0,-80.0,-72.0,31.0
DOM,DO,Dominican Republic,,,,,,2020-03-31,-74.0,-52.0,-64.0,-82.0,-73.0,31.0
DOM,DO,Dominican Republic,,,,,,2020-04-01,-75.0,-55.0,-63.0,-83.0,-73.0,33.0
DOM,DO,Dominican Republic,,,,,,2020-04-02,-75.0,-55.0,-64.0,-83.0,-73.0,33.0
DOM,DO,Dominican Republic,,,,,,2020-04-03,-75.0,-53.0,-64.0,-83.0,-72.0,34.0
DOM,DO,Dominican Republic,,,,,,2020-04-04,-77.0,-56.0,-68.0,-82.0,-63.0,27.0
DOM,DO,Dominican Republic,,,,,,2020-04-05,-78.0,-60.0,-71.0,-83.0,-53.0,22.0
DOM,DO,Dominican Republic,,,,,,2020-04-06,-71.0,-51.0,-62.0,-82.0,-70.0,31.0
DOM,DO,Dominican Republic,,,,,,2020-04-07,-72.0,-51.0,-62.0,-81.0,-71.0,30.0
DOM,DO,Dominican Republic,,,,,,2020-04-08,-72.0,-51.0,-62.0,-82.0,-71.0,31.0
DOM,DO,Dominican Republic,,,,,,2020-04-09,-70.0,-46.0,-60.0,-81.0,-73.0,32.0
DOM,DO,Dominican Republic,,,,,,2020-04-10,-84.0,-73.0,-69.0,-88.0,-83.0,38.0
DOM,DO,Dominican Republic,,,,,,2020-04-11,-78.0,-58.0,-69.0,-85.0,-67.0,28.0
DOM,DO,Dominican Republic,,,,,,2020-04-12,-78.0,-62.0,-71.0,-85.0,-54.0,22.0
DOM,DO,Dominican Republic,,,,,,2020-04-13,-70.0,-51.0,-61.0,-81.0,-68.0,31.0
DOM,DO,Dominican Republic,,,,,,2020-04-14,-71.0,-51.0,-61.0,-81.0,-69.0,30.0
DOM,DO,Dominican Republic,,,,,,2020-04-15,-70.0,-50.0,-60.0,-81.0,-68.0,31.0
DOM,DO,Dominican Republic,,,,,,2020-04-16,-69.0,-47.0,-59.0,-80.0,-69.0,32.0
DOM,DO,Dominican Republic,,,,,,2020-04-17,-70.0,-47.0,-60.0,-80.0,-68.0,32.0
DOM,DO,Dominican Republic,,,,,,2020-04-18,-74.0,-54.0,-66.0,-81.0,-59.0,25.0
DOM,DO,Dominican Republic,,,,,,2020-04-19,-75.0,-58.0,-69.0,-82.0,-49.0,21.0
DOM,DO,Dominican Republic,,,,,,2020-04-20,-68.0,-49.0,-59.0,-80.0,-66.0,29.0
DOM,DO,Dominican Republic,,,,,,2020-04-21,-72.0,-54.0,-63.0,-81.0,-69.0,31.0
DOM,DO,Dominican Republic,,,,,,2020-04-22,-68.0,-49.0,-59.0,-79.0,-67.0,30.0
DOM,DO,Dominican Republic,,,,,,2020-04-23,-68.0,-48.0,-59.0,-80.0,-67.0,31.0
DOM,DO,Dominican Republic,,,,,,2020-04-24,-69.0,-49.0,-60.0,-80.0,-66.0,31.0
DOM,DO,Dominican Republic,,,,,,2020-04-25,-71.0,-52.0,-63.0,-80.0,-57.0,25.0
DOM,DO,Dominican Republic,,,,,,2020-04-26,-72.0,-55.0,-66.0,-82.0,-47.0,20.0
DOM,DO,Dominican Republic,,,,,,2020-04-27,-66.0,-49.0,-57.0,-79.0,-63.0,30.0
DOM,DO,Dominican Republic,,,,,,2020-04-28,-66.0,-47.0,-56.0,-78.0,-64.0,26.0
DOM,DO,Dominican Republic,,,,,,2020-04-29,-66.0,-47.0,-56.0,-78.0,-64.0,29.0
DOM,DO,Dominican Republic,,,,,,2020-04-30,-65.0,-46.0,-57.0,-78.0,-64.0,30.0
DOM,DO,Dominican Republic,,,,,,2020-05-01,-66.0,-46.0,-58.0,-78.0,-63.0,30.0
DOM,DO,Dominican Republic,,,,,,2020-05-02,-67.0,-47.0,-60.0,-77.0,-53.0,23.0
DOM,DO,Dominican Republic,,,,,,2020-05-03,-70.0,-50.0,-63.0,-79.0,-43.0,18.0
DOM,DO,Dominican Republic,,,,,,2020-05-04,-70.0,-52.0,-58.0,-82.0,-73.0,31.0
DOM,DO,Dominican Republic,,,,,,2020-05-05,-62.0,-44.0,-54.0,-74.0,-60.0,26.0
DOM,DO,Dominican Republic,,,,,,2020-05-06,-63.0,-43.0,-53.0,-75.0,-61.0,28.0
DOM,DO,Dominican Republic,,,,,,2020-05-07,-63.0,-42.0,-53.0,-76.0,-61.0,29.0
DOM,DO,Dominican Republic,,,,,,2020-05-08,-63.0,-41.0,-54.0,-74.0,-60.0,29.0
DOM,DO,Dominican Republic,,,,,,2020-05-09,-64.0,-43.0,-56.0,-75.0,-49.0,22.0
DOM,DO,Dominican Republic,,,,,,2020-05-10,-67.0,-47.0,-60.0,-77.0,-40.0,18.0
DOM,DO,Dominican Republic,,,,,,2020-05-11,-61.0,-42.0,-52.0,-75.0,-57.0,27.0
DOM,DO,Dominican Republic,,,,,,2020-05-12,-61.0,-41.0,-52.0,-74.0,-58.0,26.0
DOM,DO,Dominican Republic,,,,,,2020-05-13,-62.0,-43.0,-52.0,-75.0,-58.0,27.0
DOM,DO,Dominican Republic,,,,,,2020-05-14,-63.0,-43.0,-53.0,-76.0,-59.0,27.0
DOM,DO,Dominican Republic,,,,,,2020-05-15,-63.0,-41.0,-53.0,-75.0,-57.0,28.0
DOM,DO,Dominican Republic,,,,,,2020-05-16,-63.0,-40.0,-53.0,-73.0,-46.0,22.0
DOM,DO,Dominican Republic,,,,,,2020-05-17,-65.0,-44.0,-57.0,-75.0,-36.0,17.0
DOM,DO,Dominican Republic,,,,,,2020-05-18,-57.0,-38.0,-48.0,-73.0,-53.0,25.0
DOM,DO,Dominican Republic,,,,,,2020-05-19,-57.0,-36.0,-47.0,-72.0,-53.0,24.0
DOM,DO,Dominican Republic,,,,,,2020-05-20,-48.0,-33.0,-44.0,-67.0,-48.0,22.0
DOM,DO,Dominican Republic,,,,,,2020-05-21,-47.0,-32.0,-44.0,-66.0,-49.0,24.0
DOM,DO,Dominican Republic,,,,,,2020-05-22,-49.0,-31.0,-45.0,-65.0,-47.0,23.0
DOM,DO,Dominican Republic,,,,,,2020-05-23,-48.0,-31.0,-46.0,-63.0,-33.0,17.0
DOM,DO,Dominican Republic,,,,,,2020-05-24,-59.0,-40.0,-54.0,-71.0,-30.0,16.0
DOM,DO,Dominican Republic,,,,,,2020-05-25,-40.0,-26.0,-39.0,-60.0,-44.0,20.0
DOM,DO,Dominican Republic,,,,,,2020-05-26,-42.0,-29.0,-41.0,-61.0,-43.0,19.0
DOM,DO,Dominican Republic,,,,,,2020-05-27,-43.0,-31.0,-41.0,-62.0,-44.0,20.0
DOM,DO,Dominican Republic,,,,,,2020-05-28,-44.0,-32.0,-44.0,-62.0,-44.0,21.0
DOM,DO,Dominican Republic,,,,,,2020-05-29,-43.0,-27.0,-41.0,-61.0,-43.0,20.0
DOM,DO,Dominican Republic,,,,,,2020-05-30,-39.0,-21.0,-39.0,-57.0,-26.0,14.0
DOM,DO,Dominican Republic,,,,,,2020-05-31,-45.0,-23.0,-43.0,-61.0,-17.0,11.0
DOM,DO,Dominican Republic,,,,,,2020-06-01,-40.0,-27.0,-38.0,-59.0,-39.0,18.0
DOM,DO,Dominican Republic,,,,,,2020-06-02,-41.0,-28.0,-39.0,-58.0,-40.0,18.0
DOM,DO,Dominican Republic,,,,,,2020-06-03,-41.0,-28.0,-36.0,-56.0,-39.0,19.0
DOM,DO,Dominican Republic,,,,,,2020-06-04,-41.0,-28.0,-37.0,-56.0,-39.0,19.0
DOM,DO,Dominican Republic,,,,,,2020-06-05,-42.0,-27.0,-38.0,-56.0,-38.0,19.0
DOM,DO,Dominican Republic,,,,,,2020-06-06,-43.0,-25.0,-40.0,-55.0,-24.0,14.0
DOM,DO,Dominican Republic,,,,,,2020-06-07,-54.0,-35.0,-47.0,-63.0,-22.0,14.0
DOM,DO,Dominican Republic,,,,,,2020-06-08,-37.0,-23.0,-35.0,-52.0,-35.0,17.0
DOM,DO,Dominican Republic,,,,,,2020-06-09,-39.0,-25.0,-35.0,-51.0,-36.0,16.0
DOM,DO,Dominican Republic,,,,,,2020-06-10,-38.0,-24.0,-34.0,-52.0,-37.0,17.0
DOM,DO,Dominican Republic,,,,,,2020-06-11,-53.0,-34.0,-35.0,-68.0,-62.0,26.0
DOM,DO,Dominican Republic,,,,,,2020-06-12,-40.0,-25.0,-37.0,-52.0,-38.0,18.0
DOM,DO,Dominican Republic,,,,,,2020-06-13,-41.0,-24.0,-37.0,-54.0,-22.0,14.0
DOM,DO,Dominican Republic,,,,,,2020-06-14,-47.0,-28.0,-40.0,-59.0,-15.0,11.0
DOM,DO,Dominican Republic,,,,,,2020-06-15,-33.0,-18.0,-31.0,-51.0,-34.0,15.0
DOM,DO,Dominican Republic,,,,,,2020-06-16,-33.0,-18.0,-31.0,-49.0,-34.0,15.0
DOM,DO,Dominican Republic,,,,,,2020-06-17,-36.0,-22.0,-32.0,-52.0,-36.0,16.0
DOM,DO,Dominican Republic,,,,,,2020-06-18,-37.0,-25.0,-34.0,-53.0,-37.0,17.0
DOM,DO,Dominican Republic,,,,,,2020-06-19,-39.0,-24.0,-33.0,-52.0,-36.0,16.0
DOM,DO,Dominican Republic,,,,,,2020-06-20,-38.0,-23.0,-35.0,-52.0,-20.0,13.0
DOM,DO,Dominican Republic,,,,,,2020-06-21,-47.0,-28.0,-38.0,-59.0,-16.0,11.0
DOM,DO,Dominican Republic,,,,,,2020-06-22,-35.0,-24.0,-33.0,-52.0,-35.0,16.0
DOM,DO,Dominican Republic,,,,,,2020-06-23,-34.0,-21.0,-32.0,-50.0,-36.0,16.0
DOM,DO,Dominican Republic,,,,,,2020-06-24,-35.0,-19.0,-31.0,-51.0,-35.0,16.0
DOM,DO,Dominican Republic,,,,,,2020-06-25,-34.0,-19.0,-31.0,-51.0,-36.0,16.0
DOM,DO,Dominican Republic,,,,,,2020-06-26,-38.0,-20.0,-34.0,-50.0,-36.0,16.0
DOM,DO,Dominican Republic,,,,,,2020-06-27,-36.0,-19.0,-33.0,-50.0,-21.0,12.0
DOM,DO,Dominican Republic,,,,,,2020-06-28,-41.0,-22.0,-33.0,-52.0,-15.0,9.0
DOM,DO,Dominican Republic,,,,,,2020-06-29,-31.0,-17.0,-28.0,-49.0,-33.0,14.0
DOM,DO,Dominican Republic,,,,,,2020-06-30,-27.0,-10.0,-25.0,-44.0,-33.0,13.0
DOM,DO,Dominican Republic,,,,,,2020-07-01,-29.0,-12.0,-24.0,-44.0,-34.0,14.0
DOM,DO,Dominican Republic,,,,,,2020-07-02,-29.0,-13.0,-26.0,-43.0,-35.0,15.0
DOM,DO,Dominican Republic,,,,,,2020-07-03,-30.0,-12.0,-24.0,-42.0,-35.0,14.0
DOM,DO,Dominican Republic,,,,,,2020-07-04,-27.0,-8.0,-19.0,-37.0,-18.0,9.0
DOM,DO,Dominican Republic,,,,,,2020-07-05,-38.0,-22.0,-22.0,-42.0,-20.0,6.0
DOM,DO,Dominican Republic,,,,,,2020-07-06,-29.0,-13.0,-21.0,-47.0,-36.0,14.0
DOM,DO,Dominican Republic,,,,,,2020-07-07,-29.0,-14.0,-27.0,-42.0,-35.0,14.0
DOM,DO,Dominican Republic,,,,,,2020-07-08,-32.0,-18.0,-29.0,-45.0,-35.0,15.0
DOM,DO,Dominican Republic,,,,,,2020-07-09,-30.0,-18.0,-27.0,-44.0,-35.0,15.0
DOM,DO,Dominican Republic,,,,,,2020-07-10,-33.0,-18.0,-29.0,-44.0,-35.0,15.0
DOM,DO,Dominican Republic,,,,,,2020-07-11,-33.0,-18.0,-27.0,-43.0,-20.0,11.0
DOM,DO,Dominican Republic,,,,,,2020-07-12,-40.0,-24.0,-29.0,-48.0,-19.0,10.0
DOM,DO,Dominican Republic,,,,,,2020-07-13,-30.0,-18.0,-28.0,-44.0,-35.0,14.0
DOM,DO,Dominican Republic,,,,,,2020-07-14,-30.0,-18.0,-28.0,-43.0,-36.0,14.0
DOM,DO,Dominican Republic,,,,,,2020-07-15,-31.0,-15.0,-29.0,-44.0,-36.0,15.0
DOM,DO,Dominican Republic,,,,,,2020-07-16,-29.0,-13.0,-28.0,-44.0,-36.0,15.0
DOM,DO,Dominican Republic,,,,,,2020-07-17,-32.0,-14.0,-29.0,-43.0,-36.0,15.0
DOM,DO,Dominican Republic,,,,,,2020-07-18,-33.0,-15.0,-30.0,-42.0,-21.0,12.0
DOM,DO,Dominican Republic,,,,,,2020-07-19,-42.0,-24.0,-36.0,-49.0,-21.0,11.0
DOM,DO,Dominican Republic,,,,,,2020-07-20,-31.0,-17.0,-31.0,-46.0,-35.0,16.0
DOM,DO,Dominican Republic,,,,,,2020-07-21,-37.0,-26.0,-38.0,-47.0,-39.0,17.0
DOM,DO,Dominican Republic,,,,,,2020-07-22,-39.0,-26.0,-38.0,-48.0,-38.0,18.0
DOM,DO,Dominican Republic,,,,,,2020-07-23,-37.0,-24.0,-36.0,-48.0,-39.0,19.0
DOM,DO,Dominican Republic,,,,,,2020-07-24,-37.0,-20.0,-35.0,-47.0,-38.0,18.0
DOM,DO,Dominican Republic,,,,,,2020-07-25,-39.0,-20.0,-39.0,-48.0,-27.0,16.0
DOM,DO,Dominican Republic,,,,,,2020-07-26,-44.0,-20.0,-41.0,-52.0,-22.0,12.0
DOM,DO,Dominican Republic,,,,,,2020-07-27,-33.0,-17.0,-31.0,-46.0,-38.0,16.0
DOM,DO,Dominican Republic,,,,,,2020-07-28,-33.0,-17.0,-32.0,-44.0,-38.0,16.0
DOM,DO,Dominican Republic,,,,,,2020-07-29,-34.0,-14.0,-30.0,-46.0,-39.0,16.0
DOM,DO,Dominican Republic,,,,,,2020-07-30,-51.0,-30.0,-52.0,-63.0,-52.0,23.0
DOM,DO,Dominican Republic,,,,,,2020-07-31,-44.0,-27.0,-45.0,-57.0,-44.0,19.0
DOM,DO,Dominican Republic,,,,,,2020-08-01,-42.0,-26.0,-42.0,-51.0,-29.0,15.0
DOM,DO,Dominican Republic,,,,,,2020-08-02,-46.0,-26.0,-42.0,-53.0,-26.0,13.0
DOM,DO,Dominican Republic,,,,,,2020-08-03,-29.0,-17.0,-28.0,-42.0,-37.0,15.0
DOM,DO,Dominican Republic,,,,,,2020-08-04,-31.0,-18.0,-30.0,-42.0,-38.0,15.0
DOM,DO,Dominican Republic,,,,,,2020-08-05,-33.0,-20.0,-29.0,-45.0,-38.0,16.0
DOM,DO,Dominican Republic,,,,,,2020-08-06,-34.0,-22.0,-29.0,-47.0,-38.0,16.0
DOM,DO,Dominican Republic,,,,,,2020-08-07,-36.0,-22.0,-30.0,-46.0,-38.0,16.0
DOM,DO,Dominican Republic,,,,,,2020-08-08,-41.0,-26.0,-37.0,-51.0,-28.0,14.0
DOM,DO,Dominican Republic,,,,,,2020-08-09,-46.0,-27.0,-36.0,-54.0,-26.0,11.0
DOM,DO,Dominican Republic,,,,,,2020-08-10,-32.0,-21.0,-28.0,-45.0,-37.0,14.0
DOM,DO,Dominican Republic,,,,,,2020-08-11,-33.0,-21.0,-29.0,-45.0,-38.0,15.0
DOM,DO,Dominican Republic,,,,,,2020-08-12,-34.0,-22.0,-29.0,-47.0,-38.0,15.0
DOM,DO,Dominican Republic,,,,,,2020-08-13,-34.0,-23.0,-30.0,-48.0,-38.0,16.0
DOM,DO,Dominican Republic,,,,,,2020-08-14,-36.0,-21.0,-31.0,-46.0,-38.0,16.0
DOM,DO,Dominican Republic,,,,,,2020-08-15,-38.0,-21.0,-37.0,-47.0,-27.0,14.0
DOM,DO,Dominican Republic,,,,,,2020-08-16,-43.0,-22.0,-35.0,-51.0,-25.0,11.0
DOM,DO,Dominican Republic,,,,,,2020-08-17,-27.0,-14.0,-25.0,-42.0,-35.0,14.0
DOM,DO,Dominican Republic,,,,,,2020-08-18,-28.0,-15.0,-23.0,-42.0,-34.0,14.0
DOM,DO,Dominican Republic,,,,,,2020-08-19,-29.0,-17.0,-23.0,-46.0,-36.0,14.0
DOM,DO,Dominican Republic,,,,,,2020-08-20,-28.0,-17.0,-24.0,-47.0,-36.0,15.0
DOM,DO,Dominican Republic,,,,,,2020-08-21,-31.0,-16.0,-27.0,-44.0,-37.0,15.0
DOM,DO,Dominican Republic,,,,,,2020-08-22,-37.0,-20.0,-38.0,-51.0,-28.0,14.0
DOM,DO,Dominican Republic,,,,,,2020-08-23,-60.0,-43.0,-59.0,-70.0,-43.0,14.0
DOM,DO,Dominican Republic,,,,,,2020-08-24,-26.0,-17.0,-26.0,-48.0,-35.0,13.0
DOM,DO,Dominican Republic,,,,,,2020-08-25,-24.0,-15.0,-21.0,-44.0,-35.0,13.0
DOM,DO,Dominican Republic,,,,,,2020-08-26,-25.0,-17.0,-19.0,-47.0,-35.0,14.0
DOM,DO,Dominican Republic,,,,,,2020-08-27,-22.0,-16.0,-18.0,-47.0,-36.0,14.0
DOM,DO,Dominican Republic,,,,,,2020-08-28,-24.0,-15.0,-18.0,-45.0,-36.0,13.0
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-02-15,13.0,,18.0,,-2.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-02-16,15.0,,31.0,,-6.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-02-17,,,10.0,,-12.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-02-18,-3.0,,2.0,,1.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-02-19,-1.0,,2.0,,1.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-02-20,-5.0,,-5.0,,-1.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-02-21,-4.0,,-7.0,,6.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-02-22,-13.0,-10.0,-6.0,,-2.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-02-23,-17.0,,-8.0,,-3.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-02-24,-3.0,,-8.0,,0.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-02-25,-7.0,,1.0,,5.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-02-26,-4.0,,-4.0,,-2.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-02-27,-3.0,-17.0,32.0,,-36.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-02-28,-4.0,,0.0,,0.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-02-29,6.0,2.0,4.0,,3.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-03-01,13.0,,19.0,,0.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-03-02,,,-5.0,,1.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-03-03,-1.0,,-5.0,,2.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-03-04,-2.0,,-1.0,,4.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-03-05,-1.0,,-7.0,,1.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-03-06,-5.0,,-13.0,,7.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-03-07,-7.0,-8.0,-2.0,,4.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-03-08,-9.0,,1.0,,-1.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-03-09,,-6.0,-14.0,,7.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-03-10,-7.0,,7.0,,3.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-03-11,0.0,,-3.0,,2.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-03-12,3.0,,-2.0,,1.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-03-13,8.0,,-2.0,,-7.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-03-14,13.0,,20.0,,-1.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-03-15,14.0,,31.0,,-4.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-03-16,,,21.0,,-18.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-03-17,-4.0,,-2.0,,-15.0,
DO-02,DO,Dominican Republic,Azua Province,,,DO-02,,2020-03-18,-13.0,,-18.0,,-20.0,
