open_covid_region_code,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MUS,MU,Mauritius,,,,,,2020-02-15,3.0,-1.0,-12.0,1.0,32.0,1.0
MUS,MU,Mauritius,,,,,,2020-02-16,1.0,1.0,12.0,-4.0,1.0,1.0
MUS,MU,Mauritius,,,,,,2020-02-17,-4.0,-3.0,7.0,0.0,3.0,0.0
MUS,MU,Mauritius,,,,,,2020-02-18,-1.0,-3.0,24.0,5.0,-1.0,-1.0
MUS,MU,Mauritius,,,,,,2020-02-19,-3.0,-6.0,27.0,7.0,-2.0,-2.0
MUS,MU,Mauritius,,,,,,2020-02-20,-2.0,-2.0,34.0,-6.0,-15.0,-1.0
MUS,MU,Mauritius,,,,,,2020-02-21,-36.0,-30.0,43.0,-32.0,-63.0,16.0
MUS,MU,Mauritius,,,,,,2020-02-22,-1.0,-1.0,-4.0,-7.0,26.0,2.0
MUS,MU,Mauritius,,,,,,2020-02-23,-3.0,-3.0,8.0,-10.0,1.0,2.0
MUS,MU,Mauritius,,,,,,2020-02-24,-4.0,-6.0,-4.0,-2.0,4.0,0.0
MUS,MU,Mauritius,,,,,,2020-02-25,0.0,-4.0,5.0,-2.0,3.0,0.0
MUS,MU,Mauritius,,,,,,2020-02-26,0.0,-4.0,-6.0,-4.0,6.0,0.0
MUS,MU,Mauritius,,,,,,2020-02-27,3.0,-3.0,-15.0,0.0,1.0,0.0
MUS,MU,Mauritius,,,,,,2020-02-28,2.0,-1.0,-16.0,0.0,16.0,0.0
MUS,MU,Mauritius,,,,,,2020-02-29,17.0,10.0,-14.0,2.0,35.0,-1.0
MUS,MU,Mauritius,,,,,,2020-03-01,17.0,11.0,-2.0,2.0,3.0,1.0
MUS,MU,Mauritius,,,,,,2020-03-02,7.0,4.0,-15.0,-2.0,3.0,1.0
MUS,MU,Mauritius,,,,,,2020-03-03,7.0,3.0,-2.0,-1.0,3.0,0.0
MUS,MU,Mauritius,,,,,,2020-03-04,4.0,0.0,-1.0,-4.0,6.0,0.0
MUS,MU,Mauritius,,,,,,2020-03-05,5.0,1.0,-2.0,-2.0,1.0,0.0
MUS,MU,Mauritius,,,,,,2020-03-06,-2.0,-3.0,-9.0,-1.0,17.0,1.0
MUS,MU,Mauritius,,,,,,2020-03-07,1.0,-3.0,-30.0,-4.0,32.0,2.0
MUS,MU,Mauritius,,,,,,2020-03-08,4.0,2.0,-24.0,-14.0,-1.0,4.0
MUS,MU,Mauritius,,,,,,2020-03-09,-2.0,-2.0,-23.0,-7.0,3.0,1.0
MUS,MU,Mauritius,,,,,,2020-03-10,-6.0,-8.0,-13.0,-23.0,-14.0,8.0
MUS,MU,Mauritius,,,,,,2020-03-11,5.0,-1.0,1.0,-18.0,-10.0,4.0
MUS,MU,Mauritius,,,,,,2020-03-12,-24.0,-31.0,-15.0,-41.0,-67.0,18.0
MUS,MU,Mauritius,,,,,,2020-03-13,-28.0,-15.0,-41.0,-34.0,-10.0,13.0
MUS,MU,Mauritius,,,,,,2020-03-14,-3.0,1.0,-30.0,-14.0,29.0,4.0
MUS,MU,Mauritius,,,,,,2020-03-15,2.0,12.0,-15.0,-15.0,0.0,4.0
MUS,MU,Mauritius,,,,,,2020-03-16,-3.0,5.0,-20.0,-8.0,3.0,1.0
MUS,MU,Mauritius,,,,,,2020-03-17,-11.0,-8.0,-15.0,-26.0,-16.0,8.0
MUS,MU,Mauritius,,,,,,2020-03-18,-8.0,-8.0,-8.0,-9.0,5.0,0.0
MUS,MU,Mauritius,,,,,,2020-03-19,-15.0,37.0,-26.0,-30.0,-21.0,7.0
MUS,MU,Mauritius,,,,,,2020-03-20,-75.0,-40.0,-68.0,-72.0,-69.0,32.0
MUS,MU,Mauritius,,,,,,2020-03-21,-83.0,-58.0,-83.0,-74.0,-55.0,26.0
MUS,MU,Mauritius,,,,,,2020-03-22,-90.0,-90.0,-88.0,-82.0,-62.0,24.0
MUS,MU,Mauritius,,,,,,2020-03-23,-83.0,-63.0,-83.0,-85.0,-84.0,36.0
MUS,MU,Mauritius,,,,,,2020-03-24,-88.0,-72.0,-83.0,-90.0,-87.0,38.0
MUS,MU,Mauritius,,,,,,2020-03-25,-95.0,-94.0,-88.0,-92.0,-91.0,40.0
MUS,MU,Mauritius,,,,,,2020-03-26,-92.0,-90.0,-85.0,-91.0,-89.0,37.0
MUS,MU,Mauritius,,,,,,2020-03-27,-92.0,-87.0,-84.0,-90.0,-87.0,40.0
MUS,MU,Mauritius,,,,,,2020-03-28,-91.0,-87.0,-88.0,-90.0,-73.0,30.0
MUS,MU,Mauritius,,,,,,2020-03-29,-89.0,-86.0,-88.0,-89.0,-69.0,24.0
MUS,MU,Mauritius,,,,,,2020-03-30,-88.0,-81.0,-82.0,-90.0,-87.0,37.0
MUS,MU,Mauritius,,,,,,2020-03-31,-88.0,-80.0,-79.0,-89.0,-87.0,37.0
MUS,MU,Mauritius,,,,,,2020-04-01,-88.0,-81.0,-81.0,-90.0,-86.0,37.0
MUS,MU,Mauritius,,,,,,2020-04-02,-78.0,-56.0,-77.0,-87.0,-85.0,34.0
MUS,MU,Mauritius,,,,,,2020-04-03,-83.0,-60.0,-81.0,-87.0,-83.0,38.0
MUS,MU,Mauritius,,,,,,2020-04-04,-82.0,-62.0,-84.0,-86.0,-65.0,27.0
MUS,MU,Mauritius,,,,,,2020-04-05,-91.0,-90.0,-88.0,-91.0,-69.0,24.0
MUS,MU,Mauritius,,,,,,2020-04-06,-80.0,-57.0,-77.0,-88.0,-84.0,35.0
MUS,MU,Mauritius,,,,,,2020-04-07,-80.0,-58.0,-76.0,-87.0,-84.0,35.0
MUS,MU,Mauritius,,,,,,2020-04-08,-82.0,-62.0,-78.0,-88.0,-84.0,35.0
