open_covid_region_code,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MOZ,MZ,Mozambique,,,,,,2020-02-15,4.0,1.0,-7.0,-3.0,1.0,-1.0
MOZ,MZ,Mozambique,,,,,,2020-02-16,-1.0,-4.0,-7.0,-7.0,-3.0,1.0
MOZ,MZ,Mozambique,,,,,,2020-02-17,-3.0,-3.0,-2.0,-3.0,19.0,-4.0
MOZ,MZ,Mozambique,,,,,,2020-02-18,-7.0,-8.0,-3.0,-5.0,15.0,-2.0
MOZ,MZ,Mozambique,,,,,,2020-02-19,-7.0,-8.0,-6.0,-6.0,13.0,-2.0
MOZ,MZ,Mozambique,,,,,,2020-02-20,-5.0,-7.0,-4.0,-1.0,13.0,-3.0
MOZ,MZ,Mozambique,,,,,,2020-02-21,-5.0,-2.0,-3.0,-2.0,17.0,-3.0
MOZ,MZ,Mozambique,,,,,,2020-02-22,3.0,4.0,-6.0,-5.0,2.0,-2.0
MOZ,MZ,Mozambique,,,,,,2020-02-23,-15.0,-11.0,-18.0,-17.0,-5.0,3.0
MOZ,MZ,Mozambique,,,,,,2020-02-24,-3.0,-2.0,1.0,-2.0,20.0,-3.0
MOZ,MZ,Mozambique,,,,,,2020-02-25,-3.0,1.0,2.0,-3.0,17.0,-3.0
MOZ,MZ,Mozambique,,,,,,2020-02-26,-1.0,0.0,1.0,2.0,17.0,-4.0
MOZ,MZ,Mozambique,,,,,,2020-02-27,1.0,0.0,4.0,2.0,16.0,-4.0
MOZ,MZ,Mozambique,,,,,,2020-02-28,-3.0,1.0,0.0,2.0,18.0,-3.0
MOZ,MZ,Mozambique,,,,,,2020-02-29,5.0,12.0,-3.0,2.0,2.0,-1.0
MOZ,MZ,Mozambique,,,,,,2020-03-01,1.0,6.0,-5.0,-3.0,-1.0,0.0
MOZ,MZ,Mozambique,,,,,,2020-03-02,2.0,4.0,4.0,5.0,24.0,-5.0
MOZ,MZ,Mozambique,,,,,,2020-03-03,-2.0,1.0,4.0,2.0,21.0,-3.0
MOZ,MZ,Mozambique,,,,,,2020-03-04,0.0,2.0,2.0,3.0,20.0,-4.0
MOZ,MZ,Mozambique,,,,,,2020-03-05,1.0,2.0,3.0,6.0,20.0,-4.0
MOZ,MZ,Mozambique,,,,,,2020-03-06,1.0,3.0,2.0,4.0,22.0,-4.0
MOZ,MZ,Mozambique,,,,,,2020-03-07,7.0,8.0,-2.0,3.0,6.0,-2.0
MOZ,MZ,Mozambique,,,,,,2020-03-08,0.0,1.0,-6.0,-3.0,1.0,1.0
MOZ,MZ,Mozambique,,,,,,2020-03-09,-1.0,-1.0,4.0,1.0,26.0,-4.0
MOZ,MZ,Mozambique,,,,,,2020-03-10,-4.0,-3.0,0.0,3.0,22.0,-3.0
MOZ,MZ,Mozambique,,,,,,2020-03-11,-4.0,-4.0,2.0,1.0,21.0,-3.0
MOZ,MZ,Mozambique,,,,,,2020-03-12,-3.0,-5.0,0.0,-2.0,19.0,-3.0
MOZ,MZ,Mozambique,,,,,,2020-03-13,-5.0,-5.0,-6.0,-3.0,21.0,-3.0
MOZ,MZ,Mozambique,,,,,,2020-03-14,1.0,1.0,-5.0,-2.0,4.0,-2.0
MOZ,MZ,Mozambique,,,,,,2020-03-15,-6.0,-4.0,-10.0,-11.0,-3.0,1.0
MOZ,MZ,Mozambique,,,,,,2020-03-16,-7.0,-4.0,-7.0,-7.0,24.0,-4.0
MOZ,MZ,Mozambique,,,,,,2020-03-17,-9.0,-3.0,-2.0,-6.0,20.0,-3.0
MOZ,MZ,Mozambique,,,,,,2020-03-18,-8.0,-1.0,-3.0,-3.0,19.0,-3.0
MOZ,MZ,Mozambique,,,,,,2020-03-19,-6.0,-3.0,-5.0,-5.0,17.0,-3.0
MOZ,MZ,Mozambique,,,,,,2020-03-20,-7.0,4.0,-5.0,-3.0,20.0,-3.0
MOZ,MZ,Mozambique,,,,,,2020-03-21,-3.0,10.0,-11.0,-8.0,2.0,1.0
MOZ,MZ,Mozambique,,,,,,2020-03-22,-16.0,-1.0,-18.0,-15.0,-1.0,5.0
MOZ,MZ,Mozambique,,,,,,2020-03-23,-11.0,-1.0,-15.0,-14.0,8.0,3.0
MOZ,MZ,Mozambique,,,,,,2020-03-24,-15.0,-6.0,-16.0,-15.0,1.0,6.0
MOZ,MZ,Mozambique,,,,,,2020-03-25,-16.0,-5.0,-15.0,-15.0,-2.0,6.0
MOZ,MZ,Mozambique,,,,,,2020-03-26,-18.0,-9.0,-17.0,-17.0,-6.0,9.0
MOZ,MZ,Mozambique,,,,,,2020-03-27,-23.0,-9.0,-19.0,-20.0,-4.0,9.0
MOZ,MZ,Mozambique,,,,,,2020-03-28,-17.0,-4.0,-23.0,-19.0,-2.0,8.0
MOZ,MZ,Mozambique,,,,,,2020-03-29,-26.0,-13.0,-22.0,-29.0,1.0,10.0
MOZ,MZ,Mozambique,,,,,,2020-03-30,-16.0,-7.0,-17.0,-21.0,-4.0,7.0
MOZ,MZ,Mozambique,,,,,,2020-03-31,-17.0,-8.0,-18.0,-21.0,-9.0,9.0
MOZ,MZ,Mozambique,,,,,,2020-04-01,-26.0,-16.0,-24.0,-26.0,-13.0,11.0
MOZ,MZ,Mozambique,,,,,,2020-04-02,-26.0,-18.0,-26.0,-29.0,-17.0,13.0
MOZ,MZ,Mozambique,,,,,,2020-04-03,-30.0,-19.0,-27.0,-31.0,-13.0,13.0
MOZ,MZ,Mozambique,,,,,,2020-04-04,-29.0,-16.0,-31.0,-31.0,-6.0,12.0
MOZ,MZ,Mozambique,,,,,,2020-04-05,-32.0,-17.0,-29.0,-34.0,-2.0,12.0
MOZ,MZ,Mozambique,,,,,,2020-04-06,-17.0,-11.0,-23.0,-27.0,-13.0,9.0
MOZ,MZ,Mozambique,,,,,,2020-04-07,-45.0,-42.0,-40.0,-45.0,-63.0,20.0
MOZ,MZ,Mozambique,,,,,,2020-04-08,-30.0,-23.0,-29.0,-31.0,-17.0,11.0
MOZ,MZ,Mozambique,,,,,,2020-04-09,-25.0,-18.0,-29.0,-29.0,-19.0,12.0
MOZ,MZ,Mozambique,,,,,,2020-04-10,-47.0,-38.0,-43.0,-42.0,-56.0,22.0
MOZ,MZ,Mozambique,,,,,,2020-04-11,-26.0,-14.0,-32.0,-29.0,-6.0,11.0
MOZ,MZ,Mozambique,,,,,,2020-04-12,-36.0,-22.0,-31.0,-38.0,-3.0,12.0
MOZ,MZ,Mozambique,,,,,,2020-04-13,-25.0,-19.0,-26.0,-30.0,-11.0,11.0
