open_covid_region_code,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
NGA,NG,Nigeria,,,,,,2020-02-15,3.0,1.0,7.0,3.0,5.0,0.0
NGA,NG,Nigeria,,,,,,2020-02-16,2.0,-1.0,5.0,0.0,3.0,0.0
NGA,NG,Nigeria,,,,,,2020-02-17,0.0,-2.0,2.0,0.0,3.0,1.0
NGA,NG,Nigeria,,,,,,2020-02-18,0.0,-5.0,0.0,0.0,2.0,0.0
NGA,NG,Nigeria,,,,,,2020-02-19,-2.0,-4.0,0.0,-2.0,1.0,1.0
NGA,NG,Nigeria,,,,,,2020-02-20,-2.0,-3.0,0.0,-1.0,-1.0,1.0
NGA,NG,Nigeria,,,,,,2020-02-21,-1.0,-4.0,3.0,-1.0,1.0,1.0
NGA,NG,Nigeria,,,,,,2020-02-22,1.0,-3.0,1.0,-2.0,2.0,0.0
NGA,NG,Nigeria,,,,,,2020-02-23,-1.0,-5.0,-1.0,-1.0,0.0,0.0
NGA,NG,Nigeria,,,,,,2020-02-24,-3.0,-5.0,-2.0,-2.0,2.0,1.0
NGA,NG,Nigeria,,,,,,2020-02-25,0.0,-5.0,1.0,1.0,2.0,0.0
NGA,NG,Nigeria,,,,,,2020-02-26,-2.0,-3.0,0.0,0.0,2.0,0.0
NGA,NG,Nigeria,,,,,,2020-02-27,1.0,0.0,3.0,1.0,3.0,1.0
NGA,NG,Nigeria,,,,,,2020-02-28,1.0,1.0,2.0,2.0,4.0,1.0
NGA,NG,Nigeria,,,,,,2020-02-29,1.0,1.0,2.0,2.0,2.0,0.0
NGA,NG,Nigeria,,,,,,2020-03-01,1.0,1.0,1.0,1.0,3.0,0.0
NGA,NG,Nigeria,,,,,,2020-03-02,-1.0,-2.0,-1.0,-1.0,3.0,1.0
NGA,NG,Nigeria,,,,,,2020-03-03,1.0,-2.0,2.0,2.0,2.0,0.0
NGA,NG,Nigeria,,,,,,2020-03-04,1.0,0.0,0.0,0.0,2.0,0.0
NGA,NG,Nigeria,,,,,,2020-03-05,3.0,1.0,5.0,4.0,3.0,0.0
NGA,NG,Nigeria,,,,,,2020-03-06,1.0,0.0,8.0,2.0,5.0,1.0
NGA,NG,Nigeria,,,,,,2020-03-07,4.0,3.0,5.0,5.0,5.0,-1.0
NGA,NG,Nigeria,,,,,,2020-03-08,2.0,0.0,3.0,1.0,4.0,0.0
NGA,NG,Nigeria,,,,,,2020-03-09,1.0,-1.0,4.0,2.0,3.0,0.0
NGA,NG,Nigeria,,,,,,2020-03-10,1.0,-2.0,8.0,4.0,2.0,0.0
NGA,NG,Nigeria,,,,,,2020-03-11,-1.0,-2.0,6.0,0.0,1.0,1.0
NGA,NG,Nigeria,,,,,,2020-03-12,0.0,-1.0,9.0,2.0,1.0,1.0
NGA,NG,Nigeria,,,,,,2020-03-13,0.0,0.0,8.0,2.0,3.0,1.0
NGA,NG,Nigeria,,,,,,2020-03-14,1.0,0.0,6.0,2.0,2.0,0.0
NGA,NG,Nigeria,,,,,,2020-03-15,0.0,-3.0,7.0,-2.0,1.0,1.0
NGA,NG,Nigeria,,,,,,2020-03-16,-2.0,-3.0,3.0,1.0,0.0,1.0
NGA,NG,Nigeria,,,,,,2020-03-17,-1.0,-4.0,4.0,1.0,0.0,1.0
