open_covid_region_code,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
NPL,NP,Nepal,,,,,,2020-02-15,3,4,3,2,2,0
NPL,NP,Nepal,,,,,,2020-02-16,4,4,4,5,8,0
NPL,NP,Nepal,,,,,,2020-02-17,4,3,6,6,5,0
NPL,NP,Nepal,,,,,,2020-02-18,4,4,5,5,7,0
NPL,NP,Nepal,,,,,,2020-02-19,4,4,3,4,6,0
NPL,NP,Nepal,,,,,,2020-02-20,7,8,8,7,10,-2
NPL,NP,Nepal,,,,,,2020-02-21,-7,-2,2,-5,-35,5
NPL,NP,Nepal,,,,,,2020-02-22,4,6,0,1,2,0
NPL,NP,Nepal,,,,,,2020-02-23,6,8,3,7,10,0
NPL,NP,Nepal,,,,,,2020-02-24,3,5,0,4,6,0
NPL,NP,Nepal,,,,,,2020-02-25,1,0,-3,2,5,0
NPL,NP,Nepal,,,,,,2020-02-26,1,1,-5,2,-6,1
NPL,NP,Nepal,,,,,,2020-02-27,6,6,3,6,7,0
NPL,NP,Nepal,,,,,,2020-02-28,4,6,4,8,8,-1
NPL,NP,Nepal,,,,,,2020-02-29,6,5,3,4,6,0
NPL,NP,Nepal,,,,,,2020-03-01,6,7,1,7,11,0
NPL,NP,Nepal,,,,,,2020-03-02,4,4,0,6,6,0
NPL,NP,Nepal,,,,,,2020-03-03,4,3,1,2,6,0
NPL,NP,Nepal,,,,,,2020-03-04,4,9,1,5,5,0
NPL,NP,Nepal,,,,,,2020-03-05,5,13,2,7,12,0
NPL,NP,Nepal,,,,,,2020-03-06,5,10,1,10,9,-1
NPL,NP,Nepal,,,,,,2020-03-07,-3,2,-9,-2,4,2
NPL,NP,Nepal,,,,,,2020-03-08,7,11,8,5,-16,2
NPL,NP,Nepal,,,,,,2020-03-09,-12,-11,14,-6,-43,7
NPL,NP,Nepal,,,,,,2020-03-10,-3,0,5,-5,-17,2
NPL,NP,Nepal,,,,,,2020-03-11,2,4,1,2,-3,0
NPL,NP,Nepal,,,,,,2020-03-12,2,5,1,2,8,0
NPL,NP,Nepal,,,,,,2020-03-13,-4,0,-6,-2,8,2
NPL,NP,Nepal,,,,,,2020-03-14,-7,0,-6,-5,12,3
NPL,NP,Nepal,,,,,,2020-03-15,0,5,-2,0,11,2
NPL,NP,Nepal,,,,,,2020-03-16,0,5,-2,0,8,1
NPL,NP,Nepal,,,,,,2020-03-17,-2,3,-2,-2,6,2
NPL,NP,Nepal,,,,,,2020-03-18,1,9,-2,2,5,1
NPL,NP,Nepal,,,,,,2020-03-19,0,14,1,4,4,3
NPL,NP,Nepal,,,,,,2020-03-20,-5,11,-4,3,-3,4
NPL,NP,Nepal,,,,,,2020-03-21,-18,4,-14,-2,0,4
NPL,NP,Nepal,,,,,,2020-03-22,-20,-4,-14,-8,-14,6
NPL,NP,Nepal,,,,,,2020-03-23,-33,-10,-19,-25,-30,9
NPL,NP,Nepal,,,,,,2020-03-24,-71,-61,-47,-63,-70,22
NPL,NP,Nepal,,,,,,2020-03-25,-76,-66,-52,-70,-74,25
NPL,NP,Nepal,,,,,,2020-03-26,-77,-68,-52,-73,-74,27
NPL,NP,Nepal,,,,,,2020-03-27,-78,-68,-54,-73,-74,28
NPL,NP,Nepal,,,,,,2020-03-28,-77,-69,-55,-72,-54,22
NPL,NP,Nepal,,,,,,2020-03-29,-78,-69,-55,-74,-72,28
NPL,NP,Nepal,,,,,,2020-03-30,-77,-68,-53,-73,-74,26
NPL,NP,Nepal,,,,,,2020-03-31,-77,-69,-52,-73,-74,26
NPL,NP,Nepal,,,,,,2020-04-01,-77,-68,-53,-72,-73,25
NPL,NP,Nepal,,,,,,2020-04-02,-77,-69,-52,-73,-72,26
NPL,NP,Nepal,,,,,,2020-04-03,-77,-67,-52,-72,-71,27
NPL,NP,Nepal,,,,,,2020-04-04,-75,-67,-55,-71,-50,21
NPL,NP,Nepal,,,,,,2020-04-05,-76,-68,-54,-73,-69,27
NPL,NP,Nepal,,,,,,2020-04-06,-76,-67,-52,-72,-72,26
NPL,NP,Nepal,,,,,,2020-04-07,-76,-65,-51,-71,-71,26
NPL,NP,Nepal,,,,,,2020-04-08,-77,-66,-52,-71,-71,25
NPL,NP,Nepal,,,,,,2020-04-09,-77,-66,-51,-71,-70,25
NPL,NP,Nepal,,,,,,2020-04-10,-77,-66,-52,-70,-68,26
NPL,NP,Nepal,,,,,,2020-04-11,-77,-68,-55,-71,-50,21
NPL,NP,Nepal,,,,,,2020-04-12,-74,-63,-51,-69,-65,24
NPL,NP,Nepal,,,,,,2020-04-13,-75,-64,-47,-69,-72,24
NPL,NP,Nepal,,,,,,2020-04-14,-77,-68,-52,-72,-71,24
NPL,NP,Nepal,,,,,,2020-04-15,-78,-68,-52,-72,-71,23
NPL,NP,Nepal,,,,,,2020-04-16,-78,-68,-52,-73,-70,26
NPL,NP,Nepal,,,,,,2020-04-17,-79,-66,-52,-72,-69,26
NPL,NP,Nepal,,,,,,2020-04-18,-79,-70,-57,-74,-52,20
NPL,NP,Nepal,,,,,,2020-04-19,-79,-67,-56,-73,-68,25
NPL,NP,Nepal,,,,,,2020-04-20,-78,-66,-52,-71,-70,25
NPL,NP,Nepal,,,,,,2020-04-21,-79,-68,-53,-73,-71,23
NPL,NP,Nepal,,,,,,2020-04-22,-76,-62,-50,-68,-68,22
NPL,NP,Nepal,,,,,,2020-04-23,-75,-62,-49,-67,-65,22
NPL,NP,Nepal,,,,,,2020-04-24,-77,-64,-50,-70,-66,24
NPL,NP,Nepal,,,,,,2020-04-25,-77,-66,-55,-71,-47,20
NPL,NP,Nepal,,,,,,2020-04-26,-75,-62,-51,-69,-63,24
NPL,NP,Nepal,,,,,,2020-04-27,-75,-61,-49,-68,-65,23
NPL,NP,Nepal,,,,,,2020-04-28,-74,-60,-47,-67,-64,22
NPL,NP,Nepal,,,,,,2020-04-29,-73,-59,-45,-65,-63,22
NPL,NP,Nepal,,,,,,2020-04-30,-73,-59,-45,-65,-61,23
NPL,NP,Nepal,,,,,,2020-05-01,-77,-64,-50,-69,-67,24
NPL,NP,Nepal,,,,,,2020-05-02,-74,-62,-50,-67,-42,18
NPL,NP,Nepal,,,,,,2020-05-03,-73,-59,-47,-66,-58,22
NPL,NP,Nepal,,,,,,2020-05-04,-74,-61,-47,-67,-62,21
NPL,NP,Nepal,,,,,,2020-05-05,-73,-60,-47,-66,-62,21
NPL,NP,Nepal,,,,,,2020-05-06,-70,-55,-44,-61,-60,21
NPL,NP,Nepal,,,,,,2020-05-07,-72,-58,-43,-63,-65,21
NPL,NP,Nepal,,,,,,2020-05-08,-68,-50,-41,-57,-54,21
NPL,NP,Nepal,,,,,,2020-05-09,-67,-52,-44,-58,-35,17
NPL,NP,Nepal,,,,,,2020-05-10,-65,-48,-42,-57,-49,19
NPL,NP,Nepal,,,,,,2020-05-11,-62,-44,-37,-53,-50,18
NPL,NP,Nepal,,,,,,2020-05-12,-62,-43,-36,-52,-50,18
NPL,NP,Nepal,,,,,,2020-05-13,-66,-48,-41,-57,-55,19
NPL,NP,Nepal,,,,,,2020-05-14,-71,-56,-44,-63,-59,22
NPL,NP,Nepal,,,,,,2020-05-15,-72,-56,-45,-63,-59,23
NPL,NP,Nepal,,,,,,2020-05-16,-73,-60,-49,-65,-40,19
NPL,NP,Nepal,,,,,,2020-05-17,-73,-59,-49,-66,-59,23
NPL,NP,Nepal,,,,,,2020-05-18,-72,-58,-46,-65,-62,23
NPL,NP,Nepal,,,,,,2020-05-19,-72,-58,-46,-65,-62,22
NPL,NP,Nepal,,,,,,2020-05-20,-71,-57,-46,-63,-61,22
NPL,NP,Nepal,,,,,,2020-05-21,-70,-53,-44,-63,-58,23
NPL,NP,Nepal,,,,,,2020-05-22,-71,-53,-46,-62,-58,23
