open_covid_region_code,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PRT,PT,Portugal,,,,,,2020-02-15,4.0,0.0,21.0,9.0,1.0,-1.0
PRT,PT,Portugal,,,,,,2020-02-16,-3.0,2.0,-14.0,3.0,1.0,0.0
PRT,PT,Portugal,,,,,,2020-02-17,0.0,3.0,8.0,3.0,3.0,0.0
PRT,PT,Portugal,,,,,,2020-02-18,2.0,3.0,6.0,5.0,3.0,0.0
PRT,PT,Portugal,,,,,,2020-02-19,4.0,3.0,24.0,8.0,3.0,-1.0
PRT,PT,Portugal,,,,,,2020-02-20,6.0,3.0,24.0,8.0,2.0,-1.0
PRT,PT,Portugal,,,,,,2020-02-21,4.0,6.0,36.0,11.0,1.0,-2.0
PRT,PT,Portugal,,,,,,2020-02-22,4.0,4.0,47.0,13.0,0.0,-3.0
PRT,PT,Portugal,,,,,,2020-02-23,8.0,5.0,55.0,16.0,1.0,-4.0
PRT,PT,Portugal,,,,,,2020-02-24,18.0,12.0,80.0,-3.0,-28.0,3.0
PRT,PT,Portugal,,,,,,2020-02-25,-2.0,0.0,33.0,-25.0,-65.0,16.0
PRT,PT,Portugal,,,,,,2020-02-26,0.0,4.0,25.0,2.0,-13.0,2.0
PRT,PT,Portugal,,,,,,2020-02-27,4.0,6.0,27.0,6.0,0.0,0.0
PRT,PT,Portugal,,,,,,2020-02-28,2.0,10.0,25.0,6.0,1.0,-1.0
PRT,PT,Portugal,,,,,,2020-02-29,0.0,7.0,-5.0,3.0,1.0,1.0
PRT,PT,Portugal,,,,,,2020-03-01,-8.0,3.0,-33.0,-1.0,0.0,2.0
PRT,PT,Portugal,,,,,,2020-03-02,3.0,9.0,8.0,4.0,3.0,0.0
PRT,PT,Portugal,,,,,,2020-03-03,-1.0,7.0,-3.0,1.0,3.0,0.0
PRT,PT,Portugal,,,,,,2020-03-04,2.0,7.0,15.0,5.0,2.0,0.0
PRT,PT,Portugal,,,,,,2020-03-05,3.0,8.0,14.0,5.0,2.0,0.0
PRT,PT,Portugal,,,,,,2020-03-06,0.0,7.0,14.0,5.0,2.0,-1.0
PRT,PT,Portugal,,,,,,2020-03-07,3.0,4.0,27.0,7.0,2.0,-1.0
PRT,PT,Portugal,,,,,,2020-03-08,-1.0,6.0,-4.0,1.0,1.0,0.0
PRT,PT,Portugal,,,,,,2020-03-09,0.0,11.0,21.0,0.0,2.0,1.0
PRT,PT,Portugal,,,,,,2020-03-10,0.0,17.0,20.0,0.0,1.0,0.0
PRT,PT,Portugal,,,,,,2020-03-11,-1.0,26.0,29.0,-1.0,0.0,1.0
PRT,PT,Portugal,,,,,,2020-03-12,-9.0,28.0,10.0,-11.0,-4.0,4.0
PRT,PT,Portugal,,,,,,2020-03-13,-27.0,23.0,-10.0,-24.0,-11.0,9.0
PRT,PT,Portugal,,,,,,2020-03-14,-47.0,-10.0,-31.0,-33.0,-15.0,13.0
PRT,PT,Portugal,,,,,,2020-03-15,-62.0,-33.0,-58.0,-46.0,-23.0,15.0
PRT,PT,Portugal,,,,,,2020-03-16,-50.0,-16.0,-40.0,-51.0,-41.0,22.0
PRT,PT,Portugal,,,,,,2020-03-17,-54.0,-20.0,-44.0,-56.0,-48.0,24.0
PRT,PT,Portugal,,,,,,2020-03-18,-55.0,-19.0,-38.0,-57.0,-51.0,24.0
PRT,PT,Portugal,,,,,,2020-03-19,-67.0,-36.0,-53.0,-68.0,-57.0,30.0
PRT,PT,Portugal,,,,,,2020-03-20,-77.0,-42.0,-70.0,-73.0,-60.0,36.0
PRT,PT,Portugal,,,,,,2020-03-21,-81.0,-48.0,-71.0,-71.0,-55.0,26.0
PRT,PT,Portugal,,,,,,2020-03-22,-83.0,-58.0,-72.0,-74.0,-51.0,22.0
PRT,PT,Portugal,,,,,,2020-03-23,-74.0,-42.0,-59.0,-74.0,-62.0,32.0
PRT,PT,Portugal,,,,,,2020-03-24,-73.0,-40.0,-60.0,-74.0,-63.0,33.0
PRT,PT,Portugal,,,,,,2020-03-25,-74.0,-42.0,-59.0,-74.0,-63.0,32.0
PRT,PT,Portugal,,,,,,2020-03-26,-74.0,-42.0,-60.0,-75.0,-64.0,33.0
PRT,PT,Portugal,,,,,,2020-03-27,-75.0,-39.0,-63.0,-75.0,-63.0,36.0
PRT,PT,Portugal,,,,,,2020-03-28,-79.0,-47.0,-72.0,-74.0,-55.0,25.0
PRT,PT,Portugal,,,,,,2020-03-29,-83.0,-59.0,-80.0,-78.0,-53.0,22.0
PRT,PT,Portugal,,,,,,2020-03-30,-74.0,-45.0,-71.0,-78.0,-63.0,33.0
PRT,PT,Portugal,,,,,,2020-03-31,-72.0,-36.0,-68.0,-75.0,-64.0,33.0
PRT,PT,Portugal,,,,,,2020-04-01,-73.0,-40.0,-67.0,-76.0,-64.0,33.0
PRT,PT,Portugal,,,,,,2020-04-02,-70.0,-35.0,-57.0,-74.0,-64.0,33.0
PRT,PT,Portugal,,,,,,2020-04-03,-72.0,-34.0,-61.0,-75.0,-64.0,36.0
PRT,PT,Portugal,,,,,,2020-04-04,-78.0,-44.0,-78.0,-75.0,-55.0,25.0
PRT,PT,Portugal,,,,,,2020-04-05,-84.0,-60.0,-88.0,-82.0,-55.0,23.0
PRT,PT,Portugal,,,,,,2020-04-06,-72.0,-39.0,-69.0,-77.0,-64.0,33.0
PRT,PT,Portugal,,,,,,2020-04-07,-68.0,-30.0,-62.0,-74.0,-64.0,32.0
PRT,PT,Portugal,,,,,,2020-04-08,-67.0,-27.0,-58.0,-72.0,-63.0,30.0
PRT,PT,Portugal,,,,,,2020-04-09,-71.0,-28.0,-68.0,-78.0,-69.0,35.0
PRT,PT,Portugal,,,,,,2020-04-10,-81.0,-45.0,-70.0,-85.0,-84.0,46.0
PRT,PT,Portugal,,,,,,2020-04-11,-78.0,-40.0,-73.0,-77.0,-58.0,26.0
PRT,PT,Portugal,,,,,,2020-04-12,-86.0,-83.0,-79.0,-81.0,-56.0,23.0
PRT,PT,Portugal,,,,,,2020-04-13,-75.0,-44.0,-67.0,-80.0,-72.0,37.0
PRT,PT,Portugal,,,,,,2020-04-14,-68.0,-33.0,-61.0,-73.0,-62.0,31.0
PRT,PT,Portugal,,,,,,2020-04-15,-69.0,-35.0,-62.0,-73.0,-63.0,32.0
PRT,PT,Portugal,,,,,,2020-04-16,-69.0,-34.0,-64.0,-75.0,-63.0,33.0
PRT,PT,Portugal,,,,,,2020-04-17,-69.0,-30.0,-58.0,-73.0,-62.0,35.0
PRT,PT,Portugal,,,,,,2020-04-18,-72.0,-40.0,-63.0,-70.0,-49.0,22.0
PRT,PT,Portugal,,,,,,2020-04-19,-78.0,-53.0,-70.0,-75.0,-47.0,20.0
PRT,PT,Portugal,,,,,,2020-04-20,-69.0,-44.0,-66.0,-77.0,-60.0,32.0
PRT,PT,Portugal,,,,,,2020-04-21,-66.0,-36.0,-58.0,-74.0,-60.0,31.0
PRT,PT,Portugal,,,,,,2020-04-22,-67.0,-38.0,-52.0,-73.0,-60.0,30.0
PRT,PT,Portugal,,,,,,2020-04-23,-65.0,-36.0,-47.0,-73.0,-60.0,30.0
PRT,PT,Portugal,,,,,,2020-04-24,-68.0,-33.0,-54.0,-73.0,-59.0,33.0
PRT,PT,Portugal,,,,,,2020-04-25,-73.0,-41.0,-64.0,-71.0,-51.0,23.0
PRT,PT,Portugal,,,,,,2020-04-26,-77.0,-50.0,-69.0,-74.0,-45.0,19.0
PRT,PT,Portugal,,,,,,2020-04-27,-65.0,-37.0,-52.0,-73.0,-58.0,30.0
