open_covid_region_code,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
SLV,SV,El Salvador,,,,,,2020-02-15,4.0,5.0,0,-1.0,4,-1.0
SLV,SV,El Salvador,,,,,,2020-02-16,4.0,6.0,1,1.0,0,0.0
SLV,SV,El Salvador,,,,,,2020-02-17,0.0,4.0,-3,1.0,5,0.0
SLV,SV,El Salvador,,,,,,2020-02-18,0.0,0.0,0,3.0,4,-1.0
SLV,SV,El Salvador,,,,,,2020-02-19,0.0,0.0,-1,2.0,3,-1.0
SLV,SV,El Salvador,,,,,,2020-02-20,-1.0,-1.0,-4,3.0,3,0.0
SLV,SV,El Salvador,,,,,,2020-02-21,0.0,2.0,-4,2.0,8,-1.0
SLV,SV,El Salvador,,,,,,2020-02-22,0.0,1.0,-3,-3.0,4,0.0
SLV,SV,El Salvador,,,,,,2020-02-23,0.0,1.0,0,-3.0,1,0.0
SLV,SV,El Salvador,,,,,,2020-02-24,-2.0,1.0,-3,0.0,5,0.0
SLV,SV,El Salvador,,,,,,2020-02-25,0.0,-1.0,-3,-1.0,4,-1.0
SLV,SV,El Salvador,,,,,,2020-02-26,-2.0,-3.0,3,-1.0,4,0.0
SLV,SV,El Salvador,,,,,,2020-02-27,-1.0,-1.0,-2,-2.0,3,0.0
SLV,SV,El Salvador,,,,,,2020-02-28,3.0,5.0,-3,-1.0,9,-2.0
SLV,SV,El Salvador,,,,,,2020-02-29,5.0,6.0,-2,0.0,6,-1.0
SLV,SV,El Salvador,,,,,,2020-03-01,7.0,8.0,2,2.0,4,-1.0
SLV,SV,El Salvador,,,,,,2020-03-02,3.0,7.0,-1,4.0,7,-1.0
SLV,SV,El Salvador,,,,,,2020-03-03,2.0,3.0,-3,0.0,6,-1.0
SLV,SV,El Salvador,,,,,,2020-03-04,1.0,2.0,0,-1.0,5,-1.0
SLV,SV,El Salvador,,,,,,2020-03-05,0.0,0.0,-3,-5.0,5,0.0
SLV,SV,El Salvador,,,,,,2020-03-06,0.0,1.0,-2,-2.0,10,-2.0
SLV,SV,El Salvador,,,,,,2020-03-07,-1.0,0.0,-3,-6.0,5,0.0
SLV,SV,El Salvador,,,,,,2020-03-08,0.0,0.0,-3,-6.0,2,1.0
SLV,SV,El Salvador,,,,,,2020-03-09,-2.0,1.0,-4,-2.0,6,0.0
SLV,SV,El Salvador,,,,,,2020-03-10,-1.0,0.0,-4,-2.0,5,-1.0
SLV,SV,El Salvador,,,,,,2020-03-11,0.0,14.0,1,-2.0,5,-1.0
SLV,SV,El Salvador,,,,,,2020-03-12,-7.0,7.0,-9,-13.0,-6,5.0
SLV,SV,El Salvador,,,,,,2020-03-13,-7.0,12.0,-11,-16.0,-1,4.0
SLV,SV,El Salvador,,,,,,2020-03-14,-11.0,8.0,-15,-16.0,0,5.0
SLV,SV,El Salvador,,,,,,2020-03-15,-21.0,3.0,-22,-23.0,-3,6.0
SLV,SV,El Salvador,,,,,,2020-03-16,-15.0,10.0,-17,-22.0,-9,7.0
SLV,SV,El Salvador,,,,,,2020-03-17,-23.0,5.0,-23,-25.0,-16,10.0
SLV,SV,El Salvador,,,,,,2020-03-18,-31.0,-3.0,-25,-30.0,-20,12.0
SLV,SV,El Salvador,,,,,,2020-03-19,-38.0,4.0,-35,-40.0,-32,17.0
SLV,SV,El Salvador,,,,,,2020-03-20,-50.0,-14.0,-44,-48.0,-38,22.0
SLV,SV,El Salvador,,,,,,2020-03-21,-58.0,-20.0,-50,-53.0,-35,20.0
SLV,SV,El Salvador,,,,,,2020-03-22,-83.0,-59.0,-74,-74.0,-53,23.0
SLV,SV,El Salvador,,,,,,2020-03-23,-76.0,-49.0,-66,-69.0,-66,34.0
