open_covid_region_code,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
UGA,UG,Uganda,,,,,,2020-02-15,5.0,2.0,-2.0,4.0,7.0,1.0
UGA,UG,Uganda,,,,,,2020-02-16,2.0,1.0,-4.0,2.0,4.0,1.0
UGA,UG,Uganda,,,,,,2020-02-17,1.0,-2.0,-4.0,1.0,9.0,0.0
UGA,UG,Uganda,,,,,,2020-02-18,0.0,-2.0,-5.0,-1.0,9.0,-1.0
UGA,UG,Uganda,,,,,,2020-02-19,-4.0,-6.0,-6.0,0.0,7.0,-1.0
UGA,UG,Uganda,,,,,,2020-02-20,-1.0,-3.0,-2.0,-1.0,7.0,0.0
UGA,UG,Uganda,,,,,,2020-02-21,-2.0,-2.0,-9.0,-1.0,12.0,-1.0
UGA,UG,Uganda,,,,,,2020-02-22,2.0,-1.0,-3.0,-2.0,8.0,1.0
UGA,UG,Uganda,,,,,,2020-02-23,0.0,0.0,-8.0,-2.0,5.0,1.0
UGA,UG,Uganda,,,,,,2020-02-24,-3.0,-3.0,-4.0,-4.0,10.0,0.0
UGA,UG,Uganda,,,,,,2020-02-25,1.0,-2.0,-6.0,-3.0,10.0,0.0
UGA,UG,Uganda,,,,,,2020-02-26,-4.0,-4.0,-7.0,-2.0,8.0,-1.0
UGA,UG,Uganda,,,,,,2020-02-27,0.0,0.0,-7.0,1.0,8.0,-1.0
UGA,UG,Uganda,,,,,,2020-02-28,0.0,0.0,-8.0,0.0,10.0,0.0
UGA,UG,Uganda,,,,,,2020-02-29,5.0,4.0,-5.0,3.0,9.0,0.0
UGA,UG,Uganda,,,,,,2020-03-01,4.0,3.0,-7.0,4.0,7.0,0.0
UGA,UG,Uganda,,,,,,2020-03-02,4.0,0.0,-5.0,-1.0,12.0,0.0
UGA,UG,Uganda,,,,,,2020-03-03,1.0,0.0,-7.0,-3.0,12.0,0.0
UGA,UG,Uganda,,,,,,2020-03-04,0.0,-2.0,-6.0,1.0,10.0,0.0
UGA,UG,Uganda,,,,,,2020-03-05,4.0,3.0,-5.0,2.0,10.0,-1.0
UGA,UG,Uganda,,,,,,2020-03-06,4.0,4.0,-4.0,1.0,14.0,-1.0
UGA,UG,Uganda,,,,,,2020-03-07,8.0,5.0,-1.0,3.0,10.0,0.0
UGA,UG,Uganda,,,,,,2020-03-08,7.0,4.0,-6.0,1.0,7.0,0.0
UGA,UG,Uganda,,,,,,2020-03-09,0.0,-1.0,-5.0,-4.0,10.0,1.0
UGA,UG,Uganda,,,,,,2020-03-10,2.0,3.0,-4.0,-1.0,12.0,-1.0
UGA,UG,Uganda,,,,,,2020-03-11,-1.0,0.0,-5.0,0.0,10.0,0.0
UGA,UG,Uganda,,,,,,2020-03-12,1.0,2.0,-1.0,-1.0,9.0,-1.0
UGA,UG,Uganda,,,,,,2020-03-13,0.0,3.0,-4.0,-1.0,13.0,0.0
UGA,UG,Uganda,,,,,,2020-03-14,3.0,5.0,-5.0,-1.0,9.0,1.0
UGA,UG,Uganda,,,,,,2020-03-15,-1.0,1.0,-10.0,-5.0,5.0,1.0
UGA,UG,Uganda,,,,,,2020-03-16,-8.0,-8.0,-8.0,-11.0,5.0,3.0
UGA,UG,Uganda,,,,,,2020-03-17,0.0,3.0,-7.0,-6.0,11.0,-1.0
UGA,UG,Uganda,,,,,,2020-03-18,-3.0,2.0,-8.0,-4.0,9.0,0.0
UGA,UG,Uganda,,,,,,2020-03-19,-2.0,9.0,-3.0,-2.0,6.0,0.0
UGA,UG,Uganda,,,,,,2020-03-20,-9.0,7.0,-8.0,0.0,3.0,1.0
UGA,UG,Uganda,,,,,,2020-03-21,-11.0,2.0,-10.0,-7.0,3.0,5.0
UGA,UG,Uganda,,,,,,2020-03-22,-20.0,0.0,-11.0,-19.0,0.0,8.0
UGA,UG,Uganda,,,,,,2020-03-23,-16.0,-5.0,-8.0,-20.0,-4.0,8.0
UGA,UG,Uganda,,,,,,2020-03-24,-18.0,0.0,-9.0,-25.0,-10.0,9.0
UGA,UG,Uganda,,,,,,2020-03-25,-29.0,-16.0,-13.0,-31.0,-19.0,12.0
UGA,UG,Uganda,,,,,,2020-03-26,-41.0,-18.0,-7.0,-50.0,-38.0,17.0
UGA,UG,Uganda,,,,,,2020-03-27,-51.0,-34.0,-16.0,-59.0,-42.0,23.0
UGA,UG,Uganda,,,,,,2020-03-28,-47.0,-27.0,-12.0,-56.0,-35.0,19.0
UGA,UG,Uganda,,,,,,2020-03-29,-50.0,-36.0,-16.0,-59.0,-23.0,19.0
UGA,UG,Uganda,,,,,,2020-03-30,-46.0,-29.0,-9.0,-58.0,-44.0,22.0
UGA,UG,Uganda,,,,,,2020-03-31,-67.0,-52.0,-17.0,-68.0,-63.0,31.0
UGA,UG,Uganda,,,,,,2020-04-01,-70.0,-58.0,-19.0,-70.0,-65.0,33.0
UGA,UG,Uganda,,,,,,2020-04-02,-68.0,-56.0,-16.0,-70.0,-63.0,33.0
UGA,UG,Uganda,,,,,,2020-04-03,-70.0,-56.0,-20.0,-70.0,-61.0,34.0
UGA,UG,Uganda,,,,,,2020-04-04,-69.0,-58.0,-19.0,-70.0,-51.0,31.0
UGA,UG,Uganda,,,,,,2020-04-05,-64.0,-55.0,-20.0,-69.0,-31.0,24.0
UGA,UG,Uganda,,,,,,2020-04-06,-67.0,-55.0,-17.0,-71.0,-60.0,33.0
UGA,UG,Uganda,,,,,,2020-04-07,-67.0,-55.0,-18.0,-70.0,-59.0,31.0
UGA,UG,Uganda,,,,,,2020-04-08,-69.0,-57.0,-18.0,-70.0,-60.0,31.0
UGA,UG,Uganda,,,,,,2020-04-09,-69.0,-56.0,-19.0,-70.0,-61.0,32.0
UGA,UG,Uganda,,,,,,2020-04-10,-72.0,-58.0,-21.0,-72.0,-63.0,35.0
UGA,UG,Uganda,,,,,,2020-04-11,-68.0,-51.0,-20.0,-70.0,-49.0,30.0
UGA,UG,Uganda,,,,,,2020-04-12,-67.0,-56.0,-21.0,-71.0,-30.0,25.0
UGA,UG,Uganda,,,,,,2020-04-13,-73.0,-64.0,-20.0,-74.0,-67.0,37.0
UGA,UG,Uganda,,,,,,2020-04-14,-69.0,-58.0,-24.0,-72.0,-59.0,32.0
UGA,UG,Uganda,,,,,,2020-04-15,-67.0,-54.0,-22.0,-70.0,-58.0,31.0
UGA,UG,Uganda,,,,,,2020-04-16,-66.0,-53.0,-22.0,-70.0,-57.0,30.0
UGA,UG,Uganda,,,,,,2020-04-17,-68.0,-55.0,-24.0,-70.0,-55.0,32.0
UGA,UG,Uganda,,,,,,2020-04-18,-72.0,-60.0,-34.0,-76.0,-49.0,30.0
UGA,UG,Uganda,,,,,,2020-04-19,-67.0,-59.0,-34.0,-75.0,-27.0,24.0
UGA,UG,Uganda,,,,,,2020-04-20,-69.0,-59.0,-30.0,-75.0,-56.0,32.0
UGA,UG,Uganda,,,,,,2020-04-21,-67.0,-55.0,-32.0,-73.0,-55.0,30.0
UGA,UG,Uganda,,,,,,2020-04-22,-69.0,-59.0,-32.0,-74.0,-56.0,31.0
UGA,UG,Uganda,,,,,,2020-04-23,-69.0,-56.0,-30.0,-73.0,-56.0,30.0
UGA,UG,Uganda,,,,,,2020-04-24,-69.0,-55.0,-30.0,-73.0,-52.0,31.0
UGA,UG,Uganda,,,,,,2020-04-25,-69.0,-55.0,-31.0,-73.0,-44.0,29.0
UGA,UG,Uganda,,,,,,2020-04-26,-65.0,-55.0,-31.0,-73.0,-23.0,23.0
UGA,UG,Uganda,,,,,,2020-04-27,-67.0,-54.0,-30.0,-72.0,-53.0,31.0
UGA,UG,Uganda,,,,,,2020-04-28,-66.0,-53.0,-27.0,-72.0,-52.0,28.0
UGA,UG,Uganda,,,,,,2020-04-29,-67.0,-53.0,-29.0,-71.0,-53.0,30.0
UGA,UG,Uganda,,,,,,2020-04-30,-65.0,-51.0,-26.0,-71.0,-52.0,30.0
UGA,UG,Uganda,,,,,,2020-05-01,-70.0,-56.0,-29.0,-74.0,-56.0,32.0
UGA,UG,Uganda,,,,,,2020-05-02,-70.0,-57.0,-32.0,-75.0,-44.0,31.0
UGA,UG,Uganda,,,,,,2020-05-03,-66.0,-55.0,-31.0,-73.0,-19.0,23.0
UGA,UG,Uganda,,,,,,2020-05-04,-65.0,-54.0,-29.0,-73.0,-51.0,31.0
UGA,UG,Uganda,,,,,,2020-05-05,-65.0,-51.0,-29.0,-72.0,-50.0,30.0
UGA,UG,Uganda,,,,,,2020-05-06,-63.0,-48.0,-29.0,-68.0,-49.0,27.0
UGA,UG,Uganda,,,,,,2020-05-07,-63.0,-48.0,-28.0,-68.0,-49.0,27.0
UGA,UG,Uganda,,,,,,2020-05-08,-64.0,-47.0,-30.0,-69.0,-45.0,28.0
UGA,UG,Uganda,,,,,,2020-05-09,-64.0,-49.0,-31.0,-70.0,-36.0,25.0
UGA,UG,Uganda,,,,,,2020-05-10,-62.0,-49.0,-29.0,-69.0,-16.0,22.0
UGA,UG,Uganda,,,,,,2020-05-11,-61.0,-49.0,-28.0,-69.0,-45.0,28.0
UGA,UG,Uganda,,,,,,2020-05-12,-61.0,-48.0,-28.0,-68.0,-45.0,26.0
UGA,UG,Uganda,,,,,,2020-05-13,-62.0,-48.0,-29.0,-69.0,-45.0,25.0
UGA,UG,Uganda,,,,,,2020-05-14,-61.0,-46.0,-28.0,-68.0,-44.0,24.0
UGA,UG,Uganda,,,,,,2020-05-15,-62.0,-45.0,-30.0,-69.0,-42.0,27.0
UGA,UG,Uganda,,,,,,2020-05-16,-62.0,-47.0,-30.0,-69.0,-33.0,25.0
UGA,UG,Uganda,,,,,,2020-05-17,-60.0,-48.0,-30.0,-69.0,-11.0,20.0
UGA,UG,Uganda,,,,,,2020-05-18,-60.0,-48.0,-30.0,-70.0,-42.0,27.0
UGA,UG,Uganda,,,,,,2020-05-19,-60.0,-46.0,-30.0,-69.0,-42.0,26.0
UGA,UG,Uganda,,,,,,2020-05-20,-60.0,-47.0,-30.0,-67.0,-43.0,26.0
UGA,UG,Uganda,,,,,,2020-05-21,-60.0,-46.0,-28.0,-67.0,-43.0,26.0
UGA,UG,Uganda,,,,,,2020-05-22,-61.0,-45.0,-32.0,-69.0,-39.0,26.0
UGA,UG,Uganda,,,,,,2020-05-23,-61.0,-45.0,-29.0,-68.0,-29.0,24.0
UGA,UG,Uganda,,,,,,2020-05-24,-61.0,-47.0,-25.0,-67.0,-10.0,19.0
UGA,UG,Uganda,,,,,,2020-05-25,-59.0,-46.0,-26.0,-68.0,-40.0,26.0
UGA,UG,Uganda,,,,,,2020-05-26,-50.0,-37.0,-24.0,-64.0,-36.0,21.0
UGA,UG,Uganda,,,,,,2020-05-27,-51.0,-37.0,-25.0,-63.0,-36.0,22.0
UGA,UG,Uganda,,,,,,2020-05-28,-50.0,-35.0,-23.0,-63.0,-35.0,21.0
UGA,UG,Uganda,,,,,,2020-05-29,-51.0,-35.0,-24.0,-64.0,-32.0,22.0
UGA,UG,Uganda,,,,,,2020-05-30,-52.0,-35.0,-28.0,-65.0,-23.0,20.0
UGA,UG,Uganda,,,,,,2020-05-31,-52.0,-36.0,-24.0,-65.0,-3.0,16.0
