open_covid_region_code,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
URY,UY,Uruguay,,,,,,2020-02-15,2.0,-3.0,0.0,0.0,2.0,-1.0
URY,UY,Uruguay,,,,,,2020-02-16,-7.0,-5.0,-9.0,-5.0,-3.0,1.0
URY,UY,Uruguay,,,,,,2020-02-17,-5.0,-6.0,-21.0,-4.0,7.0,1.0
URY,UY,Uruguay,,,,,,2020-02-18,-4.0,-3.0,-16.0,-4.0,7.0,1.0
URY,UY,Uruguay,,,,,,2020-02-19,3.0,0.0,-4.0,2.0,7.0,-1.0
URY,UY,Uruguay,,,,,,2020-02-20,-1.0,-3.0,-14.0,0.0,6.0,0.0
URY,UY,Uruguay,,,,,,2020-02-21,-2.0,-1.0,-27.0,-4.0,7.0,0.0
URY,UY,Uruguay,,,,,,2020-02-22,2.0,0.0,-11.0,-3.0,1.0,0.0
URY,UY,Uruguay,,,,,,2020-02-23,5.0,1.0,0.0,-6.0,0.0,2.0
URY,UY,Uruguay,,,,,,2020-02-24,-8.0,-7.0,29.0,-10.0,-36.0,6.0
URY,UY,Uruguay,,,,,,2020-02-25,-20.0,-12.0,-7.0,-14.0,-36.0,5.0
URY,UY,Uruguay,,,,,,2020-02-26,-3.0,0.0,-9.0,0.0,3.0,0.0
URY,UY,Uruguay,,,,,,2020-02-27,-5.0,-6.0,-3.0,-1.0,4.0,1.0
URY,UY,Uruguay,,,,,,2020-02-28,-2.0,-2.0,-12.0,-3.0,5.0,0.0
URY,UY,Uruguay,,,,,,2020-02-29,1.0,0.0,-10.0,-6.0,2.0,1.0
URY,UY,Uruguay,,,,,,2020-03-01,-11.0,-5.0,-17.0,-15.0,-7.0,4.0
URY,UY,Uruguay,,,,,,2020-03-02,4.0,6.0,-14.0,1.0,15.0,0.0
URY,UY,Uruguay,,,,,,2020-03-03,3.0,11.0,-12.0,4.0,19.0,-1.0
URY,UY,Uruguay,,,,,,2020-03-04,5.0,12.0,-14.0,6.0,20.0,-2.0
URY,UY,Uruguay,,,,,,2020-03-05,1.0,4.0,-14.0,5.0,21.0,-2.0
URY,UY,Uruguay,,,,,,2020-03-06,5.0,6.0,-17.0,6.0,23.0,-3.0
