open_covid_region_code,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
KGZ,KG,Kyrgyzstan,,,,,,2020-02-15,7.0,7.0,3.0,3.0,10,-2.0
KGZ,KG,Kyrgyzstan,,,,,,2020-02-16,-1.0,0.0,-5.0,-4.0,4,0.0
KGZ,KG,Kyrgyzstan,,,,,,2020-02-17,1.0,2.0,-2.0,-3.0,12,-1.0
KGZ,KG,Kyrgyzstan,,,,,,2020-02-18,-1.0,2.0,-6.0,-3.0,10,0.0
KGZ,KG,Kyrgyzstan,,,,,,2020-02-19,0.0,3.0,-5.0,-2.0,10,-1.0
KGZ,KG,Kyrgyzstan,,,,,,2020-02-20,7.0,10.0,0.0,3.0,11,-2.0
KGZ,KG,Kyrgyzstan,,,,,,2020-02-21,8.0,8.0,5.0,5.0,13,-3.0
KGZ,KG,Kyrgyzstan,,,,,,2020-02-22,9.0,9.0,2.0,2.0,12,-2.0
KGZ,KG,Kyrgyzstan,,,,,,2020-02-23,15.0,11.0,5.0,3.0,7,-2.0
KGZ,KG,Kyrgyzstan,,,,,,2020-02-24,-2.0,-2.0,-5.0,-4.0,6,0.0
KGZ,KG,Kyrgyzstan,,,,,,2020-02-25,7.0,9.0,8.0,3.0,13,-3.0
KGZ,KG,Kyrgyzstan,,,,,,2020-02-26,6.0,9.0,8.0,5.0,13,-3.0
KGZ,KG,Kyrgyzstan,,,,,,2020-02-27,0.0,2.0,-7.0,-2.0,10,0.0
KGZ,KG,Kyrgyzstan,,,,,,2020-02-28,4.0,7.0,0.0,4.0,14,-2.0
KGZ,KG,Kyrgyzstan,,,,,,2020-02-29,8.0,9.0,4.0,7.0,15,-3.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-01,10.0,13.0,15.0,8.0,12,-4.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-02,6.0,10.0,12.0,4.0,14,-4.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-03,7.0,11.0,3.0,5.0,13,-3.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-04,9.0,16.0,4.0,7.0,14,-4.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-05,11.0,15.0,2.0,6.0,15,-4.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-06,9.0,11.0,-2.0,6.0,13,-3.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-07,11.0,12.0,-5.0,3.0,9,-1.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-08,28.0,21.0,10.0,10.0,4,-3.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-09,1.0,1.0,-5.0,-2.0,2,0.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-10,8.0,11.0,6.0,5.0,11,-3.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-11,7.0,12.0,1.0,5.0,12,-3.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-12,8.0,14.0,6.0,8.0,12,-4.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-13,7.0,14.0,7.0,9.0,14,-4.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-14,8.0,18.0,6.0,11.0,15,-4.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-15,6.0,16.0,12.0,8.0,11,-4.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-16,2.0,8.0,10.0,8.0,-13,0.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-17,-3.0,7.0,12.0,7.0,-15,0.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-18,-10.0,12.0,0.0,2.0,-19,2.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-19,-17.0,0.0,-2.0,-6.0,-24,5.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-20,-23.0,-8.0,-5.0,-12.0,-26,6.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-21,-38.0,-21.0,-17.0,-25.0,-32,7.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-22,-47.0,-29.0,-16.0,-32.0,-20,7.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-23,-51.0,-36.0,-19.0,-38.0,-47,14.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-24,-52.0,-32.0,-18.0,-40.0,-52,15.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-25,-68.0,-53.0,-31.0,-58.0,-61,21.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-26,-71.0,-57.0,-34.0,-64.0,-65,24.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-27,-72.0,-59.0,-33.0,-66.0,-64,24.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-28,-75.0,-63.0,-34.0,-70.0,-57,20.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-29,-74.0,-64.0,-32.0,-70.0,-43,15.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-30,-72.0,-60.0,-34.0,-66.0,-65,23.0
KGZ,KG,Kyrgyzstan,,,,,,2020-03-31,-72.0,-59.0,-31.0,-67.0,-67,22.0
KGZ,KG,Kyrgyzstan,,,,,,2020-04-01,-76.0,-64.0,-37.0,-71.0,-69,25.0
KGZ,KG,Kyrgyzstan,,,,,,2020-04-02,-77.0,-66.0,-36.0,-72.0,-70,26.0
KGZ,KG,Kyrgyzstan,,,,,,2020-04-03,-76.0,-63.0,-37.0,-70.0,-68,26.0
KGZ,KG,Kyrgyzstan,,,,,,2020-04-04,-77.0,-66.0,-35.0,-72.0,-59,20.0
KGZ,KG,Kyrgyzstan,,,,,,2020-04-05,-76.0,-67.0,-35.0,-75.0,-46,16.0
KGZ,KG,Kyrgyzstan,,,,,,2020-04-06,-74.0,-63.0,-34.0,-71.0,-67,24.0
KGZ,KG,Kyrgyzstan,,,,,,2020-04-07,-76.0,-64.0,-32.0,-72.0,-72,24.0
KGZ,KG,Kyrgyzstan,,,,,,2020-04-08,-76.0,-64.0,-36.0,-72.0,-68,24.0
KGZ,KG,Kyrgyzstan,,,,,,2020-04-09,-79.0,-69.0,-39.0,-76.0,-70,26.0
KGZ,KG,Kyrgyzstan,,,,,,2020-04-10,-75.0,-62.0,-35.0,-72.0,-67,26.0
KGZ,KG,Kyrgyzstan,,,,,,2020-04-11,-75.0,-62.0,-35.0,-71.0,-57,20.0
KGZ,KG,Kyrgyzstan,,,,,,2020-04-12,-75.0,-65.0,-34.0,-73.0,-45,15.0
KGZ,KG,Kyrgyzstan,,,,,,2020-04-13,-75.0,-64.0,-36.0,-72.0,-67,25.0
KGZ,KG,Kyrgyzstan,,,,,,2020-04-14,-73.0,-62.0,-32.0,-71.0,-67,24.0
KGZ,KG,Kyrgyzstan,,,,,,2020-04-15,-75.0,-62.0,-36.0,-72.0,-67,25.0
KGZ,KG,Kyrgyzstan,,,,,,2020-04-16,-71.0,-58.0,-31.0,-69.0,-65,23.0
KGZ,KG,Kyrgyzstan,,,,,,2020-04-17,-72.0,-57.0,-31.0,-68.0,-63,23.0
KGZ,KG,Kyrgyzstan,,,,,,2020-04-18,-72.0,-61.0,-33.0,-68.0,-55,17.0
KGZ,KG,Kyrgyzstan,,,,,,2020-04-19,-73.0,-64.0,-30.0,-69.0,-42,12.0
KGZ,KG,Kyrgyzstan,,,,,,2020-04-20,-71.0,-60.0,-32.0,-67.0,-63,21.0
KGZ,KG,Kyrgyzstan,,,,,,2020-04-21,-71.0,-59.0,-29.0,-66.0,-64,20.0
