open_covid_region_code,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
TGO,TG,Togo,,,,,,2020-02-15,-2.0,-1.0,-4.0,-2.0,2,1.0
TGO,TG,Togo,,,,,,2020-02-16,-3.0,-2.0,-5.0,-6.0,-2,1.0
TGO,TG,Togo,,,,,,2020-02-17,-6.0,2.0,-1.0,-4.0,0,1.0
TGO,TG,Togo,,,,,,2020-02-18,-6.0,0.0,-6.0,-7.0,0,1.0
TGO,TG,Togo,,,,,,2020-02-19,-9.0,-3.0,-10.0,-2.0,0,1.0
TGO,TG,Togo,,,,,,2020-02-20,-9.0,-3.0,-12.0,-10.0,-2,1.0
TGO,TG,Togo,,,,,,2020-02-21,-9.0,-1.0,-4.0,-5.0,0,0.0
TGO,TG,Togo,,,,,,2020-02-22,-33.0,-32.0,-14.0,-27.0,-45,15.0
TGO,TG,Togo,,,,,,2020-02-23,-16.0,-14.0,-11.0,-15.0,-3,5.0
TGO,TG,Togo,,,,,,2020-02-24,-11.0,-6.0,-4.0,-10.0,-2,3.0
TGO,TG,Togo,,,,,,2020-02-25,-8.0,-4.0,2.0,-6.0,1,2.0
TGO,TG,Togo,,,,,,2020-02-26,-8.0,-3.0,-2.0,-4.0,2,2.0
TGO,TG,Togo,,,,,,2020-02-27,-7.0,-2.0,5.0,-5.0,2,3.0
TGO,TG,Togo,,,,,,2020-02-28,-8.0,-3.0,3.0,-4.0,1,3.0
TGO,TG,Togo,,,,,,2020-02-29,-6.0,-4.0,3.0,-1.0,1,2.0
TGO,TG,Togo,,,,,,2020-03-01,-6.0,-4.0,4.0,-8.0,0,2.0
TGO,TG,Togo,,,,,,2020-03-02,-7.0,-1.0,4.0,-1.0,2,2.0
TGO,TG,Togo,,,,,,2020-03-03,-7.0,-3.0,6.0,-4.0,1,3.0
TGO,TG,Togo,,,,,,2020-03-04,-3.0,0.0,8.0,-4.0,3,2.0
TGO,TG,Togo,,,,,,2020-03-05,-3.0,4.0,8.0,1.0,3,2.0
TGO,TG,Togo,,,,,,2020-03-06,-7.0,-1.0,0.0,2.0,2,3.0
TGO,TG,Togo,,,,,,2020-03-07,-4.0,-1.0,7.0,-2.0,4,2.0
TGO,TG,Togo,,,,,,2020-03-08,1.0,0.0,9.0,-4.0,2,1.0
TGO,TG,Togo,,,,,,2020-03-09,-6.0,1.0,4.0,-1.0,2,2.0
TGO,TG,Togo,,,,,,2020-03-10,-5.0,-1.0,12.0,-6.0,4,1.0
TGO,TG,Togo,,,,,,2020-03-11,-6.0,-2.0,5.0,-6.0,3,2.0
TGO,TG,Togo,,,,,,2020-03-12,-4.0,1.0,8.0,0.0,3,2.0
TGO,TG,Togo,,,,,,2020-03-13,-5.0,1.0,3.0,-3.0,3,1.0
TGO,TG,Togo,,,,,,2020-03-14,-4.0,-3.0,7.0,-7.0,1,2.0
TGO,TG,Togo,,,,,,2020-03-15,-6.0,-4.0,5.0,-9.0,-1,2.0
