time;Belegung Normalbetten in %;Timestamp
01.04.2020;5;2020-04-26T10:30:00
02.04.2020;5;2020-04-26T10:30:00
03.04.2020;5;2020-04-26T10:30:00
04.04.2020;5;2020-04-26T10:30:00
05.04.2020;4;2020-04-26T10:30:00
06.04.2020;5;2020-04-26T10:30:00
07.04.2020;4;2020-04-26T10:30:00
08.04.2020;4;2020-04-26T10:30:00
09.04.2020;4;2020-04-26T10:30:00
10.04.2020;4;2020-04-26T10:30:00
11.04.2020;4;2020-04-26T10:30:00
12.04.2020;4;2020-04-26T10:30:00
13.04.2020;4;2020-04-26T10:30:00
14.04.2020;4;2020-04-26T10:30:00
15.04.2020;4;2020-04-26T10:30:00
16.04.2020;4;2020-04-26T10:30:00
17.04.2020;4;2020-04-26T10:30:00
18.04.2020;3;2020-04-26T10:30:00
19.04.2020;3;2020-04-26T10:30:00
20.04.2020;3;2020-04-26T10:30:00
21.04.2020;3;2020-04-26T10:30:00
22.04.2020;3;2020-04-26T10:30:00
23.04.2020;3;2020-04-26T10:30:00
24.04.2020;3;2020-04-26T10:30:00
25.04.2020;3;2020-04-26T10:30:00
26.04.2020;3;2020-04-26T10:30:00
