time;Todesfälle;Timestamp
26.02.2020;0;2020-04-27T03:00:00
27.02.2020;0;2020-04-27T03:00:00
28.02.2020;0;2020-04-27T03:00:00
29.02.2020;0;2020-04-27T03:00:00
01.03.2020;0;2020-04-27T03:00:00
02.03.2020;0;2020-04-27T03:00:00
03.03.2020;0;2020-04-27T03:00:00
04.03.2020;0;2020-04-27T03:00:00
05.03.2020;0;2020-04-27T03:00:00
06.03.2020;0;2020-04-27T03:00:00
07.03.2020;0;2020-04-27T03:00:00
08.03.2020;0;2020-04-27T03:00:00
09.03.2020;0;2020-04-27T03:00:00
10.03.2020;0;2020-04-27T03:00:00
11.03.2020;0;2020-04-27T03:00:00
12.03.2020;1;2020-04-27T03:00:00
13.03.2020;1;2020-04-27T03:00:00
14.03.2020;1;2020-04-27T03:00:00
15.03.2020;3;2020-04-27T03:00:00
16.03.2020;5;2020-04-27T03:00:00
17.03.2020;7;2020-04-27T03:00:00
18.03.2020;11;2020-04-27T03:00:00
19.03.2020;14;2020-04-27T03:00:00
20.03.2020;19;2020-04-27T03:00:00
21.03.2020;22;2020-04-27T03:00:00
22.03.2020;30;2020-04-27T03:00:00
23.03.2020;40;2020-04-27T03:00:00
24.03.2020;50;2020-04-27T03:00:00
25.03.2020;59;2020-04-27T03:00:00
26.03.2020;71;2020-04-27T03:00:00
27.03.2020;88;2020-04-27T03:00:00
28.03.2020;104;2020-04-27T03:00:00
29.03.2020;118;2020-04-27T03:00:00
30.03.2020;137;2020-04-27T03:00:00
31.03.2020;155;2020-04-27T03:00:00
01.04.2020;166;2020-04-27T03:00:00
02.04.2020;185;2020-04-27T03:00:00
03.04.2020;202;2020-04-27T03:00:00
04.04.2020;222;2020-04-27T03:00:00
05.04.2020;243;2020-04-27T03:00:00
06.04.2020;267;2020-04-27T03:00:00
07.04.2020;294;2020-04-27T03:00:00
08.04.2020;312;2020-04-27T03:00:00
09.04.2020;330;2020-04-27T03:00:00
10.04.2020;347;2020-04-27T03:00:00
11.04.2020;361;2020-04-27T03:00:00
12.04.2020;372;2020-04-27T03:00:00
13.04.2020;393;2020-04-27T03:00:00
14.04.2020;405;2020-04-27T03:00:00
15.04.2020;419;2020-04-27T03:00:00
16.04.2020;440;2020-04-27T03:00:00
17.04.2020;453;2020-04-27T03:00:00
18.04.2020;468;2020-04-27T03:00:00
19.04.2020;484;2020-04-27T03:00:00
20.04.2020;492;2020-04-27T03:00:00
21.04.2020;507;2020-04-27T03:00:00
22.04.2020;516;2020-04-27T03:00:00
23.04.2020;519;2020-04-27T03:00:00
24.04.2020;521;2020-04-27T03:00:00
25.04.2020;527;2020-04-27T03:00:00
26.04.2020;528;2020-04-27T03:00:00
