dep;jour;incid_hosp;incid_rea;incid_dc;incid_rad
01;2020-03-19;1;0;0;0
01;2020-03-20;0;0;0;1
01;2020-03-21;4;0;0;0
01;2020-03-22;3;1;0;1
01;2020-03-23;14;1;0;5
01;2020-03-24;11;1;0;4
01;2020-03-25;13;2;0;5
01;2020-03-26;14;3;2;2
01;2020-03-27;14;2;0;0
01;2020-03-28;7;3;1;3
01;2020-03-29;10;2;3;3
01;2020-03-30;19;6;4;1
01;2020-03-31;20;0;1;10
01;2020-04-01;38;14;2;10
01;2020-04-02;33;7;2;19
01;2020-04-03;14;3;3;13
01;2020-04-04;25;9;5;9
01;2020-04-05;12;4;2;3
01;2020-04-06;10;2;1;6
01;2020-04-07;15;3;2;5
01;2020-04-08;19;8;4;9
01;2020-04-09;12;3;4;8
01;2020-04-10;17;2;5;8
01;2020-04-11;7;3;2;15
01;2020-04-12;4;2;0;4
01;2020-04-13;12;1;2;3
01;2020-04-14;14;1;2;5
01;2020-04-15;35;0;6;28
01;2020-04-16;16;1;0;3
01;2020-04-17;8;2;3;9
01;2020-04-18;31;3;5;4
01;2020-04-19;3;1;0;1
01;2020-04-20;4;1;2;3
01;2020-04-21;12;3;2;11
01;2020-04-22;13;1;4;15
01;2020-04-23;9;0;4;9
01;2020-04-24;6;0;1;5
01;2020-04-25;4;0;2;5
01;2020-04-26;4;0;0;1
01;2020-04-27;4;0;0;7
01;2020-04-28;3;0;3;4
01;2020-04-29;14;0;1;11
01;2020-04-30;7;2;1;8
01;2020-05-01;4;0;1;5
01;2020-05-02;1;1;0;0
02;2020-03-19;38;9;10;15
02;2020-03-20;10;3;3;9
02;2020-03-21;29;3;1;9
02;2020-03-22;13;1;3;8
02;2020-03-23;27;1;2;5
02;2020-03-24;46;4;3;23
02;2020-03-25;15;5;1;8
02;2020-03-26;23;3;2;10
02;2020-03-27;16;3;1;5
02;2020-03-28;26;2;4;13
02;2020-03-29;5;1;1;1
02;2020-03-30;9;4;2;3
02;2020-03-31;58;6;7;41
02;2020-04-01;41;4;8;13
02;2020-04-02;57;1;8;27
02;2020-04-03;58;4;18;16
02;2020-04-04;42;4;10;19
02;2020-04-05;8;0;6;2
02;2020-04-06;14;1;6;7
02;2020-04-07;69;4;9;31
02;2020-04-08;21;5;4;13
02;2020-04-09;39;4;9;20
02;2020-04-10;33;6;8;14
02;2020-04-11;25;0;4;22
02;2020-04-12;8;1;2;2
02;2020-04-13;9;0;5;1
02;2020-04-14;9;2;5;16
02;2020-04-15;28;4;3;25
02;2020-04-16;13;1;4;14
02;2020-04-17;18;1;6;12
02;2020-04-18;12;0;3;10
02;2020-04-19;8;1;1;1
02;2020-04-20;106;7;6;70
02;2020-04-21;93;1;13;90
02;2020-04-22;29;1;5;39
02;2020-04-23;24;1;1;20
02;2020-04-24;26;1;3;14
02;2020-04-25;10;0;4;12
02;2020-04-26;11;0;3;0
02;2020-04-27;4;0;2;8
02;2020-04-28;29;4;5;20
02;2020-04-29;15;4;5;18
02;2020-04-30;17;1;1;16
02;2020-05-01;6;1;2;11
02;2020-05-02;6;0;0;3
03;2020-03-19;3;1;0;6
03;2020-03-20;4;0;0;3
03;2020-03-21;5;0;0;1
03;2020-03-22;2;0;0;2
03;2020-03-23;11;1;1;4
03;2020-03-24;2;0;0;0
03;2020-03-25;6;1;0;4
03;2020-03-26;11;1;1;6
03;2020-03-27;6;2;2;1
03;2020-03-28;9;1;0;4
03;2020-03-29;3;3;0;1
03;2020-03-30;14;4;0;6
03;2020-03-31;5;2;1;3
03;2020-04-01;9;1;0;7
03;2020-04-02;5;3;1;6
03;2020-04-03;5;0;1;1
03;2020-04-04;6;0;0;2
03;2020-04-05;6;4;1;4
03;2020-04-06;6;1;0;2
03;2020-04-07;5;0;0;4
03;2020-04-08;10;3;2;2
03;2020-04-09;3;1;0;0
03;2020-04-10;6;2;0;6
03;2020-04-11;8;1;2;2
03;2020-04-12;4;0;1;6
03;2020-04-13;3;0;0;3
03;2020-04-14;6;2;3;0
03;2020-04-15;2;0;1;4
03;2020-04-16;4;0;2;1
03;2020-04-17;2;0;0;1
03;2020-04-18;2;0;3;3
03;2020-04-19;0;1;0;0
03;2020-04-20;5;0;0;0
03;2020-04-21;5;0;1;9
03;2020-04-22;5;1;1;4
03;2020-04-23;3;0;0;4
03;2020-04-24;2;0;1;3
03;2020-04-25;5;0;0;3
03;2020-04-26;3;0;0;1
03;2020-04-27;0;0;0;1
03;2020-04-28;1;0;1;4
03;2020-04-29;0;2;1;4
03;2020-04-30;2;0;0;3
03;2020-05-01;2;0;1;1
03;2020-05-02;2;0;0;1
04;2020-03-19;1;0;0;1
04;2020-03-20;0;0;0;0
04;2020-03-21;1;0;0;0
04;2020-03-22;0;0;0;0
04;2020-03-23;0;0;0;0
04;2020-03-24;0;0;0;0
04;2020-03-25;17;0;0;13
04;2020-03-26;1;0;0;0
04;2020-03-27;4;0;0;2
04;2020-03-28;4;0;0;3
04;2020-03-29;0;0;0;0
04;2020-03-30;15;3;1;8
04;2020-03-31;5;0;1;3
04;2020-04-01;4;1;0;2
04;2020-04-02;15;0;1;13
04;2020-04-03;5;1;0;1
