country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AU,Australia,,,,,,2020-02-15,4,3,-2,3,3,0
AU,Australia,,,,,,2020-02-16,3,5,9,3,-1,0
AU,Australia,,,,,,2020-02-17,-1,0,-6,7,17,-2
AU,Australia,,,,,,2020-02-18,-3,-2,-13,7,14,-1
AU,Australia,,,,,,2020-02-19,-1,-1,-6,8,13,-1
AU,Australia,,,,,,2020-02-20,0,1,5,9,13,-2
AU,Australia,,,,,,2020-02-21,3,4,-1,12,16,-3
AU,Australia,,,,,,2020-02-22,5,4,10,8,3,-1
AU,Australia,,,,,,2020-02-23,3,4,9,4,-2,0
AU,Australia,,,,,,2020-02-24,-1,1,-10,8,17,-1
AU,Australia,,,,,,2020-02-25,-3,-1,-8,10,15,-1
AU,Australia,,,,,,2020-02-26,-1,0,-5,10,14,-1
AU,Australia,,,,,,2020-02-27,0,1,-2,10,14,-1
AU,Australia,,,,,,2020-02-28,4,6,0,14,17,-3
AU,Australia,,,,,,2020-02-29,6,6,18,11,4,-1
AU,Australia,,,,,,2020-03-01,4,7,20,6,-1,0
AU,Australia,,,,,,2020-03-02,0,5,-1,6,10,0
AU,Australia,,,,,,2020-03-03,-2,7,-14,9,15,-1
AU,Australia,,,,,,2020-03-04,0,12,-15,7,14,-1
AU,Australia,,,,,,2020-03-05,-2,9,-19,6,13,0
AU,Australia,,,,,,2020-03-06,3,14,-6,9,16,-2
AU,Australia,,,,,,2020-03-07,3,12,10,3,2,0
AU,Australia,,,,,,2020-03-08,3,8,14,0,-2,0
AU,Australia,,,,,,2020-03-09,-3,3,5,-9,-14,4
AU,Australia,,,,,,2020-03-10,-2,9,-11,6,13,-1
AU,Australia,,,,,,2020-03-11,-1,8,-2,6,14,-1
AU,Australia,,,,,,2020-03-12,-1,11,2,6,13,-1
AU,Australia,,,,,,2020-03-13,1,17,-8,5,14,-1
AU,Australia,,,,,,2020-03-14,-1,20,-15,-10,3,2
AU,Australia,,,,,,2020-03-15,-2,24,-8,-13,-1,2
AU,Australia,,,,,,2020-03-16,-1,33,-18,-7,12,1
AU,Australia,,,,,,2020-03-17,-5,35,-21,-14,5,3
AU,Australia,,,,,,2020-03-18,-7,32,-15,-18,2,5
AU,Australia,,,,,,2020-03-19,-10,25,-9,-22,0,5
AU,Australia,,,,,,2020-03-20,-12,20,-12,-22,0,6
AU,Australia,,,,,,2020-03-21,-17,11,-9,-28,-4,7
AU,Australia,,,,,,2020-03-22,-18,10,-11,-34,-12,6
AU,Australia,,,,,,2020-03-23,-17,17,-27,-36,-6,8
AU,Australia,,,,,,2020-03-24,-30,4,-30,-45,-19,12
AU,Australia,,,,,,2020-03-25,-31,2,-33,-50,-23,14
AU,Australia,,,,,,2020-03-26,-34,2,-23,-53,-27,16
AU,Australia,,,,,,2020-03-27,-35,2,-30,-53,-26,17
AU,Australia,,,,,,2020-03-28,-41,-9,-34,-53,-27,15
AU,Australia,,,,,,2020-03-29,-45,-19,-35,-58,-33,13
AU,Australia,,,,,,2020-03-30,-39,-13,-35,-59,-32,16
AU,Australia,,,,,,2020-03-31,-41,-13,-35,-59,-36,18
AU,Australia,,,,,,2020-04-01,-40,-13,-36,-60,-37,19
AU,Australia,,,,,,2020-04-02,-42,-13,-42,-63,-38,20
AU,Australia,,,,,,2020-04-03,-40,-7,-41,-61,-36,20
AU,Australia,,,,,,2020-04-04,-44,-14,-52,-61,-33,17
AU,Australia,,,,,,2020-04-05,-44,-18,-43,-62,-36,14
AU,Australia,,,,,,2020-04-06,-37,-12,-35,-61,-37,17
AU,Australia,,,,,,2020-04-07,-38,-10,-39,-61,-39,19
AU,Australia,,,,,,2020-04-08,-35,-6,-38,-61,-39,19
AU,Australia,,,,,,2020-04-09,-28,15,-31,-59,-40,18
AU,Australia,,,,,,2020-04-10,-76,-55,-43,-77,-82,33
AU,Australia,,,,,,2020-04-11,-40,-2,-51,-63,-41,18
AU,Australia,,,,,,2020-04-12,-58,-38,-42,-64,-43,15
AU,Australia,,,,,,2020-04-13,-45,-23,-18,-73,-78,27
AU,Australia,,,,,,2020-04-14,-37,-7,-35,-61,-42,19
AU,Australia,,,,,,2020-04-15,-37,-10,-31,-60,-41,20
AU,Australia,,,,,,2020-04-16,-39,-8,-27,-60,-41,20
AU,Australia,,,,,,2020-04-17,-37,-4,-33,-59,-39,20
AU,Australia,,,,,,2020-04-18,-43,-11,-42,-55,-30,16
AU,Australia,,,,,,2020-04-19,-45,-17,-35,-58,-34,14
AU,Australia,,,,,,2020-04-20,-39,-14,-35,-60,-35,17
AU,Australia,,,,,,2020-04-21,-39,-13,-31,-58,-37,18
AU,Australia,,,,,,2020-04-22,-38,-12,-28,-58,-37,18
AU,Australia,,,,,,2020-04-23,-39,-9,-26,-58,-37,19
AU,Australia,,,,,,2020-04-24,-36,-2,-27,-56,-35,18
AU,Australia,,,,,,2020-04-25,-52,-28,-30,-56,-43,17
AU,Australia,,,,,,2020-04-26,-36,-3,-34,-55,-32,13
AU,Australia,,,,,,2020-04-27,-36,-10,-27,-60,-39,17
AU,Australia,,,,,,2020-04-28,-36,-10,-37,-57,-34,16
AU,Australia,,,,,,2020-04-29,-38,-13,-41,-58,-34,11
AU,Australia,,,,,,2020-04-30,-39,-8,-43,-60,-34,18
AU,Australia,,,,,,2020-05-01,-35,-3,-42,-56,-31,18
AU,Australia,,,,,,2020-05-02,-33,-1,-38,-51,-27,13
AU,Australia,,,,,,2020-05-03,-34,-6,-20,-52,-29,11
AU,Australia,,,,,,2020-05-04,-39,-17,-24,-58,-41,17
AU,Australia,,,,,,2020-05-05,-32,-3,-33,-55,-31,16
AU,Australia,,,,,,2020-05-06,-33,-6,-30,-55,-31,16
AU,Australia,,,,,,2020-05-07,-32,-2,-25,-54,-31,16
AU,Australia,,,,,,2020-05-08,-29,5,-23,-51,-28,16
