country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CI,Côte d'Ivoire,,,,,,2020-02-15,3,0,12,3,-1,-1
CI,Côte d'Ivoire,,,,,,2020-02-16,4,2,4,5,1,0
CI,Côte d'Ivoire,,,,,,2020-02-17,1,0,7,2,-2,1
CI,Côte d'Ivoire,,,,,,2020-02-18,2,3,11,1,-2,1
CI,Côte d'Ivoire,,,,,,2020-02-19,0,0,8,0,-2,1
CI,Côte d'Ivoire,,,,,,2020-02-20,2,1,7,4,-3,2
CI,Côte d'Ivoire,,,,,,2020-02-21,-1,-1,7,1,-3,2
CI,Côte d'Ivoire,,,,,,2020-02-22,-3,-5,7,-1,0,0
CI,Côte d'Ivoire,,,,,,2020-02-23,1,1,6,6,1,0
CI,Côte d'Ivoire,,,,,,2020-02-24,-3,-3,3,-1,2,0
CI,Côte d'Ivoire,,,,,,2020-02-25,0,0,10,0,2,0
CI,Côte d'Ivoire,,,,,,2020-02-26,-3,-2,5,0,3,0
CI,Côte d'Ivoire,,,,,,2020-02-27,1,0,5,2,2,0
CI,Côte d'Ivoire,,,,,,2020-02-28,-2,0,7,-1,2,0
CI,Côte d'Ivoire,,,,,,2020-02-29,1,0,10,1,3,-1
CI,Côte d'Ivoire,,,,,,2020-03-01,6,5,10,4,5,-1
CI,Côte d'Ivoire,,,,,,2020-03-02,1,2,9,3,5,0
CI,Côte d'Ivoire,,,,,,2020-03-03,4,3,8,6,5,0
CI,Côte d'Ivoire,,,,,,2020-03-04,6,5,9,7,4,-1
CI,Côte d'Ivoire,,,,,,2020-03-05,6,5,8,11,3,0
CI,Côte d'Ivoire,,,,,,2020-03-06,1,3,11,6,3,-1
CI,Côte d'Ivoire,,,,,,2020-03-07,2,1,9,3,1,-2
