country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CM,Cameroon,,,,,,2020-02-15,-1,1,4,1,2,1
CM,Cameroon,,,,,,2020-02-16,-4,0,0,-1,0,0
CM,Cameroon,,,,,,2020-02-17,-1,1,-2,4,2,1
CM,Cameroon,,,,,,2020-02-18,-3,0,-1,1,2,1
CM,Cameroon,,,,,,2020-02-19,-5,0,-1,0,3,1
CM,Cameroon,,,,,,2020-02-20,-5,0,-2,0,2,1
CM,Cameroon,,,,,,2020-02-21,-4,-1,1,-2,0,1
CM,Cameroon,,,,,,2020-02-22,-6,-5,-1,-4,0,1
CM,Cameroon,,,,,,2020-02-23,-9,-7,-5,-7,-3,1
CM,Cameroon,,,,,,2020-02-24,-5,-3,-5,-2,1,0
CM,Cameroon,,,,,,2020-02-25,-3,0,-1,-3,2,0
CM,Cameroon,,,,,,2020-02-26,-2,3,1,1,2,0
CM,Cameroon,,,,,,2020-02-27,-2,3,2,3,2,1
CM,Cameroon,,,,,,2020-02-28,-2,1,5,3,0,1
CM,Cameroon,,,,,,2020-02-29,-2,0,1,0,0,0
CM,Cameroon,,,,,,2020-03-01,-2,0,1,2,0,0
CM,Cameroon,,,,,,2020-03-02,-1,2,-1,5,4,0
CM,Cameroon,,,,,,2020-03-03,-3,-1,1,6,3,0
CM,Cameroon,,,,,,2020-03-04,-1,4,3,7,4,0
CM,Cameroon,,,,,,2020-03-05,3,3,1,7,4,0
CM,Cameroon,,,,,,2020-03-06,-1,4,5,7,3,0
CM,Cameroon,,,,,,2020-03-07,-1,4,4,4,4,0
CM,Cameroon,,,,,,2020-03-08,11,5,8,8,10,-1
CM,Cameroon,,,,,,2020-03-09,-4,-3,-4,2,2,-1
CM,Cameroon,,,,,,2020-03-10,-5,-3,-1,3,2,-1
CM,Cameroon,,,,,,2020-03-11,-4,0,1,1,3,0
CM,Cameroon,,,,,,2020-03-12,-6,-1,0,0,1,0
CM,Cameroon,,,,,,2020-03-13,-5,-6,2,-1,0,-1
CM,Cameroon,,,,,,2020-03-14,-8,-7,1,-3,0,-1
CM,Cameroon,,,,,,2020-03-15,-7,-4,-2,-2,1,0
CM,Cameroon,,,,,,2020-03-16,-5,-3,0,1,2,-1
CM,Cameroon,,,,,,2020-03-17,-4,-1,-1,0,3,-1
CM,Cameroon,,,,,,2020-03-18,-11,3,-2,-5,-6,4
CM,Cameroon,,,,,,2020-03-19,-15,-6,-10,-9,-8,5
CM,Cameroon,,,,,,2020-03-20,-19,-15,-15,-14,-10,7
CM,Cameroon,,,,,,2020-03-21,-19,-12,-17,-13,-4,7
CM,Cameroon,,,,,,2020-03-22,-23,-18,-20,-20,-5,8
CM,Cameroon,,,,,,2020-03-23,-16,-9,-18,-12,-10,7
CM,Cameroon,,,,,,2020-03-24,-23,-16,-21,-18,-15,10
CM,Cameroon,,,,,,2020-03-25,-19,-11,-15,-17,-14,8
CM,Cameroon,,,,,,2020-03-26,-20,-13,-16,-16,-14,9
CM,Cameroon,,,,,,2020-03-27,-20,-14,-15,-19,-13,10
CM,Cameroon,,,,,,2020-03-28,-24,-15,-18,-20,-6,9
CM,Cameroon,,,,,,2020-03-29,-26,-20,-19,-23,-3,9
CM,Cameroon,,,,,,2020-03-30,-20,-16,-19,-18,-15,8
