country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
GT,Guatemala,,,,,,2020-02-15,5,1,3,4,2,-2
GT,Guatemala,,,,,,2020-02-16,6,2,2,3,0,-1
GT,Guatemala,,,,,,2020-02-17,-2,-1,-2,-2,4,0
GT,Guatemala,,,,,,2020-02-18,0,-2,1,-2,4,0
GT,Guatemala,,,,,,2020-02-19,0,-2,0,0,3,0
GT,Guatemala,,,,,,2020-02-20,-2,-2,1,-1,3,0
GT,Guatemala,,,,,,2020-02-21,0,-1,0,-4,4,-1
GT,Guatemala,,,,,,2020-02-22,-1,-4,-1,1,3,-1
GT,Guatemala,,,,,,2020-02-23,0,-2,2,1,1,0
GT,Guatemala,,,,,,2020-02-24,-6,-4,-4,-5,4,0
GT,Guatemala,,,,,,2020-02-25,-4,-5,-1,-5,3,0
GT,Guatemala,,,,,,2020-02-26,-3,-3,2,-2,3,0
GT,Guatemala,,,,,,2020-02-27,-1,1,3,-1,3,0
GT,Guatemala,,,,,,2020-02-28,5,4,2,-3,5,-1
GT,Guatemala,,,,,,2020-02-29,8,7,5,6,5,-3
GT,Guatemala,,,,,,2020-03-01,8,7,4,5,3,-2
GT,Guatemala,,,,,,2020-03-02,0,3,-1,-3,5,-1
GT,Guatemala,,,,,,2020-03-03,1,2,3,-2,5,-1
GT,Guatemala,,,,,,2020-03-04,3,3,3,2,4,0
GT,Guatemala,,,,,,2020-03-05,1,3,2,0,4,0
GT,Guatemala,,,,,,2020-03-06,2,2,3,-2,6,0
GT,Guatemala,,,,,,2020-03-07,1,-1,3,-1,4,-1
GT,Guatemala,,,,,,2020-03-08,4,0,5,2,2,0
GT,Guatemala,,,,,,2020-03-09,-5,-2,-4,-6,4,0
GT,Guatemala,,,,,,2020-03-10,-3,-3,0,-6,4,0
GT,Guatemala,,,,,,2020-03-11,-1,0,0,-3,4,0
GT,Guatemala,,,,,,2020-03-12,-2,4,0,-3,3,0
GT,Guatemala,,,,,,2020-03-13,3,16,3,-6,5,0
GT,Guatemala,,,,,,2020-03-14,0,10,0,-4,3,0
GT,Guatemala,,,,,,2020-03-15,-16,5,-13,-14,-3,4
GT,Guatemala,,,,,,2020-03-16,-13,18,-12,-18,-12,6
GT,Guatemala,,,,,,2020-03-17,-46,-8,-29,-55,-38,19
GT,Guatemala,,,,,,2020-03-18,-54,-24,-37,-64,-45,22
GT,Guatemala,,,,,,2020-03-19,-57,-28,-40,-67,-47,24
GT,Guatemala,,,,,,2020-03-20,-59,-30,-44,-70,-48,26
GT,Guatemala,,,,,,2020-03-21,-67,-40,-53,-74,-44,23
GT,Guatemala,,,,,,2020-03-22,-76,-51,-62,-76,-48,22
GT,Guatemala,,,,,,2020-03-23,-68,-46,-54,-77,-59,31
GT,Guatemala,,,,,,2020-03-24,-68,-47,-53,-76,-60,31
GT,Guatemala,,,,,,2020-03-25,-67,-44,-51,-75,-59,31
GT,Guatemala,,,,,,2020-03-26,-66,-42,-52,-75,-59,31
GT,Guatemala,,,,,,2020-03-27,-65,-41,-50,-74,-56,32
GT,Guatemala,,,,,,2020-03-28,-65,-40,-50,-71,-43,23
GT,Guatemala,,,,,,2020-03-29,-67,-39,-53,-69,-39,19
GT,Guatemala,,,,,,2020-03-30,-57,-37,-45,-69,-51,27
GT,Guatemala,,,,,,2020-03-31,-54,-32,-42,-67,-50,25
GT,Guatemala,,,,,,2020-04-01,-54,-30,-42,-66,-49,26
GT,Guatemala,,,,,,2020-04-02,-56,-31,-44,-68,-50,27
GT,Guatemala,,,,,,2020-04-03,-56,-29,-44,-69,-48,28
GT,Guatemala,,,,,,2020-04-04,-59,-33,-47,-66,-34,21
GT,Guatemala,,,,,,2020-04-05,-63,-33,-51,-64,-33,17
GT,Guatemala,,,,,,2020-04-06,-57,-36,-47,-70,-52,28
GT,Guatemala,,,,,,2020-04-07,-57,-33,-46,-70,-53,27
GT,Guatemala,,,,,,2020-04-08,-58,-26,-47,-71,-60,29
GT,Guatemala,,,,,,2020-04-09,-71,-42,-56,-79,-74,34
GT,Guatemala,,,,,,2020-04-10,-82,-71,-66,-87,-79,40
GT,Guatemala,,,,,,2020-04-11,-79,-67,-66,-83,-64,29
GT,Guatemala,,,,,,2020-04-12,-75,-64,-65,-79,-47,22
GT,Guatemala,,,,,,2020-04-13,-60,-41,-48,-70,-51,28
GT,Guatemala,,,,,,2020-04-14,-58,-39,-47,-69,-50,28
GT,Guatemala,,,,,,2020-04-15,-56,-35,-47,-68,-50,28
GT,Guatemala,,,,,,2020-04-16,-56,-34,-47,-68,-50,29
GT,Guatemala,,,,,,2020-04-17,-59,-35,-48,-70,-48,31
GT,Guatemala,,,,,,2020-04-18,-61,-41,-52,-67,-33,22
GT,Guatemala,,,,,,2020-04-19,-66,-43,-56,-68,-34,19
GT,Guatemala,,,,,,2020-04-20,-54,-40,-45,-68,-44,24
GT,Guatemala,,,,,,2020-04-21,-54,-39,-45,-67,-45,25
GT,Guatemala,,,,,,2020-04-22,-55,-39,-46,-67,-45,25
GT,Guatemala,,,,,,2020-04-23,-56,-39,-47,-68,-45,26
GT,Guatemala,,,,,,2020-04-24,-57,-40,-48,-69,-43,27
GT,Guatemala,,,,,,2020-04-25,-58,-40,-49,-65,-29,20
GT,Guatemala,,,,,,2020-04-26,-63,-42,-54,-66,-31,17
GT,Guatemala,,,,,,2020-04-27,-54,-42,-46,-68,-42,24
GT,Guatemala,,,,,,2020-04-28,-53,-39,-43,-67,-44,19
GT,Guatemala,,,,,,2020-04-29,-51,-36,-42,-65,-43,24
GT,Guatemala,,,,,,2020-04-30,-49,-32,-40,-63,-43,23
GT,Guatemala,,,,,,2020-05-01,-57,-31,-48,-71,-61,31
GT,Guatemala,,,,,,2020-05-02,-53,-33,-44,-61,-29,19
GT,Guatemala,,,,,,2020-05-03,-59,-37,-51,-62,-29,16
GT,Guatemala,,,,,,2020-05-04,-47,-35,-40,-63,-40,22
GT,Guatemala,,,,,,2020-05-05,-47,-34,-40,-64,-41,23
GT,Guatemala,,,,,,2020-05-06,-48,-33,-39,-62,-40,23
GT,Guatemala,,,,,,2020-05-07,-49,-33,-41,-64,-41,23
GT,Guatemala,,,,,,2020-05-08,-50,-33,-42,-65,-38,25
GT,Guatemala,,,,,,2020-05-09,-49,-30,-41,-59,-22,17
GT,Guatemala,,,,,,2020-05-10,-46,-29,-41,-57,-18,12
GT,Guatemala,,,,,,2020-05-11,-50,-38,-43,-65,-39,23
GT,Guatemala,,,,,,2020-05-12,-51,-38,-42,-65,-40,23
GT,Guatemala,,,,,,2020-05-13,-52,-38,-44,-65,-41,24
GT,Guatemala,,,,,,2020-05-14,-53,-38,-45,-66,-42,21
