country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IL,Israel,,,,,,2020-02-15,13,9,64,14,1,-3
IL,Israel,,,,,,2020-02-16,2,1,12,1,1,0
IL,Israel,,,,,,2020-02-17,3,1,9,1,1,0
IL,Israel,,,,,,2020-02-18,2,0,8,1,1,0
IL,Israel,,,,,,2020-02-19,-3,-5,-10,-2,0,1
IL,Israel,,,,,,2020-02-20,3,2,9,0,1,0
IL,Israel,,,,,,2020-02-21,5,3,44,6,4,-1
IL,Israel,,,,,,2020-02-22,-2,-2,-13,-3,0,1
IL,Israel,,,,,,2020-02-23,1,1,9,0,1,0
IL,Israel,,,,,,2020-02-24,0,-1,2,-2,-1,1
IL,Israel,,,,,,2020-02-25,2,-2,-5,-2,-1,1
IL,Israel,,,,,,2020-02-26,4,1,23,2,1,-1
IL,Israel,,,,,,2020-02-27,4,3,24,3,1,-1
IL,Israel,,,,,,2020-02-28,7,5,81,11,4,-2
IL,Israel,,,,,,2020-02-29,0,2,11,0,1,0
IL,Israel,,,,,,2020-03-01,8,9,13,3,0,-1
IL,Israel,,,,,,2020-03-02,30,19,105,-5,-68,13
IL,Israel,,,,,,2020-03-03,0,4,10,1,3,0
IL,Israel,,,,,,2020-03-04,4,9,27,4,2,-1
IL,Israel,,,,,,2020-03-05,1,13,23,0,1,0
IL,Israel,,,,,,2020-03-06,-5,7,-7,-5,3,2
IL,Israel,,,,,,2020-03-07,3,29,33,3,6,0
IL,Israel,,,,,,2020-03-08,7,18,32,1,0,1
IL,Israel,,,,,,2020-03-09,1,17,26,-6,-15,5
IL,Israel,,,,,,2020-03-10,-1,11,47,-8,-35,8
IL,Israel,,,,,,2020-03-11,-3,9,44,-8,-20,5
IL,Israel,,,,,,2020-03-12,-21,11,-17,-14,-3,6
IL,Israel,,,,,,2020-03-13,-28,5,-36,-25,-25,8
IL,Israel,,,,,,2020-03-14,-34,58,-31,-18,-7,6
IL,Israel,,,,,,2020-03-15,-34,29,14,-29,-33,15
IL,Israel,,,,,,2020-03-16,-40,14,26,-31,-37,17
IL,Israel,,,,,,2020-03-17,-54,-5,-43,-44,-41,22
IL,Israel,,,,,,2020-03-18,-58,0,-50,-50,-50,26
IL,Israel,,,,,,2020-03-19,-62,-12,-54,-54,-52,29
IL,Israel,,,,,,2020-03-20,-69,-27,-60,-59,-55,19
IL,Israel,,,,,,2020-03-21,-80,-39,-58,-53,-41,16
IL,Israel,,,,,,2020-03-22,-61,-18,-32,-55,-55,27
IL,Israel,,,,,,2020-03-23,-61,-13,-32,-52,-55,28
IL,Israel,,,,,,2020-03-24,-62,-11,-44,-53,-56,28
IL,Israel,,,,,,2020-03-25,-63,-13,-45,-55,-57,29
IL,Israel,,,,,,2020-03-26,-75,-33,-66,-64,-59,33
IL,Israel,,,,,,2020-03-27,-75,-37,-66,-63,-59,20
IL,Israel,,,,,,2020-03-28,-87,-45,-80,-65,-46,17
IL,Israel,,,,,,2020-03-29,-67,-13,-56,-61,-59,30
IL,Israel,,,,,,2020-03-30,-73,-23,-62,-61,-60,31
IL,Israel,,,,,,2020-03-31,-80,-16,-61,-60,-60,31
IL,Israel,,,,,,2020-04-01,-80,-15,-62,-61,-61,31
IL,Israel,,,,,,2020-04-02,-79,-12,-57,-59,-60,32
IL,Israel,,,,,,2020-04-03,-79,-22,-55,-55,-57,19
IL,Israel,,,,,,2020-04-04,-88,-30,-72,-58,-42,16
IL,Israel,,,,,,2020-04-05,-75,6,-52,-57,-60,30
IL,Israel,,,,,,2020-04-06,-73,22,-55,-52,-60,29
IL,Israel,,,,,,2020-04-07,-71,25,-54,-49,-62,29
IL,Israel,,,,,,2020-04-08,-88,-38,-73,-73,-84,39
IL,Israel,,,,,,2020-04-09,-96,-88,-77,-84,-92,41
IL,Israel,,,,,,2020-04-10,-85,-30,-68,-64,-63,21
IL,Israel,,,,,,2020-04-11,-89,-37,-74,-59,-45,16
IL,Israel,,,,,,2020-04-12,-78,-11,-48,-61,-68,32
IL,Israel,,,,,,2020-04-13,-78,-5,-52,-58,-68,32
IL,Israel,,,,,,2020-04-14,-83,-29,-63,-67,-78,35
IL,Israel,,,,,,2020-04-15,-94,-86,-70,-80,-90,38
IL,Israel,,,,,,2020-04-16,-75,-19,-53,-59,-60,31
IL,Israel,,,,,,2020-04-17,-75,-28,-49,-54,-52,18
IL,Israel,,,,,,2020-04-18,-85,-42,-61,-52,-35,14
IL,Israel,,,,,,2020-04-19,-68,-15,-35,-53,-54,26
IL,Israel,,,,,,2020-04-20,-70,-20,-44,-52,-53,27
IL,Israel,,,,,,2020-04-21,-69,-16,-42,-51,-52,26
IL,Israel,,,,,,2020-04-22,-67,-18,-36,-49,-51,26
IL,Israel,,,,,,2020-04-23,-67,-18,-36,-49,-50,27
IL,Israel,,,,,,2020-04-24,-68,-26,-40,-48,-47,16
IL,Israel,,,,,,2020-04-25,-82,-38,-61,-50,-31,14
IL,Israel,,,,,,2020-04-26,-57,-6,-24,-45,-48,23
IL,Israel,,,,,,2020-04-27,-61,-4,-36,-46,-48,25
IL,Israel,,,,,,2020-04-28,-67,-9,-46,-53,-62,29
IL,Israel,,,,,,2020-04-29,-92,-86,-59,-74,-88,41
IL,Israel,,,,,,2020-04-30,-57,-8,-25,-44,-46,24
IL,Israel,,,,,,2020-05-01,-55,-15,-6,-37,-40,13
IL,Israel,,,,,,2020-05-02,-68,-25,-24,-34,-23,10
IL,Israel,,,,,,2020-05-03,-49,-5,-8,-39,-40,20
IL,Israel,,,,,,2020-05-04,-51,-4,-10,-38,-39,20
IL,Israel,,,,,,2020-05-05,-55,-12,-35,-42,-38,21
IL,Israel,,,,,,2020-05-06,-50,-7,-10,-36,-36,19
IL,Israel,,,,,,2020-05-07,-45,-5,5,-32,-35,18
IL,Israel,,,,,,2020-05-08,-43,-8,42,-26,-34,9
IL,Israel,,,,,,2020-05-09,-58,-19,-3,-25,-15,6
IL,Israel,,,,,,2020-05-10,-35,2,11,-27,-31,15
IL,Israel,,,,,,2020-05-11,-39,7,2,-25,-30,15
IL,Israel,,,,,,2020-05-12,-38,1,16,-26,-36,16
IL,Israel,,,,,,2020-05-13,-37,1,15,-25,-29,15
IL,Israel,,,,,,2020-05-14,-37,2,15,-25,-29,14
IL,Israel,,,,,,2020-05-15,-36,-2,51,-20,-29,7
IL,Israel,,,,,,2020-05-16,-54,-15,1,-26,-13,6
IL,Israel,,,,,,2020-05-17,-32,1,2,-26,-26,14
IL,Israel,,,,,,2020-05-18,-34,2,-4,-25,-23,14
IL,Israel,,,,,,2020-05-19,-35,0,-6,-24,-20,13
IL,Israel,,,,,,2020-05-20,-31,2,-29,-16,-19,12
IL,Israel,,,,,,2020-05-21,-32,4,-19,-14,-19,12
IL,Israel,,,,,,2020-05-22,-28,4,43,-3,-10,4
IL,Israel,,,,,,2020-05-23,-41,-4,10,-4,-7,3
IL,Israel,,,,,,2020-05-24,-26,7,-41,-9,-20,10
IL,Israel,,,,,,2020-05-25,-23,16,-24,-9,-19,10
IL,Israel,,,,,,2020-05-26,-24,21,-19,-9,-18,9
IL,Israel,,,,,,2020-05-27,-16,28,-24,-4,-15,7
IL,Israel,,,,,,2020-05-28,-38,1,-14,-27,-60,18
IL,Israel,,,,,,2020-05-29,-65,-69,53,-39,-62,10
IL,Israel,,,,,,2020-05-30,-35,-8,18,-4,-1,-1
IL,Israel,,,,,,2020-05-31,-20,8,-32,-9,-15,8
IL,Israel,,,,,,2020-06-01,-21,4,-32,-9,-14,8
IL,Israel,,,,,,2020-06-02,-23,2,-31,-10,-14,8
IL,Israel,,,,,,2020-06-03,-21,3,-27,-7,-14,8
IL,Israel,,,,,,2020-06-04,-22,2,-19,-8,-15,8
IL,Israel,,,,,,2020-06-05,-17,2,63,-4,-7,2
IL,Israel,,,,,,2020-06-06,-31,-12,44,-9,0,1
IL,Israel,,,,,,2020-06-07,-19,2,-14,-14,-17,8
IL,Israel,,,,,,2020-06-08,-19,3,-17,-13,-16,8
IL,Israel,,,,,,2020-06-09,-19,3,-14,-12,-16,8
IL,Israel,,,,,,2020-06-10,-16,7,-8,-10,-16,7
IL,Israel,,,,,,2020-06-11,-16,7,6,-11,-16,7
IL,Israel,,,,,,2020-06-12,-13,3,78,-3,-9,2
IL,Israel,,,,,,2020-06-13,-28,-10,44,-10,2,0
IL,Israel,,,,,,2020-06-14,-14,4,-5,-12,-17,7
IL,Israel,,,,,,2020-06-15,-15,5,-7,-12,-15,7
IL,Israel,,,,,,2020-06-16,-16,4,-5,-12,-15,7
IL,Israel,,,,,,2020-06-17,-15,5,0,-11,-16,7
IL,Israel,,,,,,2020-06-18,-15,5,7,-11,-17,6
IL,Israel,,,,,,2020-06-19,-12,2,62,-4,-9,2
IL,Israel,,,,,,2020-06-20,-25,-10,28,-9,2,0
IL,Israel,,,,,,2020-06-21,-14,3,-3,-13,-20,7
IL,Israel,,,,,,2020-06-22,-15,4,-6,-12,-20,8
IL,Israel,,,,,,2020-06-23,-16,4,-2,-12,-20,8
IL,Israel,,,,,,2020-06-24,-15,4,0,-11,-19,8
IL,Israel,,,,,,2020-06-25,-16,3,7,-12,-20,7
IL,Israel,,,,,,2020-06-26,-16,0,60,-6,-14,2
IL,Israel,,,,,,2020-06-27,-31,-14,26,-13,0,1
IL,Israel,,,,,,2020-06-28,-15,3,-4,-13,-20,8
IL,Israel,,,,,,2020-06-29,-15,5,-7,-12,-19,8
IL,Israel,,,,,,2020-06-30,-13,3,-1,-12,-19,8
IL,Israel,,,,,,2020-07-01,-14,4,6,-11,-23,8
IL,Israel,,,,,,2020-07-02,-16,4,11,-13,-25,8
IL,Israel,,,,,,2020-07-03,-18,-1,61,-11,-24,4
IL,Israel,,,,,,2020-07-04,-33,-13,21,-15,-2,2
IL,Israel,,,,,,2020-07-05,-17,2,1,-16,-26,9
IL,Israel,,,,,,2020-07-06,-20,3,-2,-17,-27,11
IL,Israel,,,,,,2020-07-07,-22,2,0,-17,-27,11
IL,Israel,,,,,,2020-07-08,-21,3,6,-16,-27,11
IL,Israel,,,,,,2020-07-09,-26,2,0,-21,-29,12
IL,Israel,,,,,,2020-07-10,-23,0,59,-14,-26,5
IL,Israel,,,,,,2020-07-11,-37,-13,22,-18,-8,3
IL,Israel,,,,,,2020-07-12,-20,3,0,-19,-30,11
IL,Israel,,,,,,2020-07-13,-20,4,-1,-18,-29,12
IL,Israel,,,,,,2020-07-14,-21,3,4,-18,-29,11
IL,Israel,,,,,,2020-07-15,-20,2,5,-20,-28,11
IL,Israel,,,,,,2020-07-16,-21,5,14,-21,-28,10
IL,Israel,,,,,,2020-07-17,-25,-4,55,-19,-26,5
IL,Israel,,,,,,2020-07-18,-47,-23,22,-23,-11,3
IL,Israel,,,,,,2020-07-19,-19,-1,5,-23,-30,11
IL,Israel,,,,,,2020-07-20,-20,0,6,-22,-29,12
IL,Israel,,,,,,2020-07-21,-22,0,12,-21,-30,11
IL,Israel,,,,,,2020-07-22,-22,0,10,-21,-29,11
IL,Israel,,,,,,2020-07-23,-24,0,12,-23,-29,12
IL,Israel,,,,,,2020-07-24,-25,-5,48,-19,-27,6
IL,Israel,,,,,,2020-07-25,-47,-25,17,-24,-11,3
IL,Israel,,,,,,2020-07-26,-22,-3,-2,-24,-30,11
IL,Israel,,,,,,2020-07-27,-21,0,-5,-23,-29,11
IL,Israel,,,,,,2020-07-28,-21,2,-2,-21,-29,11
IL,Israel,,,,,,2020-07-29,-31,-5,-8,-24,-30,13
IL,Israel,,,,,,2020-07-30,-30,-3,-5,-33,-43,18
IL,Israel,,,,,,2020-07-31,-21,-3,70,-15,-30,4
IL,Israel,,,,,,2020-08-01,-38,-21,43,-20,-13,2
IL,Israel,,,,,,2020-08-02,-11,4,36,-22,-33,9
IL,Israel,,,,,,2020-08-03,-13,4,31,-22,-33,10
IL,Israel,,,,,,2020-08-04,-12,5,32,-19,-31,9
IL,Israel,,,,,,2020-08-05,-10,6,39,-18,-30,9
IL,Israel,,,,,,2020-08-06,-15,3,38,-20,-31,9
IL,Israel,,,,,,2020-08-07,-16,-1,90,-16,-28,3
IL,Israel,,,,,,2020-08-08,-28,-13,42,-17,-7,1
IL,Israel,,,,,,2020-08-09,-10,4,34,-20,-33,8
IL,Israel,,,,,,2020-08-10,-8,8,39,-18,-33,9
