country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
KZ,Kazakhstan,,,,,,2020-02-15,7,5,1,4,6,-1
KZ,Kazakhstan,,,,,,2020-02-16,-1,-2,-7,1,2,0
KZ,Kazakhstan,,,,,,2020-02-17,1,0,-2,-1,8,0
KZ,Kazakhstan,,,,,,2020-02-18,0,-1,-4,-1,9,0
KZ,Kazakhstan,,,,,,2020-02-19,-5,-5,-6,-7,3,2
KZ,Kazakhstan,,,,,,2020-02-20,3,2,1,1,8,0
KZ,Kazakhstan,,,,,,2020-02-21,6,5,6,4,11,-2
KZ,Kazakhstan,,,,,,2020-02-22,5,6,2,4,7,-1
KZ,Kazakhstan,,,,,,2020-02-23,4,3,-1,4,6,-1
KZ,Kazakhstan,,,,,,2020-02-24,0,0,-1,0,9,0
KZ,Kazakhstan,,,,,,2020-02-25,3,3,3,3,10,-1
KZ,Kazakhstan,,,,,,2020-02-26,0,-1,0,0,8,-1
KZ,Kazakhstan,,,,,,2020-02-27,-4,-4,-5,5,3,2
KZ,Kazakhstan,,,,,,2020-02-28,6,5,3,14,12,-2
KZ,Kazakhstan,,,,,,2020-02-29,9,10,6,18,10,-1
KZ,Kazakhstan,,,,,,2020-03-01,11,9,10,19,9,-2
KZ,Kazakhstan,,,,,,2020-03-02,7,5,7,14,11,-1
KZ,Kazakhstan,,,,,,2020-03-03,7,8,4,14,11,-2
KZ,Kazakhstan,,,,,,2020-03-04,8,9,5,14,10,-2
KZ,Kazakhstan,,,,,,2020-03-05,17,17,9,19,12,-2
KZ,Kazakhstan,,,,,,2020-03-06,21,17,8,20,15,-4
KZ,Kazakhstan,,,,,,2020-03-07,20,21,1,21,4,-2
KZ,Kazakhstan,,,,,,2020-03-08,28,20,9,27,5,-4
KZ,Kazakhstan,,,,,,2020-03-09,6,0,-3,2,-52,10
KZ,Kazakhstan,,,,,,2020-03-10,6,7,5,16,11,-1
KZ,Kazakhstan,,,,,,2020-03-11,6,9,6,15,9,-2
KZ,Kazakhstan,,,,,,2020-03-12,8,15,9,19,10,-1
KZ,Kazakhstan,,,,,,2020-03-13,7,14,8,19,13,-2
KZ,Kazakhstan,,,,,,2020-03-14,2,13,8,22,11,-1
KZ,Kazakhstan,,,,,,2020-03-15,-1,10,7,20,6,-1
