country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
LU,Luxembourg,,,,,,2020-02-15,-2,-1,40,4,-2,-2
LU,Luxembourg,,,,,,2020-02-16,-7,-1,18,2,-3,-1
LU,Luxembourg,,,,,,2020-02-17,-3,-3,-1,-11,-22,4
LU,Luxembourg,,,,,,2020-02-18,-3,-5,1,-13,-22,3
LU,Luxembourg,,,,,,2020-02-19,-6,-6,-4,-12,-23,3
LU,Luxembourg,,,,,,2020-02-20,-7,-8,-7,-12,-23,3
LU,Luxembourg,,,,,,2020-02-21,-8,-2,11,-5,-23,4
LU,Luxembourg,,,,,,2020-02-22,-8,-1,32,12,-4,-1
LU,Luxembourg,,,,,,2020-02-23,-8,1,-13,5,-5,0
LU,Luxembourg,,,,,,2020-02-24,-2,4,12,-3,-4,2
LU,Luxembourg,,,,,,2020-02-25,-1,7,14,-1,0,1
LU,Luxembourg,,,,,,2020-02-26,-4,6,-3,0,0,1
LU,Luxembourg,,,,,,2020-02-27,-14,-10,4,0,-1,3
LU,Luxembourg,,,,,,2020-02-28,1,14,17,4,-1,1
LU,Luxembourg,,,,,,2020-02-29,-1,8,5,12,1,1
LU,Luxembourg,,,,,,2020-03-01,-3,17,-4,12,-2,0
LU,Luxembourg,,,,,,2020-03-02,-3,7,0,1,0,1
LU,Luxembourg,,,,,,2020-03-03,-2,8,6,0,1,0
LU,Luxembourg,,,,,,2020-03-04,-4,6,-2,0,0,1
LU,Luxembourg,,,,,,2020-03-05,-5,0,-7,-2,0,1
LU,Luxembourg,,,,,,2020-03-06,-1,7,3,1,1,1
LU,Luxembourg,,,,,,2020-03-07,2,7,44,8,1,0
LU,Luxembourg,,,,,,2020-03-08,0,10,7,0,-3,1
LU,Luxembourg,,,,,,2020-03-09,-2,6,9,-3,0,2
LU,Luxembourg,,,,,,2020-03-10,-6,6,-4,-5,-1,2
LU,Luxembourg,,,,,,2020-03-11,-7,10,-5,-4,-3,2
LU,Luxembourg,,,,,,2020-03-12,-7,23,2,-6,-3,2
LU,Luxembourg,,,,,,2020-03-13,-12,51,3,-12,-7,6
LU,Luxembourg,,,,,,2020-03-14,-30,6,3,-16,-8,8
LU,Luxembourg,,,,,,2020-03-15,-29,-1,51,-8,-14,5
LU,Luxembourg,,,,,,2020-03-16,-50,17,13,-32,-44,19
LU,Luxembourg,,,,,,2020-03-17,-62,3,-6,-44,-54,22
LU,Luxembourg,,,,,,2020-03-18,-71,-14,-35,-56,-62,28
LU,Luxembourg,,,,,,2020-03-19,-77,-29,-36,-64,-68,31
LU,Luxembourg,,,,,,2020-03-20,-80,-29,-40,-68,-70,37
LU,Luxembourg,,,,,,2020-03-21,-87,-49,-70,-72,-63,25
LU,Luxembourg,,,,,,2020-03-22,-87,-62,-34,-68,-58,
LU,Luxembourg,,,,,,2020-03-23,-80,-35,-48,-74,-75,35
LU,Luxembourg,,,,,,2020-03-24,-81,-38,-43,-73,-76,35
LU,Luxembourg,,,,,,2020-03-25,-82,-38,-50,-74,-77,36
LU,Luxembourg,,,,,,2020-03-26,-82,-38,-46,-75,-76,36
LU,Luxembourg,,,,,,2020-03-27,-82,-32,-39,-74,-76,39
LU,Luxembourg,,,,,,2020-03-28,-84,-44,-28,-67,-61,23
LU,Luxembourg,,,,,,2020-03-29,-90,-70,-66,-78,-60,
LU,Luxembourg,,,,,,2020-03-30,-79,-36,-44,-74,-76,35
LU,Luxembourg,,,,,,2020-03-31,-81,-38,-44,-73,-76,34
LU,Luxembourg,,,,,,2020-04-01,-81,-36,-42,-72,-76,35
LU,Luxembourg,,,,,,2020-04-02,-81,-38,-39,-73,-76,35
LU,Luxembourg,,,,,,2020-04-03,-82,-32,-56,-76,-75,40
LU,Luxembourg,,,,,,2020-04-04,-84,-41,-31,-67,-60,23
LU,Luxembourg,,,,,,2020-04-05,-85,-78,-7,-65,-57,15
LU,Luxembourg,,,,,,2020-04-06,-77,-32,-31,-71,-75,34
LU,Luxembourg,,,,,,2020-04-07,-78,-33,-27,-71,-75,33
LU,Luxembourg,,,,,,2020-04-08,-78,-31,-32,-70,-76,34
LU,Luxembourg,,,,,,2020-04-09,-77,-27,-35,-72,-76,33
LU,Luxembourg,,,,,,2020-04-10,-78,-22,-26,-73,-77,38
LU,Luxembourg,,,,,,2020-04-11,-82,-32,-20,-65,-58,22
LU,Luxembourg,,,,,,2020-04-12,-86,-82,-21,-68,-57,15
LU,Luxembourg,,,,,,2020-04-13,-93,-94,-41,-85,-92,41
LU,Luxembourg,,,,,,2020-04-14,-76,-24,-34,-71,-73,32
LU,Luxembourg,,,,,,2020-04-15,-77,-30,-34,-69,-74,34
LU,Luxembourg,,,,,,2020-04-16,-81,-26,-26,-68,-73,33
LU,Luxembourg,,,,,,2020-04-17,-81,-20,-21,-68,-71,37
LU,Luxembourg,,,,,,2020-04-18,-85,-40,-26,-64,-52,22
LU,Luxembourg,,,,,,2020-04-19,-85,-81,-14,-65,-51,14
LU,Luxembourg,,,,,,2020-04-20,-70,-42,-24,-65,-66,29
LU,Luxembourg,,,,,,2020-04-21,-72,-39,-20,-64,-66,29
LU,Luxembourg,,,,,,2020-04-22,-73,-39,-24,-62,-65,29
