country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
NE,Niger,,,,,,2020-02-15,4,5,-2,4,9,-1
NE,Niger,,,,,,2020-02-16,3,5,0,4,6,0
NE,Niger,,,,,,2020-02-17,2,4,0,1,-3,2
NE,Niger,,,,,,2020-02-18,0,6,-1,3,3,0
NE,Niger,,,,,,2020-02-19,-2,2,-4,-1,4,-1
NE,Niger,,,,,,2020-02-20,3,4,8,1,3,0
NE,Niger,,,,,,2020-02-21,0,1,-4,2,5,-1
NE,Niger,,,,,,2020-02-22,3,2,1,3,7,0
NE,Niger,,,,,,2020-02-23,3,3,-3,8,4,0
NE,Niger,,,,,,2020-02-24,-2,2,0,1,3,0
NE,Niger,,,,,,2020-02-25,2,3,-3,3,3,0
NE,Niger,,,,,,2020-02-26,-1,3,4,2,3,-1
NE,Niger,,,,,,2020-02-27,4,4,-4,8,3,0
NE,Niger,,,,,,2020-02-28,7,-7,-4,8,4,-1
NE,Niger,,,,,,2020-02-29,6,-10,-1,10,7,-2
NE,Niger,,,,,,2020-03-01,6,-10,-1,4,6,-2
NE,Niger,,,,,,2020-03-02,5,-7,-8,3,4,-2
NE,Niger,,,,,,2020-03-03,2,4,-1,6,5,-2
NE,Niger,,,,,,2020-03-04,5,4,-4,3,5,-2
NE,Niger,,,,,,2020-03-05,4,3,-7,1,6,-1
NE,Niger,,,,,,2020-03-06,-1,2,-4,-2,7,-2
NE,Niger,,,,,,2020-03-07,2,0,-2,3,6,-2
NE,Niger,,,,,,2020-03-08,0,0,0,6,10,-3
NE,Niger,,,,,,2020-03-09,0,0,-4,4,4,-2
NE,Niger,,,,,,2020-03-10,2,3,-4,7,4,-2
NE,Niger,,,,,,2020-03-11,2,0,-3,7,4,-2
NE,Niger,,,,,,2020-03-12,3,4,4,4,4,0
NE,Niger,,,,,,2020-03-13,5,2,-2,1,7,-1
NE,Niger,,,,,,2020-03-14,2,1,0,4,8,-2
NE,Niger,,,,,,2020-03-15,1,1,5,2,6,-1
NE,Niger,,,,,,2020-03-16,1,-1,-5,-3,5,-2
NE,Niger,,,,,,2020-03-17,-1,3,-3,-1,6,-2
NE,Niger,,,,,,2020-03-18,-1,4,-10,3,5,-1
NE,Niger,,,,,,2020-03-19,-3,5,-3,0,4,-2
NE,Niger,,,,,,2020-03-20,-7,2,-7,-4,1,2
NE,Niger,,,,,,2020-03-21,-11,-4,-6,-11,-7,2
NE,Niger,,,,,,2020-03-22,-11,-8,-8,-23,1,1
NE,Niger,,,,,,2020-03-23,-12,-4,-14,-24,-12,5
NE,Niger,,,,,,2020-03-24,-14,-3,-13,-22,-13,5
NE,Niger,,,,,,2020-03-25,-14,-5,-16,-22,-14,7
NE,Niger,,,,,,2020-03-26,-17,-7,-11,-29,-17,7
NE,Niger,,,,,,2020-03-27,-16,-7,-11,-29,-14,8
NE,Niger,,,,,,2020-03-28,-26,-16,-17,-30,-14,10
NE,Niger,,,,,,2020-03-29,-23,-15,-19,-25,-1,9
