country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
OM,Oman,,,,,,2020-02-15,-2,-2,-3,0,0,2
OM,Oman,,,,,,2020-02-16,-5,-7,-2,-1,8,0
OM,Oman,,,,,,2020-02-17,-6,-7,-6,-1,8,0
OM,Oman,,,,,,2020-02-18,-6,-8,-4,-2,8,1
OM,Oman,,,,,,2020-02-19,-7,-7,-2,-3,8,1
OM,Oman,,,,,,2020-02-20,-6,-6,0,-1,8,0
OM,Oman,,,,,,2020-02-21,-3,-3,4,-2,-2,1
OM,Oman,,,,,,2020-02-22,-3,-4,4,0,1,1
OM,Oman,,,,,,2020-02-23,0,-2,-1,-1,9,0
OM,Oman,,,,,,2020-02-24,0,-1,-6,0,9,0
OM,Oman,,,,,,2020-02-25,0,1,-2,1,9,0
OM,Oman,,,,,,2020-02-26,-1,1,-3,0,9,-1
OM,Oman,,,,,,2020-02-27,0,0,0,0,9,-1
OM,Oman,,,,,,2020-02-28,2,2,-4,2,0,1
OM,Oman,,,,,,2020-02-29,3,3,-4,1,3,1
OM,Oman,,,,,,2020-03-01,0,0,-3,0,11,0
OM,Oman,,,,,,2020-03-02,-1,-1,-8,-1,10,0
OM,Oman,,,,,,2020-03-03,-1,-2,-5,-2,10,0
OM,Oman,,,,,,2020-03-04,-2,-1,-2,-6,10,1
OM,Oman,,,,,,2020-03-05,-2,-1,-4,-5,11,0
OM,Oman,,,,,,2020-03-06,-1,0,-5,-9,0,2
OM,Oman,,,,,,2020-03-07,-1,0,-6,-6,3,2
OM,Oman,,,,,,2020-03-08,-3,-4,-3,-8,11,1
OM,Oman,,,,,,2020-03-09,-5,-4,-9,-9,10,1
OM,Oman,,,,,,2020-03-10,-5,-5,-5,-8,9,1
OM,Oman,,,,,,2020-03-11,-6,-4,-8,-12,10,1
OM,Oman,,,,,,2020-03-12,-6,-3,-3,-11,10,1
OM,Oman,,,,,,2020-03-13,-7,-3,-6,-15,-1,3
OM,Oman,,,,,,2020-03-14,-8,-2,-9,-15,2,3
OM,Oman,,,,,,2020-03-15,-9,-3,-5,-16,0,3
OM,Oman,,,,,,2020-03-16,-13,-2,-17,-16,-2,4
OM,Oman,,,,,,2020-03-17,-16,-9,-16,-23,-3,5
OM,Oman,,,,,,2020-03-18,-24,-4,-25,-33,-6,7
OM,Oman,,,,,,2020-03-19,-33,-17,-30,-40,-10,11
OM,Oman,,,,,,2020-03-20,-45,-29,-48,-52,-17,13
OM,Oman,,,,,,2020-03-21,-40,-28,-36,-48,-15,13
OM,Oman,,,,,,2020-03-22,-45,-31,-36,-60,-50,18
OM,Oman,,,,,,2020-03-23,-36,-16,-38,-54,-20,11
OM,Oman,,,,,,2020-03-24,-47,-21,-42,-57,-29,15
OM,Oman,,,,,,2020-03-25,-51,-28,-43,-61,-33,17
OM,Oman,,,,,,2020-03-26,-54,-33,-46,-63,-33,20
OM,Oman,,,,,,2020-03-27,-61,-45,-62,-69,-32,18
OM,Oman,,,,,,2020-03-28,-57,-41,-52,-63,-30,18
OM,Oman,,,,,,2020-03-29,-52,-35,-41,-64,-34,17
OM,Oman,,,,,,2020-03-30,-54,-37,-46,-65,-36,17
OM,Oman,,,,,,2020-03-31,-52,-34,-44,-64,-36,17
OM,Oman,,,,,,2020-04-01,-58,-40,-47,-70,-42,20
OM,Oman,,,,,,2020-04-02,-60,-42,-50,-72,-44,24
OM,Oman,,,,,,2020-04-03,-65,-49,-65,-77,-36,20
