country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PT,Portugal,,,,,,2020-02-15,4,0,21,9,1,-1
PT,Portugal,,,,,,2020-02-16,-3,2,-14,3,1,0
PT,Portugal,,,,,,2020-02-17,0,3,8,3,3,0
PT,Portugal,,,,,,2020-02-18,2,3,6,5,3,0
PT,Portugal,,,,,,2020-02-19,4,3,24,8,3,-1
PT,Portugal,,,,,,2020-02-20,6,3,24,8,2,-1
PT,Portugal,,,,,,2020-02-21,4,6,36,11,1,-2
PT,Portugal,,,,,,2020-02-22,4,4,47,13,0,-3
PT,Portugal,,,,,,2020-02-23,8,5,55,16,1,-4
PT,Portugal,,,,,,2020-02-24,18,12,80,-3,-28,3
PT,Portugal,,,,,,2020-02-25,-2,0,33,-25,-65,16
PT,Portugal,,,,,,2020-02-26,0,4,25,2,-13,2
PT,Portugal,,,,,,2020-02-27,4,6,27,6,0,0
PT,Portugal,,,,,,2020-02-28,2,10,25,6,1,-1
PT,Portugal,,,,,,2020-02-29,0,7,-5,3,1,1
PT,Portugal,,,,,,2020-03-01,-8,3,-33,-1,0,2
PT,Portugal,,,,,,2020-03-02,3,9,8,4,3,0
PT,Portugal,,,,,,2020-03-03,-1,7,-3,1,3,0
PT,Portugal,,,,,,2020-03-04,2,7,15,5,2,0
PT,Portugal,,,,,,2020-03-05,3,8,14,5,2,0
PT,Portugal,,,,,,2020-03-06,0,7,14,5,2,-1
PT,Portugal,,,,,,2020-03-07,3,4,27,7,2,-1
PT,Portugal,,,,,,2020-03-08,-1,6,-4,1,1,0
PT,Portugal,,,,,,2020-03-09,0,11,21,0,2,1
PT,Portugal,,,,,,2020-03-10,0,17,20,0,1,0
PT,Portugal,,,,,,2020-03-11,-1,26,29,-1,0,1
PT,Portugal,,,,,,2020-03-12,-9,28,10,-11,-4,4
PT,Portugal,,,,,,2020-03-13,-27,23,-10,-24,-11,9
PT,Portugal,,,,,,2020-03-14,-47,-10,-31,-33,-15,13
PT,Portugal,,,,,,2020-03-15,-62,-33,-58,-46,-23,15
PT,Portugal,,,,,,2020-03-16,-50,-16,-40,-51,-41,22
PT,Portugal,,,,,,2020-03-17,-54,-20,-44,-56,-48,24
PT,Portugal,,,,,,2020-03-18,-55,-19,-38,-57,-51,24
PT,Portugal,,,,,,2020-03-19,-67,-36,-53,-68,-57,30
PT,Portugal,,,,,,2020-03-20,-77,-42,-70,-73,-60,36
PT,Portugal,,,,,,2020-03-21,-81,-48,-71,-71,-55,26
PT,Portugal,,,,,,2020-03-22,-83,-58,-72,-74,-51,22
PT,Portugal,,,,,,2020-03-23,-74,-42,-59,-74,-62,32
PT,Portugal,,,,,,2020-03-24,-73,-40,-60,-74,-63,33
PT,Portugal,,,,,,2020-03-25,-74,-42,-59,-74,-63,32
PT,Portugal,,,,,,2020-03-26,-74,-42,-60,-75,-64,33
PT,Portugal,,,,,,2020-03-27,-75,-39,-63,-75,-63,36
PT,Portugal,,,,,,2020-03-28,-79,-47,-72,-74,-55,25
PT,Portugal,,,,,,2020-03-29,-83,-59,-80,-78,-53,22
PT,Portugal,,,,,,2020-03-30,-74,-45,-71,-78,-63,33
PT,Portugal,,,,,,2020-03-31,-72,-36,-68,-75,-64,33
PT,Portugal,,,,,,2020-04-01,-73,-40,-67,-76,-64,33
PT,Portugal,,,,,,2020-04-02,-70,-35,-57,-74,-64,33
PT,Portugal,,,,,,2020-04-03,-72,-34,-61,-75,-64,36
PT,Portugal,,,,,,2020-04-04,-78,-44,-78,-75,-55,25
PT,Portugal,,,,,,2020-04-05,-84,-60,-88,-82,-55,23
PT,Portugal,,,,,,2020-04-06,-72,-39,-69,-77,-64,33
PT,Portugal,,,,,,2020-04-07,-68,-30,-62,-74,-64,32
PT,Portugal,,,,,,2020-04-08,-67,-27,-58,-72,-63,30
PT,Portugal,,,,,,2020-04-09,-71,-28,-68,-78,-69,35
PT,Portugal,,,,,,2020-04-10,-81,-45,-70,-85,-84,46
PT,Portugal,,,,,,2020-04-11,-78,-40,-73,-77,-58,26
PT,Portugal,,,,,,2020-04-12,-86,-83,-79,-81,-56,23
PT,Portugal,,,,,,2020-04-13,-75,-44,-67,-80,-72,37
PT,Portugal,,,,,,2020-04-14,-68,-33,-61,-73,-62,31
PT,Portugal,,,,,,2020-04-15,-69,-35,-62,-73,-63,32
