country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
RO,Romania,,,,,,2020-02-15,8,5,-5,5,4,-1
RO,Romania,,,,,,2020-02-16,12,10,24,10,4,-2
RO,Romania,,,,,,2020-02-17,4,3,11,7,2,-1
RO,Romania,,,,,,2020-02-18,3,5,9,6,2,-1
RO,Romania,,,,,,2020-02-19,3,4,-2,5,2,-1
RO,Romania,,,,,,2020-02-20,1,1,-7,2,3,-1
RO,Romania,,,,,,2020-02-21,5,6,-6,9,22,-3
RO,Romania,,,,,,2020-02-22,2,-3,-4,5,5,-1
RO,Romania,,,,,,2020-02-23,7,3,9,7,4,-1
RO,Romania,,,,,,2020-02-24,-1,1,-2,3,2,-1
RO,Romania,,,,,,2020-02-25,2,9,11,6,3,-1
RO,Romania,,,,,,2020-02-26,3,9,12,6,3,-2
RO,Romania,,,,,,2020-02-27,-3,1,-9,-1,3,0
RO,Romania,,,,,,2020-02-28,3,5,-10,7,23,-2
RO,Romania,,,,,,2020-02-29,4,5,-2,4,6,0
RO,Romania,,,,,,2020-03-01,11,15,27,14,7,-2
RO,Romania,,,,,,2020-03-02,-3,-1,6,4,3,-1
RO,Romania,,,,,,2020-03-03,-1,1,12,3,4,-1
RO,Romania,,,,,,2020-03-04,1,3,5,5,4,-1
RO,Romania,,,,,,2020-03-05,0,1,-6,1,4,0
RO,Romania,,,,,,2020-03-06,9,8,5,11,25,-3
RO,Romania,,,,,,2020-03-07,11,7,18,9,7,-2
RO,Romania,,,,,,2020-03-08,14,16,-4,6,6,-2
RO,Romania,,,,,,2020-03-09,-4,2,-6,-1,1,0
RO,Romania,,,,,,2020-03-10,-2,12,-4,-2,0,0
RO,Romania,,,,,,2020-03-11,-6,19,-5,-9,-15,3
RO,Romania,,,,,,2020-03-12,-9,14,10,-16,-18,4
RO,Romania,,,,,,2020-03-13,-15,8,-5,-18,-5,4
RO,Romania,,,,,,2020-03-14,-29,1,-22,-22,-4,4
RO,Romania,,,,,,2020-03-15,-38,5,-31,-32,-10,6
RO,Romania,,,,,,2020-03-16,-31,-13,-16,-36,-30,10
RO,Romania,,,,,,2020-03-17,-35,-17,-16,-40,-33,10
RO,Romania,,,,,,2020-03-18,-40,-15,-16,-40,-35,11
RO,Romania,,,,,,2020-03-19,-44,-21,-14,-44,-36,12
RO,Romania,,,,,,2020-03-20,-46,-17,-21,-42,-24,11
RO,Romania,,,,,,2020-03-21,-56,-24,-26,-43,-20,7
RO,Romania,,,,,,2020-03-22,-62,-21,-53,-55,-26,10
