country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
YE,Yemen,,,,,,2020-02-15,3,3,-1,4,3,1
YE,Yemen,,,,,,2020-02-16,4,2,-2,6,3,1
YE,Yemen,,,,,,2020-02-17,6,3,2,5,5,1
YE,Yemen,,,,,,2020-02-18,4,2,1,2,5,2
YE,Yemen,,,,,,2020-02-19,2,-1,-3,1,4,1
YE,Yemen,,,,,,2020-02-20,3,0,4,1,6,1
YE,Yemen,,,,,,2020-02-21,0,1,2,-1,4,2
YE,Yemen,,,,,,2020-02-22,5,5,1,5,7,1
YE,Yemen,,,,,,2020-02-23,7,2,1,2,7,1
YE,Yemen,,,,,,2020-02-24,7,4,1,6,8,1
YE,Yemen,,,,,,2020-02-25,7,3,2,8,7,1
YE,Yemen,,,,,,2020-02-26,5,0,1,6,6,1
YE,Yemen,,,,,,2020-02-27,5,1,4,10,9,1
YE,Yemen,,,,,,2020-02-28,4,4,3,5,7,2
YE,Yemen,,,,,,2020-02-29,8,6,2,9,8,1
YE,Yemen,,,,,,2020-03-01,1,-3,-5,2,-1,1
YE,Yemen,,,,,,2020-03-02,7,5,2,6,6,0
YE,Yemen,,,,,,2020-03-03,3,0,1,5,4,1
YE,Yemen,,,,,,2020-03-04,2,0,5,4,4,1
YE,Yemen,,,,,,2020-03-05,4,1,4,10,6,0
YE,Yemen,,,,,,2020-03-06,0,2,5,7,6,2
YE,Yemen,,,,,,2020-03-07,1,2,1,7,4,1
YE,Yemen,,,,,,2020-03-08,3,1,-1,6,2,1
YE,Yemen,,,,,,2020-03-09,2,3,-1,6,3,1
YE,Yemen,,,,,,2020-03-10,1,0,1,4,4,1
YE,Yemen,,,,,,2020-03-11,-1,0,1,5,2,1
YE,Yemen,,,,,,2020-03-12,-1,-1,-1,2,4,1
YE,Yemen,,,,,,2020-03-13,-3,1,-1,-1,4,1
YE,Yemen,,,,,,2020-03-14,-1,3,0,0,3,2
YE,Yemen,,,,,,2020-03-15,1,1,-1,-1,2,1
YE,Yemen,,,,,,2020-03-16,0,3,-4,-1,-1,2
YE,Yemen,,,,,,2020-03-17,-3,0,-1,-4,-1,2
YE,Yemen,,,,,,2020-03-18,-1,-1,-2,-9,-3,2
YE,Yemen,,,,,,2020-03-19,-4,0,-2,-4,2,2
YE,Yemen,,,,,,2020-03-20,-5,4,-4,-3,8,2
YE,Yemen,,,,,,2020-03-21,-1,7,-3,-5,1,3
YE,Yemen,,,,,,2020-03-22,-5,1,-6,-6,-2,3
YE,Yemen,,,,,,2020-03-23,-6,3,-6,-10,-3,3
YE,Yemen,,,,,,2020-03-24,-10,-2,-8,-11,-6,4
YE,Yemen,,,,,,2020-03-25,-14,-7,-7,-24,-10,4
YE,Yemen,,,,,,2020-03-26,-13,-4,-9,-19,-2,5
YE,Yemen,,,,,,2020-03-27,-14,-3,-13,-16,5,4
YE,Yemen,,,,,,2020-03-28,-8,2,-8,-10,-1,5
YE,Yemen,,,,,,2020-03-29,-8,-1,-9,-9,-5,5
YE,Yemen,,,,,,2020-03-30,-8,0,-8,-13,-6,4
YE,Yemen,,,,,,2020-03-31,-9,-1,-7,-14,-6,5
YE,Yemen,,,,,,2020-04-01,-11,-3,-10,-16,-8,4
YE,Yemen,,,,,,2020-04-02,-16,-6,-9,-20,-5,5
YE,Yemen,,,,,,2020-04-03,-13,0,-11,-15,2,4
YE,Yemen,,,,,,2020-04-04,-6,5,-5,-12,-2,4
YE,Yemen,,,,,,2020-04-05,-5,2,-6,-12,-7,4
YE,Yemen,,,,,,2020-04-06,-5,2,-7,-16,-7,5
YE,Yemen,,,,,,2020-04-07,-5,2,-3,-14,-7,4
YE,Yemen,,,,,,2020-04-08,-10,-2,-8,-17,-9,5
YE,Yemen,,,,,,2020-04-09,-11,-3,-7,-10,-3,5
YE,Yemen,,,,,,2020-04-10,-14,-2,-15,-18,1,5
YE,Yemen,,,,,,2020-04-11,-9,-1,-8,-12,-6,6
YE,Yemen,,,,,,2020-04-12,-9,-3,-11,-15,-10,5
YE,Yemen,,,,,,2020-04-13,-8,-2,-8,-20,-8,5
YE,Yemen,,,,,,2020-04-14,-11,-4,-8,-14,-8,5
YE,Yemen,,,,,,2020-04-15,-10,-3,-9,-19,-8,5
YE,Yemen,,,,,,2020-04-16,-8,1,-10,-16,-3,5
YE,Yemen,,,,,,2020-04-17,-8,2,-10,-14,5,3
YE,Yemen,,,,,,2020-04-18,-3,3,-8,-9,-3,3
YE,Yemen,,,,,,2020-04-19,1,4,-9,-11,-7,3
YE,Yemen,,,,,,2020-04-20,-2,2,-9,-15,-7,3
YE,Yemen,,,,,,2020-04-21,-3,-1,-12,-20,-12,1
YE,Yemen,,,,,,2020-04-22,-3,-1,-9,-16,-12,0
YE,Yemen,,,,,,2020-04-23,-4,-1,-13,-17,-8,2
YE,Yemen,,,,,,2020-04-24,-21,-9,-29,-27,-3,5
YE,Yemen,,,,,,2020-04-25,-17,-6,-18,-20,-10,7
YE,Yemen,,,,,,2020-04-26,-15,-9,-18,-17,-13,7
YE,Yemen,,,,,,2020-04-27,-15,-6,-19,-22,-12,6
YE,Yemen,,,,,,2020-04-28,-10,-4,-13,-14,-10,5
YE,Yemen,,,,,,2020-04-29,-10,-3,-13,-14,-10,7
YE,Yemen,,,,,,2020-04-30,-16,-9,-16,-20,-9,8
YE,Yemen,,,,,,2020-05-01,-12,-4,-20,-12,6,3
YE,Yemen,,,,,,2020-05-02,-15,-7,-17,-17,-14,7
YE,Yemen,,,,,,2020-05-03,-14,-11,-20,-16,-19,6
YE,Yemen,,,,,,2020-05-04,-14,-9,-17,-20,-14,5
YE,Yemen,,,,,,2020-05-05,-12,-8,-14,-14,-14,6
YE,Yemen,,,,,,2020-05-06,-9,-1,-12,-9,-13,7
YE,Yemen,,,,,,2020-05-07,-11,-2,-14,-10,-8,9
YE,Yemen,,,,,,2020-05-08,0,9,-11,-1,11,5
YE,Yemen,,,,,,2020-05-09,-6,4,-8,-4,-7,7
YE,Yemen,,,,,,2020-05-10,-6,1,-11,-6,-14,8
YE,Yemen,,,,,,2020-05-11,-4,6,-8,-6,-12,8
YE,Yemen,,,,,,2020-05-12,-5,4,-7,-2,-13,8
YE,Yemen,,,,,,2020-05-13,-9,-1,-9,-6,-14,8
YE,Yemen,,,,,,2020-05-14,-7,3,-8,-4,-7,9
YE,Yemen,,,,,,2020-05-15,8,16,-5,13,16,5
YE,Yemen,,,,,,2020-05-16,0,9,-2,9,-5,9
YE,Yemen,,,,,,2020-05-17,-4,2,-11,-1,-15,8
YE,Yemen,,,,,,2020-05-18,-2,9,-6,0,-14,7
YE,Yemen,,,,,,2020-05-19,-4,3,-8,-4,-17,7
