"Date","Cumulative cases","New cases"
"21.02.2020",1,1
"22.02.2020",1,0
"23.02.2020",1,0
"24.02.2020",1,0
"25.02.2020",1,0
"26.02.2020",4,3
"27.02.2020",6,2
"28.02.2020",15,9
"29.02.2020",21,6
"01.03.2020",31,10
"02.03.2020",43,12
"03.03.2020",74,31
"04.03.2020",106,32
"05.03.2020",139,33
"06.03.2020",164,25
"07.03.2020",184,20
"08.03.2020",248,64
"09.03.2020",495,247
"10.03.2020",736,241
"11.03.2020",910,174
"12.03.2020",1116,206
"13.03.2020",1263,147
"14.03.2020",1363,100
"15.03.2020",1465,102
"16.03.2020",1645,180
"17.03.2020",1819,174
"18.03.2020",2032,213
"19.03.2020",2272,240
"20.03.2020",2581,309
"21.03.2020",2755,174
"22.03.2020",2904,149
"23.03.2020",3203,299
"24.03.2020",3516,313
"25.03.2020",3808,292
"26.03.2020",4105,297
"27.03.2020",4366,261
"28.03.2020",4547,181
"29.03.2020",4654,107
"30.03.2020",4918,264
"31.03.2020",5126,208
"01.04.2020",5327,201
"02.04.2020",5527,200
"03.04.2020",5693,166
"04.04.2020",5780,87
"05.04.2020",5851,71
"06.04.2020",6010,159
"07.04.2020",6147,137
"08.04.2020",6253,106
"09.04.2020",6356,103
"10.04.2020",6424,68
"11.04.2020",6532,108
"12.04.2020",6608,76
"13.04.2020",6685,77
"14.04.2020",6807,122
"15.04.2020",6911,104
"16.04.2020",6991,80
"17.04.2020",7099,108
"18.04.2020",7148,49
"19.04.2020",7184,36
"20.04.2020",7269,85
"21.04.2020",7347,78
"22.04.2020",7424,77
"23.04.2020",7493,69
"24.04.2020",7547,54
"25.04.2020",7572,25
"26.04.2020",7608,36
"27.04.2020",7679,71
"28.04.2020",7729,50
"29.04.2020",7768,39
"30.04.2020",7807,39
"01.05.2020",7849,42
"02.05.2020",7872,23
"03.05.2020",7916,44
"04.05.2020",7961,45
"05.05.2020",8003,42
"06.05.2020",8042,39
"07.05.2020",8071,29
"08.05.2020",8113,42
"09.05.2020",8124,11
"10.05.2020",8136,12
"11.05.2020",8159,23
"12.05.2020",8178,19
"13.05.2020",8197,19
"14.05.2020",8220,23
"15.05.2020",8241,21
"16.05.2020",8254,13
"17.05.2020",8257,3
"18.05.2020",8274,17
"19.05.2020",8294,20
"20.05.2020",8313,19
"21.05.2020",8327,14
"22.05.2020",8353,26
"23.05.2020",8358,5
"24.05.2020",8364,6
"25.05.2020",8382,18
"26.05.2020",8394,12
"27.05.2020",8412,18
"28.05.2020",8427,15
"29.05.2020",8443,16
"30.05.2020",8443,0
"31.05.2020",8449,6
"01.06.2020",8456,7
"02.06.2020",8487,31
"03.06.2020",8499,12
"04.06.2020",8516,17
"05.06.2020",8546,30
"06.06.2020",8555,9
"07.06.2020",8564,9
"08.06.2020",8580,16
"09.06.2020",8593,13
"10.06.2020",8607,14
"11.06.2020",8617,10
"12.06.2020",8625,8
"13.06.2020",8629,4
"14.06.2020",8631,2
