date,hospitalized_current,icu_current,ventilator_current
2020-04-07,305,93,37.0
2020-04-08,263,87,36.0
2020-04-09,262,81,36.0
2020-04-10,236,72,38.0
2020-04-11,240,80,38.0
2020-04-12,239,81,35.0
2020-04-13,227,79,46.0
2020-04-14,230,80,44.0
2020-04-15,214,76,41.0
2020-04-16,201,66,38.0
2020-04-17,192,60,38.0
2020-04-18,184,55,34.0
2020-04-19,177,48,33.0
2020-04-20,170,49,32.0
2020-04-21,167,47,33.0
2020-04-22,162,47,31.0
2020-04-23,152,45,29.0
2020-04-24,138,42,29.0
2020-04-25,129,43,29.0
2020-04-26,115,42,25.0
2020-04-27,113,43,27.0
2020-04-28,109,42,27.0
2020-04-29,93,38,26.0
2020-04-30,89,34,22.0
2020-05-01,83,28,21.0
2020-05-02,79,28,21.0
2020-05-03,75,28,20.0
2020-05-04,70,28,20.0
2020-05-05,66,27,20.0
2020-05-06,62,27,18.0
2020-05-07,58,23,17.0
2020-05-08,56,21,16.0
2020-05-09,51,19,15.0
2020-05-10,43,17,14.0
2020-05-11,49,16,14.0
2020-05-12,47,16,15.0
2020-05-13,50,17,14.0
2020-05-14,51,18,13.0
2020-05-15,46,17,13.0
2020-05-16,49,16,12.0
2020-05-17,50,16,12.0
2020-05-18,45,12,17.0
2020-05-19,47,11,7.0
2020-05-20,43,9,7.0
2020-05-21,41,9,7.0
2020-05-22,39,7,6.0
2020-05-23,35,5,5.0
2020-05-24,33,5,5.0
2020-05-25,31,5,5.0
2020-05-26,30,5,5.0
2020-05-27,30,6,6.0
2020-05-28,27,5,2.0
2020-05-29,23,4,3.0
2020-05-30,22,4,1.0
2020-05-31,21,4,1.0
2020-06-01,20,3,1.0
2020-06-02,26,4,2.0
2020-06-03,25,5,2.0
2020-06-04,23,4,2.0
2020-06-05,21,2,2.0
2020-06-06,21,4,2.0
2020-06-07,18,3,2.0
2020-06-08,19,3,2.0
2020-06-09,19,2,1.0
2020-06-10,20,3,2.0
2020-06-11,18,2,2.0
2020-06-12,17,2,0.0
2020-06-13,16,2,0.0
2020-06-14,16,3,0.0
2020-06-15,17,4,0.0
2020-06-16,17,3,2.0
2020-06-17,16,3,2.0
2020-06-18,14,2,2.0
2020-06-19,15,2,0.0
2020-06-20,17,3,0.0
2020-06-21,15,2,0.0
2020-06-22,16,2,0.0
2020-06-23,19,3,0.0
2020-06-24,16,2,0.0
2020-06-25,16,2,0.0
2020-06-26,12,1,0.0
2020-06-27,12,1,0.0
2020-06-28,11,1,0.0
2020-06-29,15,1,0.0
2020-06-30,14,1,0.0
2020-07-01,18,3,0.0
2020-07-02,24,5,0.0
2020-07-03,27,7,0.0
2020-07-04,29,4,0.0
2020-07-05,30,4,0.0
2020-07-06,34,6,0.0
2020-07-07,39,10,0.0
2020-07-08,46,8,0.0
2020-07-09,45,10,0.0
2020-07-10,54,13,0.0
2020-07-11,55,16,0.0
2020-07-12,67,17,0.0
2020-07-13,92,18,0.0
2020-07-14,90,27,0.0
2020-07-15,111,28,0.0
2020-07-16,114,30,0.0
2020-07-17,126,32,22.0
2020-07-18,116,26,18.0
2020-07-19,135,29,
2020-07-20,156,33,17.0
2020-07-21,183,38,22.0
2020-07-22,214,42,25.0
2020-07-23,211,41,
2020-07-24,217,44,
2020-07-25,239,46,
2020-07-26,241,46,22.0
2020-07-27,259,49,24.0
2020-07-28,275,47,
2020-07-29,323,46,
2020-07-30,330,40,
2020-07-31,366,44,27.0
2020-08-01,401,50,28.0
2020-08-02,408,46,30.0
2020-08-03,439,43,
2020-08-04,483,44,
2020-08-05,538,42,30.0
2020-08-06,600,52,
2020-08-07,632,51,33.0
2020-08-08,659,53,35.0
2020-08-09,658,51,32.0
2020-08-10,664,54,37.0
2020-08-11,673,51,33.0
2020-08-12,685,51,32.0
2020-08-13,691,44,31.0
2020-08-14,679,47,31.0
2020-08-15,681,48,33.0
2020-08-16,680,47,34.0
2020-08-17,674,51,37.0
2020-08-18,682,52,37.0
2020-08-19,694,52,34.0
2020-08-20,642,51,33.0
2020-08-21,647,47,31.0
2020-08-22,631,43,27.0
2020-08-23,604,39,26.0
2020-08-24,659,38,22.0
2020-08-25,644,42,23.0
2020-08-26,603,45,20.0
2020-08-27,558,35,15.0
2020-08-28,543,35,21.0
2020-08-29,510,32,21.0
2020-08-30,501,31,15.0
2020-08-31,481,27,17.0
2020-09-01,450,26,10.0
2020-09-02,432,23,16.0
2020-09-03,391,26,18.0
2020-09-04,357,27,17.0
2020-09-05,327,27,19.0
2020-09-06,311,26,20.0
2020-09-07,295,32,21.0
2020-09-08,264,29,16.0
2020-09-09,221,26,15.0
2020-09-10,195,23,15.0
2020-09-11,162,18,12.0
2020-09-12,151,15,10.0
2020-09-13,137,17,7.0
2020-09-14,141,18,10.0
2020-09-15,139,17,10.0
2020-09-16,126,16,9.0
2020-09-17,117,16,9.0
2020-09-18,108,15,9.0
2020-09-19,106,12,7.0
2020-09-20,109,10,6.0
2020-09-21,107,8,4.0
2020-09-22,100,11,6.0
2020-09-23,89,11,7.0
2020-09-24,81,11,7.0
2020-09-25,71,11,6.0
2020-09-26,68,12,5.0
2020-09-27,65,12,5.0
2020-09-28,62,11,4.0
2020-09-29,60,8,4.0
2020-09-30,55,9,3.0
2020-10-01,50,9,3.0
2020-10-02,51,6,3.0
2020-10-03,49,6,3.0
2020-10-04,46,6,1.0
2020-10-05,45,6,2.0
