date,hospitalized_current,icu_current,discharged_cumulative
2020-03-10 00:00:00,1,0,0
2020-03-11 00:00:00,2,0,0
2020-03-12 00:00:00,4,0,0
2020-03-13 00:00:00,4,0,1
2020-03-14 00:00:00,5,0,1
2020-03-15 00:00:00,6,0,1
2020-03-16 00:00:00,19,2,4
2020-03-17 00:00:00,50,4,9
2020-03-18 00:00:00,49,5,10
2020-03-19 00:00:00,56,6,14
2020-03-20 00:00:00,67,16,19
2020-03-21 00:00:00,80,15,23
2020-03-22 00:00:00,98,19,33
2020-03-23 00:00:00,104,19,35
2020-03-24 00:00:00,122,21,43
2020-03-25 00:00:00,170,35,55
2020-03-26 00:00:00,197,36,61
2020-03-27 00:00:00,227,45,72
2020-03-28 00:00:00,263,56,83
2020-03-29 00:00:00,277,52,90
2020-03-30 00:00:00,291,64,101
2020-03-31 00:00:00,312,70,114
2020-04-01 00:00:00,342,72,136
2020-04-02 00:00:00,359,77,152
2020-04-03 00:00:00,380,87,173
2020-04-04 00:00:00,383,86,183
2020-04-05 00:00:00,391,84,188
2020-04-06 00:00:00,408,86,199
2020-04-07 00:00:00,432,103,219
2020-04-08 00:00:00,440,96,239
2020-04-09 00:00:00,446,98,263
2020-04-10 00:00:00,436,92,279
2020-04-11 00:00:00,442,87,299
2020-04-12 00:00:00,436,100,309
2020-04-13 00:00:00,428,92,318
2020-04-14 00:00:00,427,84,333
2020-04-15 00:00:00,418,75,367
2020-04-16 00:00:00,407,82,394
2020-04-17 00:00:00,398,86,418
2020-04-18 00:00:00,390,84,441
2020-04-19 00:00:00,374,84,451
2020-04-20 00:00:00,390,75,467
2020-04-21 00:00:00,412,80,489
2020-04-22 00:00:00,401,76,517
2020-04-23 00:00:00,395,77,546
2020-04-24 00:00:00,385,71,574
2020-04-25 00:00:00,352,79,583
2020-04-26 00:00:00,360,73,592
2020-04-27 00:00:00,359,71,609
2020-04-28 00:00:00,361,71,623
2020-04-29 00:00:00,348,68,643
2020-04-30 00:00:00,344,67,667
2020-05-01 00:00:00,319,68,688
2020-05-02 00:00:00,308,62,696
2020-05-03 00:00:00,299,58,698
2020-05-04 00:00:00,304,59,717
2020-05-05 00:00:00,295,51,744
2020-05-06 00:00:00,275,52,767
2020-05-07 00:00:00,258,46,779
2020-05-08 00:00:00,251,47,791
2020-05-09 00:00:00,239,40,798
2020-05-10 00:00:00,233,42,801
2020-05-11 00:00:00,236,44,810
2020-05-12 00:00:00,230,43,829
2020-05-13 00:00:00,217,42,850
2020-05-14 00:00:00,197,37,864
2020-05-15 00:00:00,183,39,873
2020-05-16 00:00:00,175,39,884
2020-05-17 00:00:00,166,36,888
2020-05-18 00:00:00,169,36,896
2020-05-19 00:00:00,169,36,896
2020-05-20 00:00:00,157,33,914
2020-05-21 00:00:00,150,29,915
2020-05-22 00:00:00,156,29,922
2020-05-23 00:00:00,145,24,923
2020-05-24 00:00:00,148,24,923
2020-05-25 00:00:00,154,24,926
2020-05-26 00:00:00,154,18,936
2020-05-27 00:00:00,149,21,950
2020-05-28 00:00:00,140,19,959
2020-05-29 00:00:00,134,18,969
2020-05-30 00:00:00,123,15,970
2020-05-31 00:00:00,123,15,973
2020-06-01 00:00:00,126,17,979
2020-06-02 00:00:00,131,12,986
2020-06-03 00:00:00,124,13,990
2020-06-04 00:00:00,122,12,998
2020-06-05 00:00:00,124,12,1007
2020-06-06 00:00:00,118,9,1011
2020-06-07 00:00:00,117,9,1013
2020-06-08 00:00:00,117,11,1020
2020-06-09 00:00:00,113,10,1024
2020-06-10 00:00:00,111,12,1026
2020-06-11 00:00:00,113,14,1028
2020-06-12 00:00:00,115,12,1030
2020-06-13 00:00:00,117,11,1033
2020-06-14 00:00:00,119,12,1034
2020-06-15 00:00:00,128,11,1037
2020-06-16 00:00:00,131,10,1040
2020-06-17 00:00:00,133,9,1043
2020-06-18 00:00:00,136,11,1047
2020-06-19 00:00:00,140,9,1055
2020-06-20 00:00:00,136,9,1063
2020-06-21 00:00:00,130,9,1064
2020-06-22 00:00:00,132,9,1067
2020-06-23 00:00:00,134,10,1074
2020-06-24 00:00:00,131,13,1080
2020-06-25 00:00:00,125,12,1086
2020-06-26 00:00:00,122,11,1091
2020-06-27 00:00:00,117,10,1091
2020-06-28 00:00:00,125,15,1094
2020-06-29 00:00:00,128,12,1097
2020-06-30 00:00:00,130,12,1100
2020-07-01 00:00:00,132,12,1107
2020-07-02 00:00:00,131,12,1114
2020-07-03 00:00:00,132,14,1118
2020-07-04 00:00:00,130,14,1123
2020-07-05 00:00:00,132,14,1127
2020-07-06 00:00:00,133,13,1129
2020-07-07 00:00:00,136,12,1132
2020-07-08 00:00:00,141,12,1134
2020-07-09 00:00:00,148,17,1148
2020-07-10 00:00:00,137,16,1160
2020-07-11 00:00:00,128,15,1164
2020-07-12 00:00:00,132,15,1164
2020-07-13 00:00:00,132,21,1168
2020-07-14 00:00:00,135,19,1171
2020-07-15 00:00:00,141,18,1177
2020-07-16 00:00:00,145,22,1186
2020-07-17 00:00:00,135,21,1189
2020=07-18,134,19,1195
