date,hospitalized_current,icu_current,ventilator_current
2020-03-16,62.0,10.0,
2020-03-17,82.0,18.0,
2020-03-18,129.0,24.0,
2020-03-19,153.0,30.0,
2020-03-20,186.0,37.0,
2020-03-21,206.0,42.0,
2020-03-22,232.0,46.0,
2020-03-23,254.0,55.0,
2020-03-24,301.0,69.0,
2020-03-25,350.0,87.0,
2020-03-26,386.0,94.0,
2020-03-27,430.0,109.0,
2020-03-28,459.0,121.0,
2020-03-29,499.0,131.0,
2020-03-30,533.0,137.0,
2020-03-31,529.0,145.0,
2020-04-01,535.0,146.0,
2020-04-02,531.0,146.0,
2020-04-03,516.0,139.0,
2020-04-04,503.0,138.0,
2020-04-05,498.0,138.0,
2020-04-06,497.0,133.0,
2020-04-07,472.0,127.0,
2020-04-08,453.0,127.0,
2020-04-09,433.0,120.0,
2020-04-10,401.0,113.0,
2020-04-11,408.0,106.0,
2020-04-12,396.0,104.0,
2020-04-13,388.0,100.0,
2020-04-14,380.0,93.0,
2020-04-15,362.0,89.0,
2020-04-16,353.0,92.0,
2020-04-17,350.0,93.0,
2020-04-18,317.0,87.0,
2020-04-19,319.0,84.0,
2020-04-20,336.0,84.0,
2020-04-21,335.0,81.0,
2020-04-22,324.0,80.0,
2020-04-23,319.0,74.0,
2020-04-24,320.0,69.0,
2020-04-25,290.0,70.0,
2020-04-26,285.0,70.0,
2020-04-27,310.0,72.0,
2020-04-28,284.0,66.0,
2020-04-29,267.0,66.0,
2020-04-30,255.0,62.0,
2020-05-01,249.0,61.0,
2020-05-02,232.0,60.0,
2020-05-03,243.0,62.0,
2020-05-04,252.0,57.0,
2020-05-05,228.0,49.0,39.0
2020-05-06,209.0,46.0,41.0
2020-05-07,199.0,43.0,39.0
2020-05-08,205.0,42.0,35.0
2020-05-09,194.0,39.0,32.0
2020-05-10,196.0,40.0,33.0
2020-05-11,198.0,43.0,33.0
2020-05-12,177.0,43.0,32.0
2020-05-13,164.0,37.0,32.0
2020-05-14,147.0,35.0,28.0
2020-05-15,137.0,32.0,26.0
2020-05-16,140.0,28.0,22.0
2020-05-17,133.0,27.0,21.0
2020-05-18,144.0,26.0,21.0
2020-05-19,141.0,25.0,18.0
2020-05-20,127.0,25.0,16.0
2020-05-21,122.0,23.0,18.0
2020-05-22,119.0,23.0,19.0
2020-05-23,118.0,19.0,16.0
2020-05-24,115.0,21.0,17.0
2020-05-25,116.0,20.0,16.0
2020-05-26,112.0,23.0,14.0
2020-05-27,107.0,22.0,11.0
2020-05-28,110.0,20.0,11.0
2020-05-29,106.0,18.0,10.0
2020-05-30,100.0,20.0,11.0
2020-05-31,98.0,20.0,10.0
2020-06-01,103.0,20.0,11.0
2020-06-02,99.0,21.0,11.0
2020-06-03,100.0,20.0,10.0
2020-06-04,97.0,17.0,8.0
2020-06-05,85.0,17.0,10.0
2020-06-06,81.0,15.0,9.0
2020-06-07,75.0,15.0,9.0
2020-06-08,79.0,16.0,7.0
2020-06-09,73.0,15.0,5.0
2020-06-10,71.0,17.0,7.0
2020-06-11,63.0,14.0,7.0
2020-06-12,63.0,14.0,7.0
2020-06-13,54.0,11.0,5.0
2020-06-14,55.0,11.0,5.0
2020-06-15,58.0,10.0,4.0
2020-06-16,43.0,8.0,4.0
2020-06-17,39.0,6.0,4.0
2020-06-18,38.0,3.0,3.0
2020-06-19,37.0,6.0,2.0
2020-06-20,39.0,6.0,3.0
2020-06-21,38.0,6.0,4.0
2020-06-22,37.0,7.0,4.0
2020-06-23,32.0,8.0,5.0
2020-06-24,33.0,8.0,4.0
2020-06-25,36.0,9.0,4.0
2020-06-26,31.0,11.0,4.0
2020-06-27,29.0,11.0,4.0
2020-06-28,30.0,10.0,4.0
2020-06-29,35.0,9.0,4.0
2020-06-30,32.0,10.0,4.0
2020-07-01,29.0,11.0,4.0
2020-07-02,29.0,9.0,5.0
2020-07-03,27.0,6.0,4.0
2020-07-04,26.0,6.0,4.0
2020-07-05,24.0,6.0,4.0
2020-07-06,23.0,7.0,4.0
2020-07-07,17.0,5.0,4.0
2020-07-08,18.0,5.0,4.0
2020-07-09,18.0,5.0,4.0
2020-07-10,17.0,4.0,4.0
2020-07-11,15.0,5.0,4.0
2020-07-12,18.0,6.0,3.0
2020-07-13,18.0,6.0,3.0
2020-07-14,17.0,6.0,3.0
2020-07-15,,,
2020-07-16,,,
2020-07-17,,,
2020-07-18,,,
2020-07-19,,,
2020-07-20,,,
2020-07-21,18.0,4.0,2.0
