date,hospitalized_cumulative,icu_cumulative
2020-03-16 00:00:00,84,6
2020-03-17 00:00:00,108,7
2020-03-18 00:00:00,140,12
2020-03-19 00:00:00,173,13
2020-03-20 00:00:00,211,17
2020-03-21 00:00:00,239,25
2020-03-22 00:00:00,277,36
2020-03-23 00:00:00,305,39
2020-03-24 00:00:00,340,47
2020-03-25 00:00:00,419,59
2020-03-26 00:00:00,489,67
2020-03-27 00:00:00,564,77
2020-03-28 00:00:00,645,84
2020-03-29 00:00:00,703,113
2020-03-30 00:00:00,834,126
2020-03-31 00:00:00,932,134
2020-04-01 00:00:00,1039,148
2020-04-02 00:00:00,1118,158
2020-04-03 00:00:00,1203,165
2020-04-04 00:00:00,1265,169
2020-04-05 00:00:00,1345,194
2020-04-06 00:00:00,1472,224
2020-04-07 00:00:00,1521,230
2020-04-08 00:00:00,1631,233
2020-04-09 00:00:00,1718,253
2020-04-10 00:00:00,1777,261
2020-04-11 00:00:00,1849,268
2020-04-12 00:00:00,1903,276
2020-04-13 00:00:00,1968,280
2020-04-14 00:00:00,2026,284
2020-04-15 00:00:00,2082,296
2020-04-16 00:00:00,2168,296
2020-04-17 00:00:00,2233,303
2020-04-18 00:00:00,2272,306
2020-04-19 00:00:00,2323,315
2020-04-20 00:00:00,2387,322
2020-04-21 00:00:00,2424,331
2020-04-22 00:00:00,2486,338
2020-04-23 00:00:00,2536,344
2020-04-24 00:00:00,2576,349
2020-04-25 00:00:00,2625,353
2020-04-26 00:00:00,2638,356
2020-04-27 00:00:00,2669,356
2020-04-28 00:00:00,2709,360
2020-04-29 00:00:00,2768,367
2020-04-30 00:00:00,2785,368
2020-05-01 00:00:00,2825,363
2020-05-02 00:00:00,2840,364
2020-05-03 00:00:00,2879,369
2020-05-04 00:00:00,2878,373
2020-05-05 00:00:00,2891,373
2020-05-06 00:00:00,2915,373
2020-05-07 00:00:00,2954,381
2020-05-08 00:00:00,2986,383
2020-05-09 00:00:00,2998,383
2020-05-10 00:00:00,3031,386
2020-05-11 00:00:00,3050,387
2020-05-12 00:00:00,3053,387
2020-05-13 00:00:00,3062,387
2020-05-14 00:00:00,3092,389
2020-05-15 00:00:00,3117,389
2020-05-16 00:00:00,3127,390
2020-05-17 00:00:00,3143,390
2020-05-18 00:00:00,3164,392
2020-05-19 00:00:00,3183,393
2020-05-20 00:00:00,3194,393
2020-05-21 00:00:00,3211,393
2020-05-22 00:00:00,3222,394
2020-05-23 00:00:00,3225,394
2020-05-24 00:00:00,3233,395
2020-05-25 00:00:00,3251,399
2020-05-26 00:00:00,3267,404
2020-05-27 00:00:00,3270,404
2020-05-28 00:00:00,3270,408
2020-05-29 00:00:00,3270,408
2020-05-30 00:00:00,3271,408
2020-05-31 00:00:00,3271,408
2020-06-01 00:00:00,3271,409
2020-06-02 00:00:00,3272,409
2020-06-03 00:00:00,3272,409
2020-06-04 00:00:00,3272,409
2020-06-05 00:00:00,3273,409
2020-06-06 00:00:00,3273,411
2020-06-07 00:00:00,3274,411
2020-06-08 00:00:00,3274,411
2020-06-09 00:00:00,3275,412
2020-06-10 00:00:00,3275,415
2020-06-11 00:00:00,3276,416
2020-06-12 00:00:00,3278,416
2020-06-13 00:00:00,3278,417
2020-06-14 00:00:00,3278,417
2020-06-15 00:00:00,3278,417
2020-06-16 00:00:00,3280,416
2020-06-17 00:00:00,3280,416
2020-06-18 00:00:00,3280,419
2020-06-19 00:00:00,3282,419
2020-06-20 00:00:00,3284,431
2020-06-21 00:00:00,3285,433
2020-06-22 00:00:00,3292,433
2020-06-23 00:00:00,3293,434
2020-06-24 00:00:00,3293,434
2020-06-25 00:00:00,3293,434
2020-06-26 00:00:00,3293,434
2020-06-27 00:00:00,3293,435
2020-06-28 00:00:00,3295,434
2020-06-29 00:00:00,3298,434
2020-06-30 00:00:00,3298,434
2020-07-01 00:00:00,3307,436
2020-07-02 00:00:00,3307,436
2020-07-03 00:00:00,3307,436
2020-07-04 00:00:00,3307,436
2020-07-05 00:00:00,3307,436
2020-07-06 00:00:00,3313,436
2020-07-07 00:00:00,3328,436
2020-07-08 00:00:00,3328,436
2020-07-09 00:00:00,3330,436
2020-07-10 00:00:00,3330,436
2020-07-11 00:00:00,3330,436
2020-07-12 00:00:00,3332,436
2020-07-13 00:00:00,3337,437
2020-07-14 00:00:00,3339,437
2020-07-15 00:00:00,3339,437
2020-07-16 00:00:00,3342,437
2020-07-17 00:00:00,3342,437
2020-07-18 00:00:00,3343,437
2020-07-19 00:00:00,3342,437
2020-07-20 00:00:00,3340,438
2020-07-21 00:00:00,3341,438
2020-07-22 00:00:00,3344,438
2020-07-23 00:00:00,3345,438
2020-07-24 00:00:00,3345,438
2020-07-25 00:00:00,3346,438
2020-07-26 00:00:00,3349,437
2020-07-27 00:00:00,3350,438
2020-07-28 00:00:00,3350,438
2020-07-29 00:00:00,3352,437
2020-07-30 00:00:00,3353,437
2020-07-31 00:00:00,3359,437
2020-08-01 00:00:00,3359,437
2020-08-02 00:00:00,3358,437
2020-08-03 00:00:00,3357,439
2020-08-04 00:00:00,3362,438
2020-08-05 00:00:00,3364,438
2020-08-06 00:00:00,3365,438
2020-08-07 00:00:00,3365,438
2020-08-08 00:00:00,3364,438
2020-08-09 00:00:00,3376,439
2020-08-10 00:00:00,3372,441
2020-08-11 00:00:00,3378,441
2020-08-12 00:00:00,3381,441
2020-08-13 00:00:00,3384,441
2020-08-14 00:00:00,3385,442
2020-08-15 00:00:00,3397,442
2020-08-16 00:00:00,3388,441
2020-08-17 00:00:00,3389,442
2020-08-18 00:00:00,3394,443
2020-08-19 00:00:00,3393,443
2020-08-20 00:00:00,3394,443
2020-08-21 00:00:00,3396,443
2020-08-22 00:00:00,3398,443
2920-08-23 00:00:00,3397,443
2020-08-24 00:00:00,3397,444
2020-08-25 00:00:00,3386,444
2020-08-26 00:00:00,3384,446
2020-08-27 00:00:00,3386,446
2020-08-28 00:00:00,3394,446
2020-08-29 00:00:00,3400,446
2020-08-30 00:00:00,3405,446
2020-08-31 00:00:00,3411,447
2020-09-01 00:00:00,3415,447
2020-09-02 00:00:00,3412,447
2020-09-03 00:00:00,3418,448
2020-09-04 00:00:00,3424,448
2020-09-05 00:00:00,3427,448
2020-09-06 00:00:00,3429,449
2020-09-07 00:00:00,3434,450
2020-09-08 00:00:00,3435,450
2020-09-09 00:00:00,3440,450
2020-09-10 00:00:00,3445,459
2020-09-11 00:00:00,3452,450
2020-09-12 00:00:00,3457,450
2020-09-13 00:00:00,3462,451
2020-09-14 00:00:00,3469,452
