date,hospitalized_current,icu_current,ventilator_current,hospitalized_new,discharged_new,discharged_cumulative
2020-04-01,,,,,,23.0
2020-04-02,172.0,65.0,,,,25.0
2020-04-03,221.0,62.0,158.0,,,26.0
2020-04-04,209.0,67.0,,,,
2020-04-05,304.0,80.0,9.0,,,30.0
2020-04-06,304.0,76.0,10.0,,,37.0
2020-04-07,335.0,77.0,,,,
2020-04-08,328.0,114.0,7.0,,,43.0
2020-04-09,,,,,,50.0
2020-04-10,433.0,143.0,8.0,,6.0,56.0
2020-04-11,443.0,153.0,12.0,15.0,19.0,75.0
2020-04-12,429.0,165.0,,49.0,19.0,94.0
2020-04-13,471.0,169.0,,,,107.0
2020-04-14,488.0,188.0,17.0,44.0,27.0,134.0
2020-04-15,547.0,183.0,,44.0,37.0,171.0
2020-04-16,564.0,195.0,,,64.0,235.0
2020-04-17,572.0,143.0,,,,276.0
2020-04-18,523.0,200.0,10.0,,115.0,391.0
2020-04-19,,,,,,457.0
2020-04-20,,,,,,
2020-04-21,504.0,195.0,10.0,27.0,27.0,505.0
2020-04-22,,,,,,560.0
2020-04-23,535.0,218.0,,48.0,101.0,661.0
2020-04-24,546.0,214.0,17.0,40.0,94.0,755.0
2020-04-25,555.0,215.0,,52.0,70.0,825.0
2020-04-26,,,,,,
2020-04-27,533.0,222.0,18.0,46.0,30.0,925.0
2020-04-28,528.0,222.0,24.0,,50.0,975.0
2020-04-29,535.0,218.0,26.0,62.0,139.0,1114.0
2020-04-30,566.0,237.0,24.0,,68.0,1182.0
2020-05-01,532.0,251.0,22.0,44.0,90.0,1272.0
2020-05-02,518.0,248.0,27.0,41.0,62.0,1334.0
2020-05-03,481.0,260.0,27.0,48.0,48.0,1382.0
2020-05-04,529.0,252.0,27.0,,41.0,1423.0
2020-05-05,520.0,227.0,28.0,,121.0,1544.0
2020-05-06,439.0,227.0,26.0,60.0,114.0,1658.0
2020-05-07,490.0,249.0,29.0,43.0,89.0,1747.0
2020-05-08,415.0,255.0,29.0,58.0,79.0,1826.0
2020-05-09,482.0,257.0,21.0,,99.0,1925.0
2020-05-10,400.0,256.0,16.0,,33.0,1958.0
2020-05-11,458.0,251.0,21.0,33.0,22.0,1980.0
2020-05-12,490.0,238.0,19.0,103.0,89.0,2069.0
2020-05-13,494.0,249.0,19.0,44.0,107.0,2176.0
2020-05-14,487.0,269.0,21.0,95.0,52.0,2228.0
2020-05-15,501.0,253.0,23.0,43.0,52.0,
2020-05-16,507.0,231.0,18.0,98.0,64.0,2344.0
2020-05-17,519.0,250.0,19.0,42.0,64.0,2408.0
2020-05-18,526.0,256.0,19.0,31.0,17.0,2425.0
2020-05-19,532.0,251.0,20.0,102.0,83.0,2508.0
2020-05-20,546.0,244.0,22.0,46.0,60.0,2953.0
2020-05-21,545.0,266.0,21.0,66.0,85.0,3089.0
2020-05-22,614.0,266.0,21.0,41.0,89.0,3369.0
2020-05-23,609.0,286.0,23.0,43.0,83.0,3452.0
2020-05-24,597.0,288.0,25.0,52.0,93.0,3713.0
2020-05-25,591.0,275.0,23.0,25.0,89.0,3802.0
2020-05-26,479.0,256.0,19.0,61.0,82.0,3884.0
2020-05-27,555.0,259.0,17.0,86.0,91.0,3975.0
2020-05-28,546.0,248.0,16.0,53.0,148.0,4123.0
2020-05-29,603.0,245.0,17.0,83.0,155.0,4278.0
2020-05-30,622.0,258.0,20.0,116.0,177.0,4455.0
2020-05-31,636.0,251.0,22.0,38.0,126.0,4581.0
2020-06-01,638.0,259.0,26.0,59.0,41.0,4622.0
2020-06-02,619.0,255.0,23.0,94.0,116.0,4738.0
2020-06-03,597.0,248.0,21.0,58.0,125.0,4863.0
2020-06-04,648.0,265.0,19.0,109.0,146.0,5009.0
2020-06-05,682.0,274.0,23.0,62.0,231.0,5420.0
2020-06-06,634.0,306.0,27.0,59.0,210.0,5450.0
2020-06-07,666.0,335.0,27.0,121.0,210.0,5638.0
2020-06-08,680.0,318.0,24.0,39.0,100.0,5738.0
2020-06-09,775.0,305.0,20.0,124.0,59.0,5797.0
2020-06-10,768.0,308.0,20.0,101.0,133.0,5930.0
2020-06-11,779.0,339.0,23.0,72.0,142.0,6072.0
2020-06-12,824.0,344.0,22.0,81.0,157.0,6229.0
2020-06-13,824.0,378.0,23.0,48.0,192.0,6421.0
2020-06-14,911.0,359.0,24.0,48.0,202.0,6623.0
2020-06-15,887.0,417.0,24.0,43.0,171.0,6794.0
2020-06-16,984.0,403.0,23.0,144.0,107.0,6901.0
2020-06-17,990.0,417.0,23.0,61.0,176.0,7077.0
2020-06-18,986.0,444.0,27.0,132.0,175.0,7252.0
2020-06-19,1032.0,455.0,28.0,80.0,272.0,7525.0
2020-06-20,1097.0,440.0,23.0,68.0,220.0,7745.0
2020-06-21,1097.0,440.0,31.0,50.0,151.0,7896.0
2020-06-22,1094.0,465.0,32.0,47.0,123.0,8019.0
2020-06-23,1177.0,476.0,27.0,,193.0,8212.0
2020-06-24,1167.0,416.0,23.0,71.0,188.0,8400.0
2020-06-25,1519.0,455.0,25.0,69.0,199.0,8599.0
2020-06-26,1606.0,449.0,24.0,53.0,166.0,8765.0
2020-06-27,1631.0,463.0,26.0,54.0,198.0,8963.0
2020-06-28,1650.0,469.0,30.0,40.0,118.0,9081.0
2020-06-29,1604.0,479.0,31.0,56.0,148.0,9229.0
2020-06-30,1598.0,483.0,30.0,,153.0,9382.0
2020-07-01,1578.0,438.0,30.0,71.0,212.0,9594.0
2020-07-02,1507.0,453.0,31.0,,252.0,9846.0
2020-07-03,1520.0,437.0,33.0,46.0,247.0,10093.0
2020-07-04,1509.0,435.0,30.0,74.0,303.0,10396.0
2020-07-05,1551.0,422.0,29.0,54.0,322.0,10718.0
2020-07-06,1489.0,425.0,31.0,39.0,329.0,11047.0
2020-07-07,1474.0,391.0,29.0,69.0,194.0,11241.0
2020-07-08,1429.0,388.0,28.0,73.0,308.0,11549.0
2020-07-09,1327.0,376.0,32.0,64.0,387.0,11936.0
2020-07-10,1388.0,363.0,26.0,68.0,252.0,12188.0
2020-07-11,1385.0,373.0,24.0,72.0,268.0,12456.0
2020-07-12,1412.0,366.0,25.0,61.0,211.0,12667.0
2020-07-13,1441.0,362.0,24.0,35.0,126.0,12793.0
2020-07-14,1359.0,358.0,27.0,,240.0,13033.0
2020-07-15,1344.0,346.0,27.0,78.0,265.0,13298.0
2020-07-16,1331.0,345.0,27.0,,342.0,13640.0
2020-07-17,1233.0,372.0,26.0,87.0,273.0,13913.0
2020-07-18,1329.0,362.0,27.0,80.0,270.0,14183.0
2020-07-19,1380.0,369.0,26.0,49.0,193.0,14376.0
2020-07-20,1427.0,366.0,31.0,,91.0,14467.0
2020-07-21,1388.0,364.0,26.0,100.0,132.0,14599.0
2020-07-22,1377.0,404.0,25.0,,257.0,14856.0
2020-07-23,1343.0,421.0,28.0,79.0,318.0,15174.0
2020-07-24,1446.0,400.0,29.0,72.0,233.0,15407.0
2020-07-25,1397.0,327.0,29.0,81.0,201.0,15605.0
2020-07-26,1499.0,425.0,29.0,,245.0,16154.0
2020-07-27,1499.0,425.0,29.0,68.0,245.0,16154.0
2020-07-28,1510.0,435.0,38.0,117.0,308.0,16462.0
2020-07-29,1514.0,454.0,36.0,99.0,323.0,16785.0
2020-07-30,1581.0,426.0,34.0,112.0,255.0,17040.0
2020-07-31,1556.0,400.0,39.0,,229.0,17269.0
2020-08-01,1594.0,442.0,39.0,,302.0,17571.0
2020-08-02,1586.0,425.0,40.0,,,17816.0
