region_code,region_code_type,region_code_level,parent_region_code,level_1_region_code,level_2_region_code,level_3_region_code,region_name,alt_name1,alt_name2,alt_name3,alt_name4,population_year,population
AFG,iso_3166-1,1,WORLD,AFG,None,None,Afghanistan,Afghanistan,,,,2020,38928341
ALB,iso_3166-1,1,WORLD,ALB,None,None,Albania,Albania,Albania,,Albania,2020,2877800
DZA,iso_3166-1,1,WORLD,DZA,None,None,Algeria,Algeria,,,Algeria,2020,43851043
AND,iso_3166-1,1,WORLD,AND,None,None,Andorra,Andorra,,,,2020,77265
AGO,iso_3166-1,1,WORLD,AGO,None,None,Angola,Angola,,,,2020,32866268
AIA,iso_3166-1,1,WORLD,AIA,None,None,Anguilla,Anguilla,,,,2020,15002
ATG,iso_3166-1,1,WORLD,ATG,None,None,Antigua and Barbuda,Antigua and Barbuda,,,,2020,97928
ARG,iso_3166-1,1,WORLD,ARG,None,None,Argentina,Argentina,Argentina,,Argentina,2020,45195777
ARM,iso_3166-1,1,WORLD,ARM,None,None,Armenia,Armenia,,,Armenia,2020,2963234
ABW,iso_3166-1,1,WORLD,ABW,None,None,Aruba,Aruba,,,,2020,106766
AUS,iso_3166-1,1,WORLD,AUS,None,None,Australia,Australia,Australia,,Australia,2020,25499881
AUT,iso_3166-1,1,WORLD,AUT,None,None,Austria,Austria,Austria,Austria,Austria,2020,9006400
AZE,iso_3166-1,1,WORLD,AZE,None,None,Azerbaijan,Azerbaijan,,,Azerbaijan,2020,10139175
BHS,iso_3166-1,1,WORLD,BHS,None,None,Bahamas,Bahamas,,,,2020,393248
BHR,iso_3166-1,1,WORLD,BHR,None,None,Bahrain,Bahrain,,,,2020,1701583
BGD,iso_3166-1,1,WORLD,BGD,None,None,Bangladesh,Bangladesh,,,Bangladesh,2020,164689383
BRB,iso_3166-1,1,WORLD,BRB,None,None,Barbados,Barbados,,,Barbados,2020,287371
BLR,iso_3166-1,1,WORLD,BLR,None,None,Belarus,Belarus,,,,2020,9449321
BEL,iso_3166-1,1,WORLD,BEL,None,None,Belgium,Belgium,Belgium,Belgium,Belgium,2020,11589616
BLZ,iso_3166-1,1,WORLD,BLZ,None,None,Belize,Belize,,,,2020,397621
BEN,iso_3166-1,1,WORLD,BEN,None,None,Benin,Benin,,,,2020,12123198
BMU,iso_3166-1,1,WORLD,BMU,None,None,Bermuda,Bermuda,,,Bermuda,2020,62273
BTN,iso_3166-1,1,WORLD,BTN,None,None,Bhutan,Bhutan,,,,2020,771612
BOL,iso_3166-1,1,WORLD,BOL,None,None,Bolivia,Bolivia,,,Bolivia,2020,11673029
BES,iso_3166-1,1,WORLD,BES,None,None,Bonaire Sint Eustatius and Saba,Bonaire Sint Eustatius and Saba,,,,2020,26221
BIH,iso_3166-1,1,WORLD,BIH,None,None,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,2020,3280815
BWA,iso_3166-1,1,WORLD,BWA,None,None,Botswana,Botswana,,,Botswana,2020,2351625
BRA,iso_3166-1,1,WORLD,BRA,None,None,Brazil,Brazil,Brazil,,,2020,212559409
VGB,iso_3166-1,1,WORLD,VGB,None,None,British Virgin Islands,British Virgin Islands,,,,2020,30237
BRN,iso_3166-1,1,WORLD,BRN,None,None,Brunei,Brunei,,,,2020,437483
BGR,iso_3166-1,1,WORLD,BGR,None,None,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,2020,6948445
BFA,iso_3166-1,1,WORLD,BFA,None,None,Burkina Faso,Burkina Faso,,,,2020,20903278
BDI,iso_3166-1,1,WORLD,BDI,None,None,Burundi,Burundi,,,,2020,11890781
KHM,iso_3166-1,1,WORLD,KHM,None,None,Cambodia,Cambodia,Cambodia,,,2020,16718971
CMR,iso_3166-1,1,WORLD,CMR,None,None,Cameroon,Cameroon,,,,2020,26545864
CAN,iso_3166-1,1,WORLD,CAN,None,None,Canada,Canada,Canada,,,2020,37742157
CPV,iso_3166-1,1,WORLD,CPV,None,None,Cape Verde,Cape Verde,,,,2020,555988
CYM,iso_3166-1,1,WORLD,CYM,None,None,Cayman Islands,Cayman Islands,,,,2020,65720
CAF,iso_3166-1,1,WORLD,CAF,None,None,Central African Republic,Central African Republic,,,,2020,4829764
