country_iso_3,region_level,iso_3166-2,region_name,source_region_code,source_region_name,population,region_code,parent_region_code,region_code_type,region_code_level,level_1_region_code,level_2_region_code,level_3_region_code
ITA,region,IT-65,Abruzzo,13,Abruzzo,1311580,IT-65,ITA,iso_3166-2,2,ITA,IT-65,None
ITA,region,IT-77,Basilicata,17,Basilicata,562869,IT-77,ITA,iso_3166-2,2,ITA,IT-77,None
ITA,region,IT-78,Calabria,18,Calabria,1947131,IT-78,ITA,iso_3166-2,2,ITA,IT-78,None
ITA,region,IT-72,Campania,15,Campania,5801692,IT-72,ITA,iso_3166-2,2,ITA,IT-72,None
ITA,region,IT-45,Emilia-Romagna,08,Emilia-Romagna,4459477,IT-45,ITA,iso_3166-2,2,ITA,IT-45,None
ITA,region,IT-36,Friuli Venezia Giulia,06,Friuli Venezia Giulia,1215220,IT-36,ITA,iso_3166-2,2,ITA,IT-36,None
ITA,region,IT-62,Lazio,12,Lazio,5879082,IT-62,ITA,iso_3166-2,2,ITA,IT-62,None
ITA,region,IT-42,Liguria,07,Liguria,1550640,IT-42,ITA,iso_3166-2,2,ITA,IT-42,None
ITA,region,IT-25,Lombardia,03,Lombardia,10060574,IT-25,ITA,iso_3166-2,2,ITA,IT-25,None
ITA,region,IT-57,Marche,11,Marche,1525271,IT-57,ITA,iso_3166-2,2,ITA,IT-57,None
ITA,region,IT-67,Molise,14,Molise,305617,IT-67,ITA,iso_3166-2,2,ITA,IT-67,None
ITA,region,IT-21,Piemonte,01,Piemonte,4356406,IT-21,ITA,iso_3166-2,2,ITA,IT-21,None
ITA,region,IT-75,Puglia,16,Puglia,4029053,IT-75,ITA,iso_3166-2,2,ITA,IT-75,None
ITA,region,IT-88,Sardegna,20,Sardegna,1639591,IT-88,ITA,iso_3166-2,2,ITA,IT-88,None
ITA,region,IT-82,Sicilia,19,Sicilia,4999891,IT-82,ITA,iso_3166-2,2,ITA,IT-82,None
ITA,region,IT-52,Toscana,09,Toscana,3729641,IT-52,ITA,iso_3166-2,2,ITA,IT-52,None
ITA,region,IT-TN,Trento,04,P.A. Trento,539898,IT-TN,IT-32,iso_3166-2,3,ITA,IT-32,IT-TN
ITA,region,IT-55,Umbria,10,Umbria,882015,IT-55,ITA,iso_3166-2,2,ITA,IT-55,None
ITA,region,IT-23,Valle d'Aosta,02,Valle d'Aosta,125666,IT-23,ITA,iso_3166-2,2,ITA,IT-23,None
ITA,region,IT-34,Veneto,05,Veneto,4905854,IT-34,ITA,iso_3166-2,2,ITA,IT-34,None
ITA,region,IT-BZ,Bolzano,04,P.A. Bolzano,530009,IT-BZ,IT-32,iso_3166-2,3,ITA,IT-32,IT-BZ
